,which,organic,compounds,contain,the,greatest,amount,of,oxygen,by,mass,?
of,0.5011631846427917,0.25553563237190247,0.232599675655365,0.30574339628219604,0.733189046382904,0.30395472049713135,0.2541177570819855,1.0,0.16848602890968323,0.3646814823150635,0.26915112137794495,0.1826142966747284
the,0.6521818041801453,0.18354187905788422,0.18294313549995422,0.26383090019226074,1.0,0.2877289056777954,0.3336862325668335,0.733189046382904,0.20428593456745148,0.4408751428127289,0.2284930944442749,0.22068053483963013
organic,0.29841065406799316,1.0000001192092896,0.6684058308601379,0.322679728269577,0.18354187905788422,0.12389221787452698,0.2845616936683655,0.25553563237190247,0.44130775332450867,0.18785367906093597,0.25490808486938477,0.18969349563121796
compounds,0.29740291833877563,0.6684058308601379,0.9999999403953552,0.4419889748096466,0.18294313549995422,0.11117944121360779,0.32188504934310913,0.232599675655365,0.514471173286438,0.21271248161792755,0.27257660031318665,0.2057836651802063
with,0.46403205394744873,0.2165493220090866,0.23910129070281982,0.3116915822029114,0.4223487675189972,0.11211325228214264,0.30051055550575256,0.41827285289764404,0.200663760304451,0.39731505513191223,0.15513640642166138,0.2433311939239502
biological,0.3391934037208557,0.4851575195789337,0.4122256934642792,0.28453901410102844,0.22739484906196594,0.19776983559131622,0.16976848244667053,0.315677285194397,0.3240869343280792,0.21979595720767975,0.18227480351924896,0.15755151212215424
relevance,0.31720590591430664,0.2996388077735901,0.24778133630752563,0.31229522824287415,0.29395025968551636,0.22760143876075745,0.25389257073402405,0.2768062949180603,0.2219565212726593,0.19490249454975128,0.1976962834596634,0.3460462987422943
",",0.3658004403114319,0.18750765919685364,0.20700839161872864,0.24384500086307526,0.4933079481124878,0.21757464110851288,0.21125462651252747,0.4946078956127167,0.21812842786312103,0.3680937886238098,0.2439754158258438,0.31091248989105225
carbohydrates,0.3780555725097656,0.5751745700836182,0.5842593312263489,0.48805636167526245,0.23906852304935455,0.11903129518032074,0.3600030839443207,0.26252642273902893,0.5493153929710388,0.2034214437007904,0.26619768142700195,0.23708048462867737
contain,0.39727339148521423,0.322679728269577,0.4419889748096466,1.0,0.26383090019226074,0.08432790637016296,0.3474423885345459,0.30574339628219604,0.2880042791366577,0.19216567277908325,0.21336641907691956,0.18853069841861725
the,0.6521818041801453,0.18354187905788422,0.18294313549995422,0.26383090019226074,1.0,0.2877289056777954,0.3336862325668335,0.733189046382904,0.20428593456745148,0.4408751428127289,0.2284930944442749,0.22068053483963013
largest,0.29749369621276855,0.12351996451616287,0.1804763227701187,0.18812644481658936,0.3757036626338959,0.31581342220306396,0.18076719343662262,0.36650770902633667,0.14646098017692566,0.17839421331882477,0.2075008898973465,0.12401245534420013
proportion,0.3087250888347626,0.28209754824638367,0.28054001927375793,0.23299908638000488,0.2945463955402374,0.1969948559999466,0.44555866718292236,0.326309472322464,0.27083340287208557,0.2305578887462616,0.3215290606021881,0.16980072855949402
by,0.40543368458747864,0.18785367906093597,0.21271248161792755,0.19216567277908325,0.4408751428127289,0.21669237315654755,0.19143085181713104,0.3646814823150635,0.1292176991701126,1.0000001192092896,0.21824167668819427,0.17966607213020325
mass,0.2918572425842285,0.25490808486938477,0.27257660031318665,0.21336641907691956,0.2284930944442749,0.1552935391664505,0.30309823155403137,0.26915112137794495,0.28330692648887634,0.21824167668819427,1.0000001192092896,0.2076406031847
of,0.5011631846427917,0.25553563237190247,0.232599675655365,0.30574339628219604,0.733189046382904,0.30395472049713135,0.2541177570819855,1.0,0.16848602890968323,0.3646814823150635,0.26915112137794495,0.1826142966747284
oxygen,0.3166238069534302,0.44130775332450867,0.514471173286438,0.2880042791366577,0.20428593456745148,0.1529581993818283,0.35417988896369934,0.16848602890968323,0.9999999403953552,0.1292176991701126,0.28330692648887634,0.16786395013332367
.,0.45942068099975586,0.2612488567829132,0.23886778950691223,0.22565869987010956,0.5934505462646484,0.2034384310245514,0.24893930554389954,0.5352458953857422,0.2554275095462799,0.3936232924461365,0.25224974751472473,0.4130953550338745
