,what,are,the,three,parchment-bound,manuscripts,of,the,codex,forster,called,?
the,0.42745697498321533,0.40399202704429626,1.0,0.43452659249305725,0.3566296696662903,0.2274177074432373,0.733189046382904,1.0,0.23716554045677185,0.2865467071533203,0.489897221326828,0.22068053483963013
codex,0.17586834728717804,0.18087521195411682,0.23716554045677185,0.15539240837097168,0.37411266565322876,0.4475899636745453,0.24427923560142517,0.23716554045677185,1.0,0.15383733808994293,0.22907346487045288,0.19520603120326996
consists,0.11367427557706833,0.43408724665641785,0.3362659811973572,0.3419727087020874,0.27205777168273926,0.14702263474464417,0.41510096192359924,0.3362659811973572,0.07815562188625336,0.1457756906747818,0.3447881042957306,-0.004641483072191477
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.3844621181488037,0.32059040665626526,0.2439827173948288,1.0,0.733189046382904,0.24427923560142517,0.27969154715538025,0.4222904443740845,0.1826142966747284
three,0.24888746440410614,0.38895705342292786,0.43452659249305725,1.0,0.3152300715446472,0.17102696001529694,0.3844621181488037,0.43452659249305725,0.15539240837097168,0.19980905950069427,0.3522195518016815,0.20928427577018738
parchment-bound,0.24173465371131897,0.3114738464355469,0.3566296696662903,0.3152300715446472,1.0000001192092896,0.46458691358566284,0.32059040665626526,0.3566296696662903,0.37411266565322876,0.31503382325172424,0.30862942337989807,0.2919212877750397
manuscripts,0.16659684479236603,0.1881708800792694,0.2274177074432373,0.17102696001529694,0.46458691358566284,0.9999999403953552,0.2439827173948288,0.2274177074432373,0.4475899636745453,0.21758407354354858,0.12861908972263336,0.16131190955638885
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.34246304631233215,0.19342364370822906,0.4946078956127167,0.4933079481124878,0.1838729828596115,0.3307904303073883,0.26549121737480164,0.31091248989105225
forster,0.19329433143138885,0.16136619448661804,0.2865467071533203,0.19980905950069427,0.31503382325172424,0.21758407354354858,0.27969154715538025,0.2865467071533203,0.15383733808994293,1.0,0.20742371678352356,0.13820494711399078
i,0.4411132335662842,0.21339178085327148,0.26687872409820557,0.14384028315544128,0.26271897554397583,0.20305965840816498,0.25849398970603943,0.26687872409820557,0.12626950442790985,0.2032325118780136,0.1562192142009735,0.4695145785808563
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.34246304631233215,0.19342364370822906,0.4946078956127167,0.4933079481124878,0.1838729828596115,0.3307904303073883,0.26549121737480164,0.31091248989105225
forster,0.19329433143138885,0.16136619448661804,0.2865467071533203,0.19980905950069427,0.31503382325172424,0.21758407354354858,0.27969154715538025,0.2865467071533203,0.15383733808994293,1.0,0.20742371678352356,0.13820494711399078
ii,0.13866674900054932,0.16142447292804718,0.2631464898586273,0.2135363668203354,0.19589073956012726,0.16518494486808777,0.2844806909561157,0.2631464898586273,0.22934678196907043,0.1841329038143158,0.214289128780365,0.11928234249353409
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.34246304631233215,0.19342364370822906,0.4946078956127167,0.4933079481124878,0.1838729828596115,0.3307904303073883,0.26549121737480164,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.3826501965522766,0.38202965259552,0.21015168726444244,0.5116966962814331,0.5171257257461548,0.13245317339897156,0.2648332715034485,0.3251761794090271,0.20544172823429108
forster,0.19329433143138885,0.16136619448661804,0.2865467071533203,0.19980905950069427,0.31503382325172424,0.21758407354354858,0.27969154715538025,0.2865467071533203,0.15383733808994293,1.0,0.20742371678352356,0.13820494711399078
iii,0.09164873510599136,0.12652139365673065,0.18552400171756744,0.19281838834285736,0.1996462345123291,0.14683856070041656,0.21691277623176575,0.18552400171756744,0.21587228775024414,0.12775613367557526,0.22867929935455322,0.13642357289791107
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.34246304631233215,0.19342364370822906,0.4946078956127167,0.4933079481124878,0.1838729828596115,0.3307904303073883,0.26549121737480164,0.31091248989105225
quite,0.4139309525489807,0.39991629123687744,0.3001116216182709,0.1852358877658844,0.2756715714931488,0.20566102862358093,0.2703956961631775,0.3001116216182709,0.08816178888082504,0.16942401230335236,0.29694971442222595,0.2597154676914215
small,0.2504110634326935,0.3959871232509613,0.39655908942222595,0.2332771271467209,0.2805810570716858,0.12864024937152863,0.353353351354599,0.39655908942222595,0.19888807833194733,0.10324157029390335,0.36828139424324036,0.13914890587329865
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.34828072786331177,0.277393102645874,0.20494025945663452,0.5696388483047485,0.6662389636039734,0.1942541003227234,0.2611368000507355,0.40847352147102356,0.20430970191955566
size,0.2566739320755005,0.25654396414756775,0.2946445941925049,0.14938819408416748,0.21766874194145203,0.12905794382095337,0.27599775791168213,0.2946445941925049,0.19002826511859894,0.14548131823539734,0.1673264503479004,0.13693112134933472
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.34246304631233215,0.19342364370822906,0.4946078956127167,0.4933079481124878,0.1838729828596115,0.3307904303073883,0.26549121737480164,0.31091248989105225
dated,0.15505221486091614,0.06571130454540253,0.2046709507703781,0.18385466933250427,0.26726868748664856,0.3442048132419586,0.210488960146904,0.2046709507703781,0.2832934558391571,0.15934495627880096,0.11818160116672516,0.215650275349617
between,0.2462156116962433,0.2766000032424927,0.39067012071609497,0.3260507881641388,0.26011788845062256,0.16505323350429535,0.3737983703613281,0.39067012071609497,0.07290869206190109,0.21042996644973755,0.33096179366111755,0.12887074053287506
1490,-0.02439117059111595,-0.13751910626888275,-0.09966161847114563,-0.08419514447450638,-0.06880677491426468,-0.011858477257192135,-0.06674249470233917,-0.09966161847114563,0.059200532734394073,0.11711631715297699,-0.049201030284166336,0.00718780467286706
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.3826501965522766,0.38202965259552,0.21015168726444244,0.5116966962814331,0.5171257257461548,0.13245317339897156,0.2648332715034485,0.3251761794090271,0.20544172823429108
1505,0.17807336151599884,0.14058265089988708,0.19165833294391632,0.13297070562839508,0.11215384304523468,0.2071516364812851,0.18089470267295837,0.19165833294391632,0.13742664456367493,0.10656904429197311,0.10710136592388153,0.16973243653774261
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.34968629479408264,0.3603971600532532,0.22904138267040253,0.5352458953857422,0.5934505462646484,0.19648468494415283,0.29431217908859253,0.300344854593277,0.4130953550338745
