,what,type,of,membership,will,allow,local,pastors,to,retire,as,clergy,?
they,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.2346271425485611,0.459693968296051,0.41177958250045776,0.21770167350769043,0.3451696038246155,0.5452046394348145,0.2472945749759674,0.3294360637664795,0.26570186018943787,0.2753053903579712
may,0.25739946961402893,0.1642589271068573,0.26447007060050964,0.2114640325307846,0.4277452528476715,0.27416014671325684,0.12904523313045502,0.19087491929531097,0.391582727432251,0.20895759761333466,0.32133710384368896,0.16205698251724243,0.2768254578113556
continue,0.34721019864082336,0.1653396040201187,0.19578875601291656,0.277375191450119,0.446509450674057,0.3646697700023651,0.16068817675113678,0.20976485311985016,0.4441169500350952,0.3649449050426483,0.3060818910598755,0.14792291820049286,0.23903685808181763
towards,0.281793475151062,0.15818671882152557,0.26409703493118286,0.11968820542097092,0.2680288553237915,0.2574240267276764,0.07422859221696854,0.19274821877479553,0.3675195574760437,0.1748303920030594,0.2836703062057495,0.2581859230995178,0.13023285567760468
associate,0.17662543058395386,0.14558611810207367,0.30520564317703247,0.34758415818214417,0.22670415043830872,0.2368677407503128,0.18670417368412018,0.20343442261219025,0.30953624844551086,0.21363049745559692,0.2852577567100525,0.19629384577274323,0.15745846927165985
membership,0.2070973664522171,0.09734036773443222,0.26808464527130127,1.0,0.24875319004058838,0.2840304374694824,0.1973733901977539,0.2746106684207916,0.2628730833530426,0.25607505440711975,0.21106360852718353,0.36510127782821655,0.15225854516029358
allowing,0.21854478120803833,0.062095314264297485,0.29282480478286743,0.2422674000263214,0.458206444978714,0.7338253259658813,0.21101023256778717,0.18114320933818817,0.47026363015174866,0.22620101273059845,0.28820809721946716,0.21752579510211945,0.1434045135974884
them,0.4994642734527588,0.1951582431793213,0.34503093361854553,0.2508752644062042,0.40494900941848755,0.42461609840393066,0.24448899924755096,0.3541305661201477,0.5916602611541748,0.2806735634803772,0.33716270327568054,0.2829645276069641,0.35435691475868225
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2628730833530426,0.5091033577919006,0.4900954067707062,0.2207600325345993,0.24736544489860535,1.0,0.3089917302131653,0.42092081904411316,0.19316771626472473,0.29463258385658264
retire,0.25106382369995117,0.08685214817523956,0.13342295587062836,0.25607505440711975,0.24878807365894318,0.2592410147190094,0.11581084877252579,0.21768514811992645,0.3089917302131653,1.0,0.18790583312511444,0.14770860970020294,0.16782012581825256
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.21106360852718353,0.3047071695327759,0.25002720952033997,0.21087346971035004,0.1924697905778885,0.42092081904411316,0.18790583312511444,1.0,0.2194538563489914,0.27043893933296204
clergy,0.21005667746067047,0.1488236039876938,0.2905072271823883,0.36510127782821655,0.15933188796043396,0.25380292534828186,0.2165326178073883,0.3993052840232849,0.19316771626472473,0.14770860970020294,0.2194538563489914,0.9999999403953552,0.14422976970672607
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.19005811214447021,0.33682769536972046,0.28562283515930176,0.26217252016067505,0.19854140281677246,0.4645031690597534,0.14436651766300201,0.515582263469696,0.17912207543849945,0.4130953550338745
