,how,much,saharan,dust,remains,in,the,air,over,the,amazon,each,year,?
nasa,0.20395343005657196,0.21932558715343475,0.23333850502967834,0.3085649311542511,0.10370559245347977,0.15705716609954834,0.19786997139453888,0.2555576264858246,0.14846761524677277,0.19786997139453888,0.1661357581615448,0.07703179121017456,0.14521807432174683,0.1809994876384735
's,-0.026164190843701363,0.06731651723384857,0.07983057200908661,-0.038515426218509674,0.023601576685905457,-0.037580832839012146,-0.01540423184633255,0.03575344383716583,0.016215575858950615,-0.01540423184633255,0.062328040599823,0.021750088781118393,-0.04087831452488899,-0.023395681753754616
calipso,0.1821621209383011,0.2573757767677307,0.3577364683151245,0.25767600536346436,0.21625298261642456,0.2215036153793335,0.31254130601882935,0.15135015547275543,0.21706998348236084,0.31254130601882935,0.19004616141319275,0.13353198766708374,0.20704394578933716,0.2649646997451782
satellite,0.10482273995876312,0.14917315542697906,0.2311158925294876,0.29698875546455383,0.11916306614875793,0.18927223980426788,0.22563834488391876,0.21185119450092316,0.19734211266040802,0.22563834488391876,0.12525847554206848,0.11691509932279587,0.14653939008712769,0.13568443059921265
has,0.26820555329322815,0.31650421023368835,0.2170426845550537,0.14267772436141968,0.27559006214141846,0.4173259735107422,0.4177538752555847,0.18676379323005676,0.370955228805542,0.4177538752555847,0.1779293268918991,0.32155683636665344,0.2526876926422119,0.15994466841220856
measured,0.33367615938186646,0.31062760949134827,0.15073637664318085,0.23971869051456451,0.23437617719173431,0.23880761861801147,0.279002845287323,0.17650164663791656,0.30557629466056824,0.279002845287323,0.1639031171798706,0.28927627205848694,0.18661636114120483,0.17351430654525757
the,0.33890387415885925,0.35023224353790283,0.2361762821674347,0.2346910536289215,0.3663966655731201,0.6662389636039734,1.0,0.2877824306488037,0.39856547117233276,1.0,0.260541707277298,0.470844566822052,0.3609684407711029,0.22068053483963013
amount,0.37087762355804443,0.4935210943222046,0.20258083939552307,0.2806089520454407,0.1973097175359726,0.2569429874420166,0.3336862325668335,0.17064699530601501,0.3027430474758148,0.3336862325668335,0.1940114051103592,0.3607456386089325,0.2676939368247986,0.17984020709991455
of,0.2480744868516922,0.2671096920967102,0.1892523616552353,0.25486329197883606,0.3198432922363281,0.5696388483047485,0.733189046382904,0.24196814000606537,0.36136594414711,0.733189046382904,0.20143137872219086,0.38460010290145874,0.2578314542770386,0.1826142966747284
dust,0.24083134531974792,0.2351432889699936,0.2716901898384094,1.0,0.1933596283197403,0.19673727452754974,0.2346910536289215,0.3066830337047577,0.22320112586021423,0.2346910536289215,0.13802170753479004,0.15729188919067383,0.10882840305566788,0.15803812444210052
