,what,was,there,a,significant,minority,of,in,warsaw,?
in,0.30808621644973755,0.45514053106307983,0.5361666083335876,0.539380669593811,0.3551969528198242,0.24005159735679626,0.5696388483047485,1.0,0.22642600536346436,0.20430970191955566
addition,0.20643717050552368,0.2078816294670105,0.34989267587661743,0.2617819607257843,0.3456170856952667,0.2912267744541168,0.27503931522369385,0.3033084571361542,0.19819189608097076,0.19187232851982117
to,0.455847829580307,0.3636345863342285,0.40669289231300354,0.45503583550453186,0.27648770809173584,0.16115537285804749,0.41548454761505127,0.45010748505592346,0.1953994333744049,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,0.47025805711746216,0.5829201340675354,0.35524800419807434,0.2583708167076111,0.733189046382904,0.6662389636039734,0.23137180507183075,0.22068053483963013
polish,0.08233486860990524,0.2319551259279251,0.14357617497444153,0.20954546332359314,0.11450779438018799,0.20696231722831726,0.16866981983184814,0.1896398365497589,0.6311136484146118,0.14012759923934937
majority,0.25967487692832947,0.17051540315151215,0.21571014821529388,0.227370023727417,0.23805347084999084,0.6926143765449524,0.29706597328186035,0.2563854157924652,0.09922612458467484,0.220119908452034
",",0.3087472915649414,0.45456063747406006,0.4587128460407257,0.427140474319458,0.27671438455581665,0.27664926648139954,0.4946078956127167,0.5201468467712402,0.25300899147987366,0.31091248989105225
there,0.35085538029670715,0.24909798800945282,1.0,0.4214206337928772,0.4034317135810852,0.22215624153614044,0.44397735595703125,0.5361666083335876,0.23644989728927612,0.29405656456947327
was,0.22111038863658905,1.0000001192092896,0.24909798800945282,0.4508470594882965,0.187061607837677,0.18636661767959595,0.4069072902202606,0.45514053106307983,0.2614976763725281,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.4214206337928772,1.0,0.2793380320072174,0.22573496401309967,0.5052502155303955,0.539380669593811,0.19591784477233887,0.23916715383529663
significant,0.24268144369125366,0.187061607837677,0.4034317135810852,0.2793380320072174,1.0,0.2906636893749237,0.318554162979126,0.3551969528198242,0.18475955724716187,0.18679562211036682
jewish,0.1696387529373169,0.2391509860754013,0.15662863850593567,0.19269882142543793,0.17905591428279877,0.2606579661369324,0.14794707298278809,0.22940313816070557,0.3298863470554352,0.15521590411663055
minority,0.18657594919204712,0.18636661767959595,0.22215624153614044,0.22573496401309967,0.2906636893749237,1.0000001192092896,0.265593022108078,0.24005159735679626,0.18908408284187317,0.22200141847133636
in,0.30808621644973755,0.45514053106307983,0.5361666083335876,0.539380669593811,0.3551969528198242,0.24005159735679626,0.5696388483047485,1.0,0.22642600536346436,0.20430970191955566
warsaw,0.10373849421739578,0.2614976763725281,0.23644989728927612,0.19591784477233887,0.18475955724716187,0.18908408284187317,0.19253842532634735,0.22642600536346436,1.0,0.09769917279481888
.,0.3567904531955719,0.40146201848983765,0.43897318840026855,0.50484299659729,0.28046533465385437,0.28402307629585266,0.5352458953857422,0.5591574311256409,0.26825499534606934,0.4130953550338745
