,what,is,the,name,of,a,teacher,in,tibetan,buddhism,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.539380669593811,0.22632350027561188,1.0,0.1719963401556015,0.21896225214004517,0.20430970191955566
tibetan,0.12452398985624313,0.18980872631072998,0.2316000759601593,0.08950147777795792,0.226594015955925,0.1735033094882965,0.31221717596054077,0.1719963401556015,1.0,0.5702542662620544,0.14673879742622375
buddhism,0.22882838547229767,0.17483973503112793,0.21217995882034302,0.1242905929684639,0.279470831155777,0.20047898590564728,0.30509889125823975,0.21896225214004517,0.5702542662620544,0.9999998807907104,0.18768428266048431
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.5829201340675354,0.17760860919952393,0.6662389636039734,0.2316000759601593,0.21217995882034302,0.22068053483963013
teachers,0.2526462972164154,0.15701442956924438,0.22025763988494873,0.11480151861906052,0.27737662196159363,0.2509842813014984,0.7334206104278564,0.2128150761127472,0.3066313564777374,0.2955400347709656,0.19522249698638916
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.5052502155303955,0.19968076050281525,0.5696388483047485,0.226594015955925,0.279470831155777,0.1826142966747284
dharma,0.267665833234787,0.1795371174812317,0.19675368070602417,0.14659342169761658,0.1762010008096695,0.1784394085407257,0.3456062376499176,0.15240927040576935,0.4416152238845825,0.5481106042861938,0.2104472815990448
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.539380669593811,0.22632350027561188,1.0,0.1719963401556015,0.21896225214004517,0.20430970191955566
tibet,0.16768904030323029,0.17587772011756897,0.23859025537967682,0.0833345279097557,0.2033603936433792,0.14064839482307434,0.24449460208415985,0.18345369398593903,0.8138183355331421,0.5609846115112305,0.17537984251976013
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.17349179089069366,0.39081433415412903,0.265255331993103,0.09182974696159363,0.3841303884983063,0.1958455592393875,0.18097570538520813,0.24591213464736938
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.19063733518123627,0.4178851246833801,0.3508910834789276,0.13949039578437805,0.41416558623313904,0.13762353360652924,0.1619255393743515,0.2107497900724411
commonly,0.18122613430023193,0.3994327187538147,0.2974449694156647,0.27168622612953186,0.29300037026405334,0.27022549510002136,0.05210110917687416,0.2769457697868347,0.21997442841529846,0.1722736954689026,0.13546277582645416
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.30947911739349365,0.4222904443740845,0.4868806302547455,0.14227896928787231,0.40847352147102356,0.20719096064567566,0.1479920893907547,0.18963319063186646
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,1.0,0.31202319264411926,0.539380669593811,0.1735033094882965,0.20047898590564728,0.23916715383529663
lama,0.16090387105941772,0.17610245943069458,0.2565627992153168,0.1804705113172531,0.21548594534397125,0.20858566462993622,0.28908777236938477,0.19965314865112305,0.5540993809700012,0.5030850172042847,0.16422642767429352
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.50484299659729,0.225234717130661,0.5591574311256409,0.2035236954689026,0.19290539622306824,0.4130953550338745
