,how,did,luther,describe,his,time,in,the,order,?
luther,0.13354721665382385,0.23667675256729126,1.0,0.04311714321374893,0.27093374729156494,0.17623016238212585,0.20523880422115326,0.1759674996137619,0.15481990575790405,0.1732746809720993
described,0.2526073157787323,0.23657096922397614,0.14043772220611572,0.653712809085846,0.1998966485261917,0.2262239158153534,0.28813880681991577,0.2878154516220093,0.17546819150447845,0.1374269425868988
this,0.45272302627563477,0.3609912693500519,0.17328955233097076,0.2984195351600647,0.3549620509147644,0.43249568343162537,0.45205554366111755,0.6274310946464539,0.28142353892326355,0.3155723512172699
period,0.22695960104465485,0.1760309934616089,0.06313466280698776,0.23883818089962006,0.21878813207149506,0.46082159876823425,0.23051127791404724,0.3125074505805969,0.16533778607845306,0.18706195056438446
of,0.2480744868516922,0.2513895630836487,0.1719115972518921,0.2764313519001007,0.38364991545677185,0.35127586126327515,0.5696388483047485,0.733189046382904,0.31287699937820435,0.1826142966747284
his,0.24614305794239044,0.3546801507472992,0.27093374729156494,0.16232885420322418,0.9999998807907104,0.3553589880466461,0.3598145842552185,0.4394008219242096,0.18186849355697632,0.18075084686279297
life,0.24822278320789337,0.22298283874988556,0.20761863887310028,0.27132803201675415,0.37379691004753113,0.33237090706825256,0.27054134011268616,0.23528170585632324,0.18896274268627167,0.21677987277507782
as,0.33782753348350525,0.3596470057964325,0.20242992043495178,0.32652774453163147,0.3146366477012634,0.3239102065563202,0.3887844979763031,0.48381632566452026,0.21579164266586304,0.27043893933296204
one,0.3213292360305786,0.27659472823143005,0.1255420446395874,0.2652041018009186,0.3774510324001312,0.4878559708595276,0.4129433035850525,0.5514441132545471,0.144612655043602,0.2673267424106598
of,0.2480744868516922,0.2513895630836487,0.1719115972518921,0.2764313519001007,0.38364991545677185,0.35127586126327515,0.5696388483047485,0.733189046382904,0.31287699937820435,0.1826142966747284
deep,0.20823293924331665,0.14145970344543457,0.15230588614940643,0.15433920919895172,0.1841733157634735,0.1689334511756897,0.23007644712924957,0.26388582587242126,0.1459803581237793,0.1765073984861374
spiritual,0.18180760741233826,0.20156888663768768,0.2933351993560791,0.24918632209300995,0.29354363679885864,0.1560065895318985,0.1903325319290161,0.2149372547864914,0.15446917712688446,0.1801415979862213
despair,0.2669852077960968,0.1872256100177765,0.20135726034641266,0.2767840623855591,0.3785557150840759,0.21147501468658447,0.14597229659557343,0.20811262726783752,0.1876366138458252,0.20458349585533142
.,0.3287222981452942,0.35288307070732117,0.24907569587230682,0.17917026579380035,0.3119256794452667,0.371569961309433,0.5591574311256409,0.5934505462646484,0.20712141692638397,0.4130953550338745
