,what,group,bought,cyprus,after,the,norman,conquest,?
shortly,0.16521772742271423,0.1823434829711914,0.24669994413852692,0.17819057404994965,0.6404975652694702,0.3447211682796478,0.1888226568698883,0.27665093541145325,0.13327454030513763
after,0.21973377466201782,0.21563246846199036,0.25226518511772156,0.1673339158296585,1.0,0.4565047025680542,0.132674902677536,0.29386553168296814,0.16608688235282898
the,0.42745697498321533,0.30795547366142273,0.2111053764820099,0.19548389315605164,0.4565047025680542,1.0,0.23459704220294952,0.3181619346141815,0.22068053483963013
conquest,0.21597714722156525,0.14667917788028717,0.17244179546833038,0.2580518424510956,0.29386553168296814,0.3181619346141815,0.37106528878211975,0.9999999403953552,0.12928934395313263
",",0.3087472915649414,0.2809832692146301,0.24780677258968353,0.24421082437038422,0.38860568404197693,0.4933079481124878,0.20281735062599182,0.2487315982580185,0.31091248989105225
cyprus,0.16325083374977112,0.21048571169376373,0.1864674985408783,0.9999999403953552,0.1673339158296585,0.19548389315605164,0.1823732703924179,0.2580518424510956,0.10052155703306198
was,0.22111038863658905,0.1789962202310562,0.31910616159439087,0.16180774569511414,0.49306565523147583,0.48711544275283813,0.21643765270709991,0.26261669397354126,0.18412111699581146
sold,0.16570822894573212,0.13462503254413605,0.6598615050315857,0.17378242313861847,0.20720331370830536,0.21929198503494263,0.12791946530342102,0.16045264899730682,0.14943712949752808
to,0.455847829580307,0.2672896385192871,0.2120014727115631,0.15472561120986938,0.37890323996543884,0.535392165184021,0.16204318404197693,0.2413468062877655,0.29463258385658264
the,0.42745697498321533,0.30795547366142273,0.2111053764820099,0.19548389315605164,0.4565047025680542,1.0,0.23459704220294952,0.3181619346141815,0.22068053483963013
knights,0.17915302515029907,0.20429180562496185,0.19464361667633057,0.25197312235832214,0.18447591364383698,0.26901957392692566,0.2503288984298706,0.32625916600227356,0.09199640899896622
templar,0.17367878556251526,0.1066315546631813,0.13511060178279877,0.20668469369411469,0.23318147659301758,0.35622790455818176,0.25283175706863403,0.38880786299705505,0.10800919681787491
and,0.31309178471565247,0.3510662019252777,0.2527386248111725,0.27088847756385803,0.3765919506549835,0.5171257257461548,0.21611377596855164,0.26925429701805115,0.20544172823429108
it,0.45803478360176086,0.2364906221628189,0.24074308574199677,0.1352047324180603,0.36872005462646484,0.6251175999641418,0.16129343211650848,0.2557675838470459,0.25732165575027466
was,0.22111038863658905,0.1789962202310562,0.31910616159439087,0.16180774569511414,0.49306565523147583,0.48711544275283813,0.21643765270709991,0.26261669397354126,0.18412111699581146
subsequently,0.10897690057754517,0.1278729885816574,0.2101888656616211,0.1298566460609436,0.3438016176223755,0.2886511981487274,0.11536897718906403,0.1816807985305786,0.005594457965344191
acquired,0.15010768175125122,0.13418881595134735,0.5252942442893982,0.1618872433900833,0.18532145023345947,0.22202405333518982,0.16220086812973022,0.20568569004535675,0.09366346150636673
",",0.3087472915649414,0.2809832692146301,0.24780677258968353,0.24421082437038422,0.38860568404197693,0.4933079481124878,0.20281735062599182,0.2487315982580185,0.31091248989105225
in,0.30808621644973755,0.2304753065109253,0.2049272358417511,0.1788414567708969,0.44050168991088867,0.6662389636039734,0.17613162100315094,0.2541567385196686,0.20430970191955566
1192,0.03425436094403267,0.06297910958528519,0.1012023314833641,0.10179240256547928,0.09311454743146896,0.09461186081171036,0.0645579919219017,0.11435530334711075,-0.049462541937828064
",",0.3087472915649414,0.2809832692146301,0.24780677258968353,0.24421082437038422,0.38860568404197693,0.4933079481124878,0.20281735062599182,0.2487315982580185,0.31091248989105225
by,0.2455483376979828,0.2915726900100708,0.22153964638710022,0.06797947734594345,0.41259682178497314,0.4408751428127289,0.20111693441867828,0.22859755158424377,0.17966607213020325
guy,0.2512027323246002,0.10272542387247086,0.08868613839149475,0.0970740020275116,0.14367660880088806,0.16218504309654236,0.27530163526535034,0.16285428404808044,0.2167169600725174
de,0.10476839542388916,0.11945493519306183,0.17107908427715302,0.17899362742900848,0.1512669324874878,0.23491892218589783,0.15738962590694427,0.20138470828533173,0.11064168810844421
lusignan,0.13036872446537018,0.08839648216962814,0.14849136769771576,0.3221825957298279,0.2410924881696701,0.3060142993927002,0.28031495213508606,0.2947643995285034,0.21087659895420074
and,0.31309178471565247,0.3510662019252777,0.2527386248111725,0.27088847756385803,0.3765919506549835,0.5171257257461548,0.21611377596855164,0.26925429701805115,0.20544172823429108
became,0.1434093862771988,0.1589025855064392,0.30158349871635437,0.17579840123653412,0.35676637291908264,0.36325156688690186,0.2315083146095276,0.22696319222450256,0.11374033987522125
a,0.3320399522781372,0.2594761848449707,0.2100837230682373,0.1757529228925705,0.3831600844860077,0.5829201340675354,0.16633400321006775,0.1266939491033554,0.23916715383529663
stable,0.19113974273204803,0.18332591652870178,0.1698610484600067,0.148492231965065,0.15979935228824615,0.19243422150611877,0.060767874121665955,0.1448194682598114,0.11452282965183258
feudal,0.20686958730220795,0.11865649372339249,0.23715674877166748,0.1874857395887375,0.15488217771053314,0.2514895498752594,0.32439759373664856,0.39054128527641296,0.14302797615528107
kingdom,0.17826133966445923,0.21774280071258545,0.21858292818069458,0.29864630103111267,0.2314005345106125,0.3143408000469208,0.20456841588020325,0.30602729320526123,0.12927088141441345
.,0.3567904531955719,0.27268800139427185,0.24172939360141754,0.20954088866710663,0.35870397090911865,0.5934505462646484,0.24800069630146027,0.19387131929397583,0.4130953550338745
