,where,is,the,z-ring,?
the,0.5003893971443176,0.5823672413825989,1.0,0.3493405282497406,0.22068053483963013
division,0.1718221753835678,0.20176531374454498,0.26203617453575134,0.1549225151538849,0.08900629729032516
process,0.24239255487918854,0.21762968599796295,0.264274537563324,0.39762914180755615,0.2460896074771881
starts,0.19969066977500916,0.36385443806648254,0.39423343539237976,0.21250773966312408,0.17788195610046387
when,0.5747735500335693,0.3471449911594391,0.5091903209686279,0.381796658039093,0.22841128706932068
the,0.5003893971443176,0.5823672413825989,1.0,0.3493405282497406,0.22068053483963013
proteins,0.1785571277141571,0.2132607400417328,0.23576003313064575,0.27092963457107544,0.18469302356243134
ftsz1,0.19833768904209137,0.2094551920890808,0.22993101179599762,0.1428259164094925,0.13513077795505524
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.35860899090766907,0.20544172823429108
ftsz2,0.19562092423439026,0.22275026142597198,0.19871656596660614,0.2074439525604248,0.16796298325061798
assemble,0.20917482674121857,0.15891629457473755,0.2537953853607178,0.28239381313323975,0.14568409323692322
into,0.335035502910614,0.2619607150554657,0.39493247866630554,0.26795729994773865,0.15662476420402527
filaments,0.16768623888492584,0.2552186846733093,0.2968588173389435,0.28536492586135864,0.09979134798049927
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.29824990034103394,0.31091248989105225
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.35860899090766907,0.20544172823429108
with,0.4142743945121765,0.3250955045223236,0.4223487675189972,0.3913643956184387,0.2433311939239502
the,0.5003893971443176,0.5823672413825989,1.0,0.3493405282497406,0.22068053483963013
help,0.28302276134490967,0.152378648519516,0.30064165592193604,0.3690204918384552,0.28403452038764954
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.35157063603401184,0.1826142966747284
a,0.40997210144996643,0.658733606338501,0.5829201340675354,0.3013473451137543,0.23916715383529663
protein,0.15563616156578064,0.2287263572216034,0.22310464084148407,0.3125378489494324,0.169142946600914
arc6,0.2335202395915985,0.27380242943763733,0.29023170471191406,0.16874812543392181,0.1501099169254303
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.29824990034103394,0.31091248989105225
form,0.25177764892578125,0.3218395411968231,0.29286009073257446,0.23394811153411865,0.1463010311126709
a,0.40997210144996643,0.658733606338501,0.5829201340675354,0.3013473451137543,0.23916715383529663
structure,0.22224585711956024,0.26677995920181274,0.2933249771595001,0.25489118695259094,0.1770772784948349
called,0.3857341706752777,0.430266410112381,0.489897221326828,0.23602770268917084,0.18963319063186646
a,0.40997210144996643,0.658733606338501,0.5829201340675354,0.3013473451137543,0.23916715383529663
z-ring,0.3456522524356842,0.18829646706581116,0.3493405282497406,1.0000001192092896,0.2039296180009842
within,0.3611587882041931,0.30135563015937805,0.39827480912208557,0.2886505126953125,0.1870293766260147
the,0.5003893971443176,0.5823672413825989,1.0,0.3493405282497406,0.22068053483963013
chloroplast,0.2127864807844162,0.20798198878765106,0.21317854523658752,0.2690293490886688,0.12532055377960205
's,0.0007701900321990252,0.02396530658006668,-0.01540423184633255,0.02129482291638851,-0.023395681753754616
stroma,0.13679058849811554,0.20730970799922943,0.17211614549160004,0.1235627606511116,0.15478113293647766
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.29969310760498047,0.4130953550338745
