,what,are,some,normal,breakfast,foods,?
breakfast,0.22803165018558502,0.20788469910621643,0.24132105708122253,0.21125273406505585,1.0000001192092896,0.4880208969116211,0.1800449788570404
is,0.28837618231773376,0.5330929756164551,0.3038453459739685,0.2731911838054657,0.18498678505420685,0.22561511397361755,0.22961433231830597
usually,0.32521089911460876,0.5635237097740173,0.5402855277061462,0.468561053276062,0.2853901982307434,0.24655744433403015,0.19435347616672516
tea,0.1909407526254654,0.1850048452615738,0.22037853300571442,0.16388466954231262,0.33965572714805603,0.3225209712982178,0.18135163187980652
or,0.33867141604423523,0.5374364256858826,0.5009974837303162,0.39768552780151367,0.20835469663143158,0.2839818298816681,0.32389625906944275
porridge,0.32004380226135254,0.2602081894874573,0.31514981389045715,0.25125062465667725,0.4849132299423218,0.4958568513393402,0.23312824964523315
with,0.2464839518070221,0.38996943831443787,0.3924338221549988,0.3020731210708618,0.1778709888458252,0.17717789113521576,0.2433311939239502
bread,0.218822181224823,0.21472935378551483,0.2658374309539795,0.26836004853248596,0.6037218570709229,0.4937703013420105,0.16616880893707275
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.25911128520965576,0.23607304692268372,0.2837379276752472,0.31091248989105225
chapati,0.18341492116451263,0.18225613236427307,0.17277857661247253,0.10023628920316696,0.16122545301914215,0.2950844168663025,0.13893954455852509
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.25911128520965576,0.23607304692268372,0.2837379276752472,0.31091248989105225
mahamri,0.19812384247779846,0.12163857370615005,0.16425198316574097,0.08832098543643951,0.13588286936283112,0.20447644591331482,0.13967323303222656
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.25911128520965576,0.23607304692268372,0.2837379276752472,0.31091248989105225
boiled,0.20549975335597992,0.23634590208530426,0.2516007423400879,0.1604016125202179,0.4463551640510559,0.4032536447048187,0.22562114894390106
sweet,0.21475377678871155,0.19502848386764526,0.21134690940380096,0.1585613340139389,0.4266398251056671,0.3943304419517517,0.16117225587368011
potatoes,0.1947978436946869,0.28217822313308716,0.28424644470214844,0.12927187979221344,0.45629340410232544,0.4947468638420105,0.1893954575061798
or,0.33867141604423523,0.5374364256858826,0.5009974837303162,0.39768552780151367,0.20835469663143158,0.2839818298816681,0.32389625906944275
yams,0.18160440027713776,0.33385100960731506,0.28755393624305725,0.1871265023946762,0.30685603618621826,0.4068775773048401,0.18197153508663177
.,0.3567904531955719,0.3452940285205841,0.40663889050483704,0.2961207330226898,0.2211409956216812,0.25695091485977173,0.4130953550338745
