,which,series,version,had,a,negative,reception,from,some,doctor,who,viewers,?
a,0.56894451379776,0.23966510593891144,0.27132871747016907,0.34897568821907043,1.0,0.22058971226215363,0.23858176171779633,0.322764128446579,0.34539633989334106,0.22883038222789764,0.36608949303627014,0.17308323085308075,0.23916715383529663
new,0.33739399909973145,0.19748656451702118,0.1649281531572342,0.28327175974845886,0.3214259147644043,0.12555600702762604,0.19399845600128174,0.3360432982444763,0.3095579743385315,0.12563565373420715,0.2378052920103073,0.1999797523021698,0.14782847464084625
arrangement,0.38490524888038635,0.17070728540420532,0.21471627056598663,0.2911553978919983,0.279064804315567,0.22676067054271698,0.23013630509376526,0.13140378892421722,0.25949230790138245,0.051071979105472565,0.12936225533485413,0.1372864544391632,0.11038770526647568
of,0.5011631846427917,0.22268271446228027,0.14166875183582306,0.37755560874938965,0.5052502155303955,0.17049510776996613,0.20910748839378357,0.4249346852302551,0.4300730526447296,0.16895952820777893,0.2827862501144409,0.1391541063785553,0.1826142966747284
the,0.6521818041801453,0.31376904249191284,0.27268242835998535,0.3875846862792969,0.5829201340675354,0.1981879472732544,0.27069389820098877,0.40150508284568787,0.4566698372364044,0.2820442318916321,0.3733934462070465,0.24207380414009094,0.22068053483963013
theme,0.25756725668907166,0.3285406529903412,0.3038923144340515,0.2012919783592224,0.2278088480234146,0.16778865456581116,0.23723158240318298,0.18822719156742096,0.2414253205060959,0.17665699124336243,0.1836521327495575,0.27600744366645813,0.21507632732391357
",",0.3658004403114319,0.24060699343681335,0.2078275829553604,0.35487717390060425,0.427140474319458,0.18075795471668243,0.25582873821258545,0.39760664105415344,0.42400437593460083,0.20407600700855255,0.3365725874900818,0.18595917522907257,0.31091248989105225
once,0.5001838207244873,0.22230814397335052,0.1807173639535904,0.39093562960624695,0.4225178360939026,0.17153331637382507,0.1683793067932129,0.2586478292942047,0.3470027446746826,0.12993034720420837,0.3575699031352997,0.10428068041801453,0.17750471830368042
again,0.3812651038169861,0.2674887478351593,0.20480026304721832,0.33564653992652893,0.3266791105270386,0.13562268018722534,0.17307132482528687,0.3098379671573639,0.2900652587413788,0.21954944729804993,0.29984283447265625,0.15695393085479736,0.2679590880870819
by,0.40543368458747864,0.267352432012558,0.21702225506305695,0.37294110655784607,0.32094135880470276,0.19438643753528595,0.15095773339271545,0.3373257517814636,0.306446373462677,0.13681447505950928,0.39727845788002014,0.1945452094078064,0.17966607213020325
