,on,december,22nd,2009,",",abc,reached,an,agreement,with,apple,to,make,abc,shows,available,on,what,service,?
on,0.9999999403953552,0.3479952812194824,0.15655489265918732,-0.13349726796150208,0.49057599902153015,0.2862928807735443,0.321969211101532,0.3192969560623169,0.22078442573547363,0.40749499201774597,0.2831275165081024,0.41031414270401,0.27031177282333374,0.2862928807735443,0.361020565032959,0.3133032023906708,0.9999999403953552,0.34226128458976746,0.21384719014167786,0.2714994251728058
december,0.3479952812194824,1.0,0.1384585052728653,-0.16111603379249573,0.4136100113391876,0.16602325439453125,0.22489497065544128,0.20620359480381012,0.24072295427322388,0.14869219064712524,0.15027685463428497,0.21181435883045197,0.11926556378602982,0.16602325439453125,0.10729700326919556,0.1359252631664276,0.3479952812194824,0.19304980337619781,0.21094515919685364,0.2480352818965912
22,4.0948758396552876e-05,0.02510318160057068,0.1063980907201767,0.0227113775908947,-0.020062340423464775,-0.00690848333761096,-0.0521513968706131,0.05250119790434837,0.007823823019862175,-0.021230878308415413,-0.029074186459183693,0.038123417645692825,0.01484094187617302,-0.00690848333761096,-0.011196861043572426,-0.03618644177913666,4.0948758396552876e-05,0.02076123282313347,0.06772434711456299,0.06663474440574646
",",0.49057599902153015,0.4136100113391876,0.313255250453949,-0.3093184232711792,1.0000001192092896,0.2097204476594925,0.26771560311317444,0.3581022024154663,0.23435252904891968,0.4120737314224243,0.2593806982040405,0.44245919585227966,0.324553906917572,0.2097204476594925,0.26986414194107056,0.2614012062549591,0.49057599902153015,0.3087472915649414,0.2389259785413742,0.31091248989105225
disney–abc,0.2856506109237671,0.19600646197795868,0.11163502931594849,-0.10235816985368729,0.2798381447792053,0.4950595200061798,0.15995965898036957,0.18637937307357788,0.21878035366535187,0.2595196068286896,0.33823564648628235,0.31463199853897095,0.23909246921539307,0.4950595200061798,0.3458702266216278,0.29845863580703735,0.2856506109237671,0.2614334523677826,0.2952917814254761,0.2595943808555603
television,0.2825660705566406,0.23292800784111023,0.13742858171463013,-0.03899844363331795,0.27995240688323975,0.46871840953826904,0.1298128217458725,0.22427234053611755,0.13703082501888275,0.17469868063926697,0.21017593145370483,0.1933557242155075,0.18391068279743195,0.46871840953826904,0.39632683992385864,0.19089162349700928,0.2825660705566406,0.19838058948516846,0.2054690420627594,0.16825827956199646
group,0.22796137630939484,0.10778108239173889,0.03732908517122269,-0.12655717134475708,0.2809832692146301,0.11665991693735123,0.12894031405448914,0.1671597808599472,0.24394439160823822,0.23998425900936127,0.16504144668579102,0.2672896385192871,0.22072963416576385,0.11665991693735123,0.21883055567741394,0.10910189151763916,0.22796137630939484,0.2114069163799286,0.1757926642894745,0.13827809691429138
announced,0.303989976644516,0.30830031633377075,0.046707578003406525,-0.10238838195800781,0.23036719858646393,0.20444560050964355,0.1577238291501999,0.13740479946136475,0.31012025475502014,0.19698800146579742,0.2002202421426773,0.20247882604599,0.17076073586940765,0.20444560050964355,0.1792382150888443,0.2678789794445038,0.303989976644516,0.09249057620763779,0.21963496506214142,0.17416009306907654
a,0.3848365545272827,0.24493688344955444,0.1646157205104828,-0.24348297715187073,0.427140474319458,0.21331243216991425,0.21212449669837952,0.44552403688430786,0.203191339969635,0.3783375024795532,0.22888967394828796,0.45503583550453186,0.34303420782089233,0.21331243216991425,0.3360818326473236,0.19077399373054504,0.3848365545272827,0.3320399522781372,0.23104366660118103,0.23916715383529663
partnership,0.21416185796260834,0.2182021290063858,0.04380976781249046,-0.20846249163150787,0.23560190200805664,0.1646282821893692,0.12032311409711838,0.11573025584220886,0.4001500904560089,0.2440488487482071,0.13131964206695557,0.15781809389591217,0.1364358812570572,0.1646282821893692,0.1378483772277832,0.19533026218414307,0.21416185796260834,0.08281094580888748,0.31654658913612366,0.10106698423624039
