,britain,'s,support,of,france,in,which,war,led,to,rodin,donating,many,of,his,sculptures,to,the,v,&,a,?
rodin,0.1785481870174408,0.07818061113357544,0.19214895367622375,0.2017039805650711,0.27480971813201904,0.22827556729316711,0.17974749207496643,0.21641598641872406,0.1557959020137787,0.1395432949066162,1.0,0.2198074609041214,0.17460332810878754,0.2017039805650711,0.27546077966690063,0.4410027265548706,0.1395432949066162,0.22058722376823425,0.160962775349617,0.0835583359003067,0.24107733368873596,0.2113768309354782
is,0.1415579617023468,0.02396530658006668,0.17214131355285645,0.4854315221309662,0.22835302352905273,0.5394441485404968,0.4457404911518097,0.18502555787563324,0.14361225068569183,0.42745086550712585,0.1474413424730301,0.23672077059745789,0.2649032473564148,0.4854315221309662,0.24372583627700806,0.2162380963563919,0.42745086550712585,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.22961433231830597
represented,0.18416191637516022,0.09158138185739517,0.13480064272880554,0.3891753554344177,0.11115720123052597,0.33309870958328247,0.2635336220264435,0.1417502760887146,0.24570898711681366,0.18846964836120605,0.16870157420635223,0.1359403282403946,0.20285002887248993,0.3891753554344177,0.1556210219860077,0.262362003326416,0.18846964836120605,0.3256146013736725,0.13714782893657684,0.07141020148992538,0.3039659857749939,0.11276352405548096
by,0.20873384177684784,-0.010884488001465797,0.16184203326702118,0.3646814823150635,0.22743742167949677,0.370934396982193,0.40543368458747864,0.18974854052066803,0.30694612860679626,0.33534231781959534,0.17763222754001617,0.24325232207775116,0.3409687578678131,0.3646814823150635,0.3107621967792511,0.20191910862922668,0.33534231781959534,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,0.17966607213020325
more,0.17831842601299286,0.032942235469818115,0.2825237512588501,0.30478984117507935,0.18404212594032288,0.32563260197639465,0.4639437198638916,0.18915869295597076,0.2405170202255249,0.47084665298461914,0.16810345649719238,0.3354231119155884,0.48608261346817017,0.30478984117507935,0.23633438348770142,0.23042303323745728,0.47084665298461914,0.39758381247520447,0.12196233123540878,0.0793071761727333,0.3452818691730499,0.27894994616508484
than,0.18774253129959106,0.0585811510682106,0.23169644176959991,0.33036211133003235,0.14041060209274292,0.3270052373409271,0.3974681496620178,0.15603148937225342,0.16356892883777618,0.3192550539970398,0.14158867299556732,0.25946587324142456,0.39069414138793945,0.33036211133003235,0.18405678868293762,0.19063393771648407,0.3192550539970398,0.3227543234825134,0.10344221442937851,0.07854517549276352,0.3126874566078186,0.24917294085025787
20,-0.03863106295466423,-0.016651324927806854,-0.017190909013152122,-0.0318976491689682,0.042111799120903015,-0.022708838805556297,-0.061742693185806274,-0.04026148095726967,-0.01841890439391136,-0.018198585137724876,0.09725194424390793,-0.012284132651984692,0.10720284283161163,-0.0318976491689682,-0.03534999489784241,0.08398010581731796,-0.018198585137724876,-0.06418957561254501,-0.02702777087688446,0.03732403367757797,-0.014937898144125938,0.11360422521829605
works,0.16244414448738098,0.04286740720272064,0.19586293399333954,0.1964656114578247,0.1362081617116928,0.2656683027744293,0.2730301022529602,0.13822628557682037,0.1374971717596054,0.22564561665058136,0.2773949205875397,0.22956815361976624,0.31669676303863525,0.1964656114578247,0.32648009061813354,0.31137990951538086,0.22564561665058136,0.26337864995002747,0.1258377879858017,0.12323866784572601,0.2170431762933731,0.19597402215003967
in,0.26246872544288635,-0.037580832839012146,0.17618270218372345,0.5696388483047485,0.3812309503555298,1.0,0.4840516746044159,0.29904094338417053,0.2990247309207916,0.45010748505592346,0.22827556729316711,0.2520313560962677,0.41474202275276184,0.5696388483047485,0.3598145842552185,0.2280999720096588,0.45010748505592346,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.20430970191955566
the,0.29784059524536133,-0.01540423184633255,0.22984638810157776,0.733189046382904,0.35517507791519165,0.6662389636039734,0.6521818041801453,0.366199791431427,0.3267505168914795,0.535392165184021,0.22058722376823425,0.32038500905036926,0.4335206151008606,0.733189046382904,0.4394008219242096,0.2478773295879364,0.535392165184021,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
museum,0.17979341745376587,-0.011753248050808907,0.1303071230649948,0.23314370214939117,0.21940147876739502,0.2407650351524353,0.22731433808803558,0.19376973807811737,0.20291689038276672,0.1640389859676361,0.2495928704738617,0.20029844343662262,0.16926175355911255,0.23314370214939117,0.19025814533233643,0.3961195647716522,0.1640389859676361,0.24861779808998108,0.07561434060335159,0.18110838532447815,0.14725451171398163,0.14128351211547852
collection,0.1765190064907074,0.003388406243175268,0.18624186515808105,0.2915455996990204,0.1576608121395111,0.23004686832427979,0.30199134349823,0.15837211906909943,0.15415877103805542,0.15417452156543732,0.277570903301239,0.272736132144928,0.24966391921043396,0.2915455996990204,0.23265236616134644,0.3520832657814026,0.15417452156543732,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.20069393515586853
