,what,was,an,additional,projected,effect,of,the,attempted,reform,?
following,0.2506418824195862,0.16493390500545502,0.28730031847953796,0.27336761355400085,0.13460583984851837,0.20425865054130554,0.3576679527759552,0.39779382944107056,0.2791540026664734,0.18532082438468933,0.1555173695087433
the,0.42745697498321533,0.48711544275283813,0.4207492768764496,0.2539002597332001,0.2842520475387573,0.2865084111690521,0.733189046382904,1.0,0.2688039243221283,0.28116169571876526,0.22068053483963013
nice,0.31001901626586914,0.18531116843223572,0.2100137621164322,0.21958395838737488,0.10258910804986954,0.17292584478855133,0.2583445906639099,0.24021440744400024,0.0626949667930603,0.12837062776088715,0.26011520624160767
treaty,0.17237819731235504,0.2409621626138687,0.16682939231395721,0.1782994568347931,0.09179326146841049,0.2629944682121277,0.2602092921733856,0.2690109610557556,0.1481514275074005,0.22010453045368195,0.1174844279885292
",",0.3087472915649414,0.45456063747406006,0.3581022024154663,0.30316734313964844,0.2249598652124405,0.2150653600692749,0.4946078956127167,0.4933079481124878,0.24146170914173126,0.17745937407016754,0.31091248989105225
there,0.35085538029670715,0.24909798800945282,0.22476400434970856,0.2931520938873291,0.2635570168495178,0.21153241395950317,0.44397735595703125,0.47025805711746216,0.20266403257846832,0.15223075449466705,0.29405656456947327
was,0.22111038863658905,1.0000001192092896,0.3694365322589874,0.10680072009563446,0.19859115779399872,0.16271711885929108,0.4069072902202606,0.48711544275283813,0.29312843084335327,0.2882646918296814,0.18412111699581146
an,0.2821882665157318,0.3694365322589874,1.0,0.2082792967557907,0.16164107620716095,0.22336138784885406,0.32280945777893066,0.4207492768764496,0.2168029248714447,0.20876818895339966,0.19793890416622162
attempt,0.2411041408777237,0.2327374517917633,0.20525622367858887,0.12074906378984451,0.16663143038749695,0.21876837313175201,0.21525268256664276,0.2614527940750122,0.7799198031425476,0.2749776244163513,0.16559520363807678
to,0.455847829580307,0.3636345863342285,0.3138085603713989,0.29850050806999207,0.2539973556995392,0.2521958649158478,0.41548454761505127,0.535392165184021,0.4076770544052124,0.30886903405189514,0.29463258385658264
reform,0.20049384236335754,0.2882646918296814,0.20876818895339966,0.14647150039672852,0.13755588233470917,0.2337224781513214,0.28063878417015076,0.28116169571876526,0.29034423828125,1.0000001192092896,0.14216484129428864
the,0.42745697498321533,0.48711544275283813,0.4207492768764496,0.2539002597332001,0.2842520475387573,0.2865084111690521,0.733189046382904,1.0,0.2688039243221283,0.28116169571876526,0.22068053483963013
