,which,middle,eastern,nation,in,particular,views,genghis,khan,as,a,contemptible,perpetrator,of,genocide,?
in,0.4840516746044159,0.26767921447753906,0.3306356370449066,0.24983231723308563,1.0,0.3090636432170868,0.18003326654434204,0.224680557847023,0.1527150720357895,0.3887844979763031,0.539380669593811,0.18863528966903687,0.14956627786159515,0.5696388483047485,0.17022602260112762,0.20430970191955566
the,0.6521818041801453,0.3405749201774597,0.3928247392177582,0.39486879110336304,0.6662389636039734,0.4066357910633087,0.23137402534484863,0.3448939025402069,0.21067845821380615,0.48381632566452026,0.5829201340675354,0.19549798965454102,0.18479296565055847,0.733189046382904,0.24917379021644592,0.22068053483963013
middle,0.22406704723834991,0.9999998807907104,0.31986919045448303,0.23465274274349213,0.26767921447753906,0.19893565773963928,0.13960307836532593,0.17651045322418213,0.13592681288719177,0.2141454964876175,0.23820361495018005,0.12878388166427612,0.1423932909965515,0.2799445688724518,0.20643994212150574,0.13139553368091583
east,0.22817298769950867,0.3956385850906372,0.6015186309814453,0.28003251552581787,0.32659441232681274,0.16216962039470673,0.16980057954788208,0.22569963335990906,0.16025978326797485,0.19617025554180145,0.18767057359218597,0.08304493129253387,0.09809496998786926,0.314786434173584,0.12413624674081802,0.10070597380399704
",",0.3658004403114319,0.24847112596035004,0.3081906735897064,0.2516145408153534,0.5201468467712402,0.2547086179256439,0.2727104723453522,0.2891939878463745,0.19700400531291962,0.48816442489624023,0.427140474319458,0.2932625114917755,0.24927933514118195,0.4946078956127167,0.20352867245674133,0.31091248989105225
and,0.506277859210968,0.2514324486255646,0.22891712188720703,0.2466844916343689,0.4954058527946472,0.29526737332344055,0.24296055734157562,0.26551535725593567,0.22885166108608246,0.49487000703811646,0.3739250600337982,0.3230215609073639,0.1512308567762375,0.5116966962814331,0.1988680213689804,0.20544172823429108
particularly,0.4413786828517914,0.2652154266834259,0.25917789340019226,0.21094900369644165,0.33242201805114746,0.7003909945487976,0.2648417353630066,0.13352149724960327,0.12082164734601974,0.35802018642425537,0.307696133852005,0.24594265222549438,0.10701363533735275,0.30258041620254517,0.17027738690376282,0.2644225060939789
in,0.4840516746044159,0.26767921447753906,0.3306356370449066,0.24983231723308563,1.0,0.3090636432170868,0.18003326654434204,0.224680557847023,0.1527150720357895,0.3887844979763031,0.539380669593811,0.18863528966903687,0.14956627786159515,0.5696388483047485,0.17022602260112762,0.20430970191955566
iran,0.19877111911773682,0.18735814094543457,0.2059529721736908,0.23043332993984222,0.2470509260892868,0.1942344456911087,0.1809311807155609,0.3727608919143677,0.356723427772522,0.17505189776420593,0.1959446221590042,0.09730703383684158,0.185860738158226,0.23381876945495605,0.23389676213264465,0.13501082360744476
",",0.3658004403114319,0.24847112596035004,0.3081906735897064,0.2516145408153534,0.5201468467712402,0.2547086179256439,0.2727104723453522,0.2891939878463745,0.19700400531291962,0.48816442489624023,0.427140474319458,0.2932625114917755,0.24927933514118195,0.4946078956127167,0.20352867245674133,0.31091248989105225
genghis,0.26472097635269165,0.17651045322418213,0.25336745381355286,0.2549380958080292,0.224680557847023,0.134783074259758,0.13426026701927185,1.0,0.5896923542022705,0.17543354630470276,0.194350928068161,0.243784099817276,0.18659694492816925,0.2938849925994873,0.30582454800605774,0.18813461065292358
khan,0.19211235642433167,0.13592681288719177,0.09334104508161545,0.19488191604614258,0.1527150720357895,0.1496681571006775,0.09743243455886841,0.5896923542022705,1.0,0.22500167787075043,0.1743650734424591,0.0746379941701889,0.1583774834871292,0.17124508321285248,0.17778584361076355,0.12862591445446014
is,0.4457404911518097,0.21621397137641907,0.2375388890504837,0.2303507775068283,0.5394441485404968,0.3500361442565918,0.1585468053817749,0.1866190880537033,0.20103248953819275,0.43216490745544434,0.658733606338501,0.2396647334098816,0.13041436672210693,0.4854315221309662,0.13540099561214447,0.22961433231830597
almost,0.4336007535457611,0.180457204580307,0.2460058033466339,0.22333566844463348,0.3422279357910156,0.32461783289909363,0.15133258700370789,0.19234871864318848,0.1431439220905304,0.3135391175746918,0.28146228194236755,0.2406270056962967,0.13431140780448914,0.3144364058971405,0.1959884613752365,0.1372147500514984
universally,0.3526355028152466,0.14575612545013428,0.22979073226451874,0.2275782972574234,0.21270988881587982,0.3286280632019043,0.26593294739723206,0.23118695616722107,0.14644606411457062,0.3468949794769287,0.24332734942436218,0.29733479022979736,0.12923340499401093,0.2516738176345825,0.19277724623680115,0.2618650197982788
condemned,0.18847091495990753,0.08836599439382553,0.2056732028722763,0.1603715568780899,0.1719873994588852,0.19994477927684784,0.33512362837791443,0.2609819769859314,0.1674829125404358,0.14063723385334015,0.17097018659114838,0.3673763871192932,0.27178847789764404,0.22521376609802246,0.37739697098731995,0.18363839387893677
as,0.41006597876548767,0.2141454964876175,0.21607916057109833,0.3125741481781006,0.3887844979763031,0.3149423897266388,0.20329707860946655,0.17543354630470276,0.22500167787075043,1.0,0.39550232887268066,0.1986856758594513,0.15199650824069977,0.3886612355709076,0.15644437074661255,0.27043893933296204
a,0.56894451379776,0.23820361495018005,0.2322530597448349,0.23379194736480713,0.539380669593811,0.439316987991333,0.19887466728687286,0.194350928068161,0.1743650734424591,0.39550232887268066,1.0,0.21086689829826355,0.18392761051654816,0.5052502155303955,0.1365908831357956,0.23916715383529663
destructive,0.3155810236930847,0.15847650170326233,0.23282738029956818,0.1985180824995041,0.2215355485677719,0.2650758922100067,0.21494771540164948,0.17561419308185577,0.09927357733249664,0.2006848007440567,0.23326475918293,0.34336206316947937,0.2703191936016083,0.21505078673362732,0.18234440684318542,0.18108771741390228
and,0.506277859210968,0.2514324486255646,0.22891712188720703,0.2466844916343689,0.4954058527946472,0.29526737332344055,0.24296055734157562,0.26551535725593567,0.22885166108608246,0.49487000703811646,0.3739250600337982,0.3230215609073639,0.1512308567762375,0.5116966962814331,0.1988680213689804,0.20544172823429108
genocidal,0.22156135737895966,0.17237026989459991,0.23636198043823242,0.3333660364151001,0.14413803815841675,0.26086947321891785,0.23615185916423798,0.3572646975517273,0.2188674658536911,0.17523768544197083,0.1950933188199997,0.28795966506004333,0.3698747456073761,0.1828872114419937,0.886213481426239,0.21828152239322662
warlord,0.1097562238574028,0.19510427117347717,0.21363823115825653,0.2470696121454239,0.12336835265159607,0.12755818665027618,0.11707545816898346,0.5239964723587036,0.34554076194763184,0.16243359446525574,0.1666129231452942,0.17844033241271973,0.23818673193454742,0.1455344557762146,0.2620304822921753,0.14382630586624146
who,0.3688730001449585,0.16097767651081085,0.18017642199993134,0.23936018347740173,0.2792111933231354,0.304595410823822,0.233521968126297,0.3018350303173065,0.2616176903247833,0.3923053741455078,0.36608949303627014,0.21587634086608887,0.3057003319263458,0.2827862501144409,0.2794593572616577,0.26220351457595825
caused,0.310800164937973,0.1165420189499855,0.18587064743041992,0.1359492987394333,0.2494886964559555,0.2731773555278778,0.24312330782413483,0.15694749355316162,0.04541678726673126,0.16101646423339844,0.22472180426120758,0.2162310779094696,0.22131584584712982,0.29665443301200867,0.16329587996006012,0.20679491758346558
enormous,0.40428438782691956,0.20159217715263367,0.14580516517162323,0.22078090906143188,0.22390374541282654,0.3333404064178467,0.212546706199646,0.3059549629688263,0.13558968901634216,0.1891421526670456,0.26646044850349426,0.31122151017189026,0.12554654479026794,0.3543209135532379,0.204944908618927,0.10456154495477676
damage,0.32060185074806213,0.15600615739822388,0.20788390934467316,0.09312712401151657,0.21804088354110718,0.2505575716495514,0.23378214240074158,0.11597675830125809,0.05487483739852905,0.18210068345069885,0.22061721980571747,0.19618763029575348,0.17041447758674622,0.23761005699634552,0.17546844482421875,0.2121051400899887
