,whose,theory,was,the,theory,of,continental,drift,?
plate,0.12204889208078384,0.1758165806531906,0.14325039088726044,0.2611875832080841,0.1758165806531906,0.18672886490821838,0.4028269052505493,0.29987770318984985,0.17674463987350464
tectonics,0.14382237195968628,0.38655465841293335,0.17150072753429413,0.29442116618156433,0.38655465841293335,0.26461800932884216,0.46332481503486633,0.42822355031967163,0.1727893352508545
also,0.3275339901447296,0.27736079692840576,0.4032125174999237,0.6021018624305725,0.27736079692840576,0.4924938678741455,0.19400621950626373,0.20358973741531372,0.21848613023757935
provided,0.19229251146316528,0.24752311408519745,0.2404836267232895,0.304488867521286,0.24752311408519745,0.272808313369751,0.12752869725227356,0.16465705633163452,0.16893617808818817
a,0.3225097060203552,0.2233850657939911,0.4508470594882965,0.5829201340675354,0.2233850657939911,0.5052502155303955,0.19485482573509216,0.23388457298278809,0.23916715383529663
mechanism,0.16272108256816864,0.4513286054134369,0.1742776781320572,0.24941077828407288,0.4513286054134369,0.21395906805992126,0.1944369673728943,0.2915162146091461,0.1732848435640335
for,0.22978365421295166,0.20500218868255615,0.3863949179649353,0.4739971458911896,0.20500218868255615,0.4185989499092102,0.17001157999038696,0.2328706681728363,0.264628142118454
alfred,0.15186470746994019,0.20743566751480103,0.27826040983200073,0.24956922233104706,0.20743566751480103,0.20830056071281433,0.1581157147884369,0.23933455348014832,0.10596195608377457
wegener,0.17932605743408203,0.39055708050727844,0.26342228055000305,0.2737780809402466,0.39055708050727844,0.2063991278409958,0.3983211815357208,0.43202802538871765,0.14696720242500305
's,-0.019954677671194077,-0.0025054612196981907,0.008974763564765453,-0.01540423184633255,-0.0025054612196981907,-0.03817026689648628,0.12164566665887833,0.04974106699228287,-0.023395681753754616
theory,0.19235534965991974,0.9999999403953552,0.18278326094150543,0.2277156263589859,0.9999999403953552,0.23506702482700348,0.16701771318912506,0.33352333307266235,0.1387292891740799
of,0.37058958411216736,0.23506702482700348,0.4069072902202606,0.733189046382904,0.23506702482700348,1.0,0.2580660581588745,0.28527894616127014,0.1826142966747284
continental,0.1782522350549698,0.16701771318912506,0.23607179522514343,0.32723063230514526,0.16701771318912506,0.2580660581588745,0.9999999403953552,0.36694520711898804,0.1410352885723114
drift,0.10731097310781479,0.33352333307266235,0.18711884319782257,0.34215953946113586,0.33352333307266235,0.28527894616127014,0.36694520711898804,1.0000001192092896,0.18257342278957367
",",0.25601375102996826,0.18095813691616058,0.45456063747406006,0.4933079481124878,0.18095813691616058,0.4946078956127167,0.21947523951530457,0.2428497076034546,0.31091248989105225
in,0.23496666550636292,0.16955126821994781,0.45514053106307983,0.6662389636039734,0.16955126821994781,0.5696388483047485,0.248937726020813,0.2739628851413727,0.20430970191955566
which,0.37205496430397034,0.3127335011959076,0.2830964922904968,0.6521818041801453,0.3127335011959076,0.5011631846427917,0.24691486358642578,0.3195875287055969,0.25814583897590637
the,0.38253846764564514,0.2277156263589859,0.48711544275283813,1.0,0.2277156263589859,0.733189046382904,0.32723063230514526,0.34215953946113586,0.22068053483963013
continents,0.17666222155094147,0.19421058893203735,0.1926802545785904,0.3213147521018982,0.19421058893203735,0.2563624083995819,0.7661610245704651,0.3885267972946167,0.14156782627105713
move,0.1186780035495758,0.21419228613376617,0.1574081927537918,0.29817628860473633,0.21419228613376617,0.19058799743652344,0.226700559258461,0.26441890001296997,0.24440962076187134
across,0.20412424206733704,0.1132369190454483,0.20413610339164734,0.3816230297088623,0.1132369190454483,0.2936134934425354,0.28089866042137146,0.3388186991214752,0.17034576833248138
the,0.38253846764564514,0.2277156263589859,0.48711544275283813,1.0,0.2277156263589859,0.733189046382904,0.32723063230514526,0.34215953946113586,0.22068053483963013
surface,0.1017838642001152,0.20110444724559784,0.15540370345115662,0.2555135488510132,0.20110444724559784,0.24204103648662567,0.25914236903190613,0.2995738089084625,0.14613434672355652
of,0.37058958411216736,0.23506702482700348,0.4069072902202606,0.733189046382904,0.23506702482700348,1.0,0.2580660581588745,0.28527894616127014,0.1826142966747284
the,0.38253846764564514,0.2277156263589859,0.48711544275283813,1.0,0.2277156263589859,0.733189046382904,0.32723063230514526,0.34215953946113586,0.22068053483963013
earth,0.11644884943962097,0.27239564061164856,0.18661361932754517,0.2801888585090637,0.27239564061164856,0.2329314798116684,0.3190031051635742,0.292375773191452,0.17717236280441284
over,0.26868775486946106,0.1338968127965927,0.24486446380615234,0.39856547117233276,0.1338968127965927,0.36136594414711,0.24670033156871796,0.2968839704990387,0.25742942094802856
geologic,0.11717907339334488,0.2568618655204773,0.16818854212760925,0.27847176790237427,0.2568618655204773,0.2885846793651581,0.38834020495414734,0.26994580030441284,0.18781805038452148
time,0.165165513753891,0.22444109618663788,0.3641340136528015,0.43061500787734985,0.22444109618663788,0.35127586126327515,0.29977884888648987,0.21673539280891418,0.27391523122787476
.,0.2718997597694397,0.18047811090946198,0.40146201848983765,0.5934505462646484,0.18047811090946198,0.5352458953857422,0.26854023337364197,0.24393774569034576,0.4130953550338745
