,who,voted,on,the,venue,for,super,bowl,50,?
on,0.2340552806854248,0.22236128151416779,0.9999999403953552,0.5107308030128479,0.21426907181739807,0.36199691891670227,0.1569211632013321,0.1334993690252304,0.05590687692165375,0.2714994251728058
may,0.23082798719406128,0.20535586774349213,0.3428080081939697,0.2694292366504669,0.17523542046546936,0.29255861043930054,0.06435030698776245,0.13486415147781372,-0.09536082297563553,0.2768254578113556
21,-0.09231068938970566,0.024039095267653465,-0.02347504533827305,-0.05849577113986015,0.09674800932407379,-0.042345717549324036,0.0765494555234909,0.057394351810216904,0.026449495926499367,-0.01186173316091299
",",0.3365725874900818,0.2582967281341553,0.49057599902153015,0.4933079481124878,0.24143879115581512,0.4464869201183319,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
2013,-0.16540901362895966,-0.1613122522830963,-0.3310580551624298,-0.38509321212768555,-0.2089681774377823,-0.2664349377155304,-0.19311918318271637,-0.1821834146976471,-0.09575455635786057,-0.2969330847263336
",",0.3365725874900818,0.2582967281341553,0.49057599902153015,0.4933079481124878,0.24143879115581512,0.4464869201183319,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
nfl,0.13425186276435852,0.2707764804363251,0.18523651361465454,0.15305201709270477,0.22571583092212677,0.23749186098575592,0.319060355424881,0.48354101181030273,-0.06279195845127106,0.10610254108905792
owners,0.2951212227344513,0.1974288672208786,0.20769436657428741,0.23230907320976257,0.18537671864032745,0.26202231645584106,0.09338007122278214,0.16314508020877838,-0.03137011080980301,0.15586642920970917
at,0.22096660733222961,0.19333325326442719,0.4806317389011383,0.457212895154953,0.289700448513031,0.34237727522850037,0.11449114978313446,0.2709662914276123,-0.018447641283273697,0.21978627145290375
their,0.3767721951007843,0.18319091200828552,0.3598666191101074,0.516537070274353,0.18612125515937805,0.3406745493412018,0.14342328906059265,0.1663845032453537,0.06537782400846481,0.1898253709077835
spring,0.12822824716567993,0.0995321273803711,0.15691092610359192,0.316989928483963,0.11679687350988388,0.18597541749477386,0.12306609004735947,0.1362941861152649,0.006738591473549604,0.06767474114894867
meetings,0.2926362454891205,0.28681886196136475,0.2744849622249603,0.31532901525497437,0.3477478623390198,0.2716311812400818,0.08251890540122986,0.1173693910241127,0.06948060542345047,0.17293356359004974
in,0.2792111933231354,0.22158056497573853,0.46853652596473694,0.6662389636039734,0.24086345732212067,0.4322226941585541,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
boston,0.21345609426498413,0.2036237120628357,0.2302081137895584,0.2297145575284958,0.12732602655887604,0.21514153480529785,0.1332802176475525,0.22450120747089386,0.030019111931324005,0.14705288410186768
voted,0.3554985225200653,1.0,0.22236128151416779,0.3015371859073639,0.18616843223571777,0.24463090300559998,0.18915559351444244,0.20243211090564728,0.018370142206549644,0.22732289135456085
and,0.41279885172843933,0.1609976589679718,0.4077630043029785,0.5171257257461548,0.20970648527145386,0.5064792633056641,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.20544172823429108
awarded,0.22917822003364563,0.2725283205509186,0.1811772733926773,0.24971646070480347,0.14632204174995422,0.2816879153251648,0.12568415701389313,0.1685333251953125,-0.04696100950241089,0.1431703418493271
the,0.3733934462070465,0.3015371859073639,0.5107308030128479,1.0,0.22078999876976013,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
game,0.2523840069770813,0.2824617028236389,0.22967135906219482,0.285271555185318,0.23778632283210754,0.2608485519886017,0.3480181396007538,0.2413962334394455,0.012895043939352036,0.1829071193933487
to,0.42656609416007996,0.22957871854305267,0.41031414270401,0.535392165184021,0.21620799601078033,0.4451248347759247,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.29463258385658264
levi,0.2192063331604004,0.09592310339212418,0.1284046620130539,0.15661084651947021,0.11435405910015106,0.16166196763515472,0.08340612053871155,0.1602962166070938,-0.008762326091527939,0.09252339601516724
's,0.05599616840481758,0.060291141271591187,0.0026888418942689896,-0.01540423184633255,0.10324010252952576,-0.07241261005401611,0.09726737439632416,-0.02838491089642048,-0.01041578408330679,-0.023395681753754616
stadium,0.1875128448009491,0.1547851413488388,0.16608425974845886,0.21145665645599365,0.489891916513443,0.18393352627754211,0.1715150624513626,0.25985562801361084,0.0706227570772171,0.07579939067363739
.,0.3541337847709656,0.2740060091018677,0.49257001280784607,0.5934505462646484,0.21571816504001617,0.4726039469242096,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
