,when,was,richard,grainger,actively,building,and,developing,?
established,0.18169470131397247,0.26515325903892517,0.008295864798128605,0.06660996377468109,0.2160196751356125,0.26253989338874817,0.2369968742132187,0.25512102246284485,0.15917523205280304
on,0.37706470489501953,0.3909217119216919,0.20763179659843445,0.16915717720985413,0.26846057176589966,0.24277396500110626,0.4077630043029785,0.2523074150085449,0.2714994251728058
classical,0.22570239007472992,0.26228487491607666,0.19111205637454987,0.33873265981674194,0.12475752830505371,0.1717386692762375,0.3120557963848114,0.1888466328382492,0.18862907588481903
streets,0.16596552729606628,0.18835458159446716,0.08586911112070084,0.14488762617111206,0.134514719247818,0.3106657564640045,0.3053084909915924,0.09622656553983688,0.0894271582365036
built,0.19830277562141418,0.3424932360649109,0.14018286764621735,0.15655404329299927,0.13362270593643188,0.5628743767738342,0.2814858853816986,0.19515660405158997,0.09449632465839386
by,0.4376842677593231,0.4752357602119446,0.24423328042030334,0.25031065940856934,0.2274366319179535,0.20441755652427673,0.4289871156215668,0.18034867942333221,0.17966607213020325
richard,0.18583287298679352,0.26966050267219543,0.9999999403953552,0.3453887701034546,0.0923360288143158,0.16820208728313446,0.22443673014640808,0.12233608961105347,0.15003317594528198
grainger,0.17764344811439514,0.24651384353637695,0.3453887701034546,0.9999999403953552,0.07138541340827942,0.13328175246715546,0.34008583426475525,0.1467338651418686,0.14470532536506653
",",0.36674630641937256,0.45456063747406006,0.27245110273361206,0.40289974212646484,0.29617661237716675,0.2374238669872284,0.6633074283599854,0.23282839357852936,0.31091248989105225
a,0.44397395849227905,0.4508470594882965,0.243032768368721,0.19068177044391632,0.25318053364753723,0.2576078176498413,0.3739250600337982,0.29613688588142395,0.23916715383529663
builder,0.1882016807794571,0.24485784769058228,0.22354234755039215,0.2436138391494751,0.06986578553915024,0.46747449040412903,0.23818939924240112,0.19115592539310455,0.1671191155910492
and,0.4716290831565857,0.3740963041782379,0.22443673014640808,0.34008583426475525,0.3370615541934967,0.2593274712562561,1.0,0.294929563999176,0.20544172823429108
developer,0.16216544806957245,0.2235601842403412,0.15734505653381348,0.19494494795799255,0.24740485846996307,0.2267598956823349,0.21712826192378998,0.47931742668151855,0.19652149081230164
",",0.36674630641937256,0.45456063747406006,0.27245110273361206,0.40289974212646484,0.29617661237716675,0.2374238669872284,0.6633074283599854,0.23282839357852936,0.31091248989105225
between,0.38258615136146545,0.24048170447349548,0.14471161365509033,0.17003396153450012,0.2133885771036148,0.17692464590072632,0.40645647048950195,0.22640743851661682,0.12887074053287506
1835,-0.0706605389714241,0.09893769770860672,0.12683458626270294,0.17200946807861328,-0.0681619793176651,-0.10983866453170776,0.02863609418272972,0.08151420950889587,0.08103260397911072
and,0.4716290831565857,0.3740963041782379,0.22443673014640808,0.34008583426475525,0.3370615541934967,0.2593274712562561,1.0,0.294929563999176,0.20544172823429108
1842,-0.10118885338306427,0.027103113010525703,0.12304607033729553,0.11594744026660919,-0.018961898982524872,0.09445643424987793,-0.11251531541347504,-0.074130579829216,0.17089278995990753
