,what,type,of,geologists,give,information,about,strain,within,the,crystalline,structure,of,the,rocks,?
structural,0.19746112823486328,0.17503271996974945,0.23907262086868286,0.29535454511642456,0.15192575752735138,0.2539084851741791,0.11358925700187683,0.3036562204360962,0.2931305170059204,0.205324187874794,0.3511495590209961,0.7650862336158752,0.23907262086868286,0.205324187874794,0.2694534361362457,0.1448175609111786
geologists,0.33891814947128296,0.11601972579956055,0.21582631766796112,1.0000001192092896,0.1547437459230423,0.20955488085746765,0.2972341477870941,0.11472226679325104,0.2692835330963135,0.29488950967788696,0.24115097522735596,0.27919918298721313,0.21582631766796112,0.29488950967788696,0.49909713864326477,0.18105274438858032
use,0.3453877568244934,0.32010024785995483,0.2750902473926544,0.2389349788427353,0.4536600112915039,0.3523877263069153,0.2576371729373932,0.19426019489765167,0.24091415107250214,0.34342584013938904,0.25342240929603577,0.2694925367832184,0.2750902473926544,0.34342584013938904,0.19122737646102905,0.32795652747154236
microscopic,0.22313661873340607,0.21046499907970428,0.2539045512676239,0.3478389382362366,0.2528475224971771,0.22677259147167206,0.14152178168296814,0.3307622969150543,0.2627897560596466,0.23638604581356049,0.45668840408325195,0.38559862971305847,0.2539045512676239,0.23638604581356049,0.3679991066455841,0.18998190760612488
analysis,0.2842639982700348,0.1811133772134781,0.24679350852966309,0.2536064684391022,0.2428213208913803,0.3475240170955658,0.1973259598016739,0.25381192564964294,0.18305279314517975,0.24241644144058228,0.2712211310863495,0.3988116681575775,0.24679350852966309,0.24241644144058228,0.18977999687194824,0.15352053940296173
of,0.33290785551071167,0.18112817406654358,1.0,0.21582631766796112,0.33489471673965454,0.2860049605369568,0.40939709544181824,0.21968291699886322,0.39594778418540955,0.733189046382904,0.21082016825675964,0.2599511742591858,1.0,0.733189046382904,0.2664484679698944,0.1826142966747284
oriented,0.18288813531398773,0.14590337872505188,0.21098366379737854,0.16180026531219482,0.17611581087112427,0.19607184827327728,0.17451176047325134,0.2059449404478073,0.18945184350013733,0.22107121348381042,0.1650926172733307,0.21231095492839813,0.21098366379737854,0.22107121348381042,0.1204259842634201,0.12191823124885559
thin,0.20593488216400146,0.332596093416214,0.2089119255542755,0.20404379069805145,0.19385577738285065,0.2133987545967102,0.18475255370140076,0.2978115975856781,0.2631545960903168,0.23491108417510986,0.4398079216480255,0.3163394629955292,0.2089119255542755,0.23491108417510986,0.3180732727050781,0.18669506907463074
sections,0.29098522663116455,0.22349490225315094,0.20906880497932434,0.21898281574249268,0.1855841875076294,0.28124698996543884,0.22508184611797333,0.18672539293766022,0.2939300239086151,0.3228905200958252,0.15301284193992615,0.3333286941051483,0.20906880497932434,0.3228905200958252,0.2015804797410965,0.2495482712984085
of,0.33290785551071167,0.18112817406654358,1.0,0.21582631766796112,0.33489471673965454,0.2860049605369568,0.40939709544181824,0.21968291699886322,0.39594778418540955,0.733189046382904,0.21082016825675964,0.2599511742591858,1.0,0.733189046382904,0.2664484679698944,0.1826142966747284
geologic,0.2760752737522125,0.14639858901500702,0.2885846793651581,0.7485435009002686,0.16268765926361084,0.18471182882785797,0.2386036366224289,0.17130866646766663,0.3206017017364502,0.27847176790237427,0.26049715280532837,0.3115873336791992,0.2885846793651581,0.27847176790237427,0.5171065926551819,0.18781805038452148
samples,0.23286624252796173,0.20548096299171448,0.19450756907463074,0.2682562470436096,0.2728276252746582,0.25955912470817566,0.21771369874477386,0.2690209448337555,0.20885069668293,0.2069351226091385,0.3217666745185852,0.1856151968240738,0.19450756907463074,0.2069351226091385,0.39375483989715576,0.1777840405702591
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.24980248510837555,0.4396136403083801,0.3299184739589691,0.391953706741333,0.24741879105567932,0.34980177879333496,0.535392165184021,0.22743496298789978,0.27200284600257874,0.41548454761505127,0.535392165184021,0.23520028591156006,0.29463258385658264
observe,0.3111239969730377,0.14949361979961395,0.23419547080993652,0.22212040424346924,0.2713908553123474,0.2150375247001648,0.2470722794532776,0.18876586854457855,0.2815442383289337,0.26882031559944153,0.19048386812210083,0.25249767303466797,0.23419547080993652,0.26882031559944153,0.15780934691429138,0.1595022827386856
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.29488950967788696,0.29086416959762573,0.3143121302127838,0.37995871901512146,0.1979137361049652,0.39827480912208557,1.0,0.19262340664863586,0.2933249771595001,0.733189046382904,1.0,0.24413059651851654,0.22068053483963013
fabric,0.2184952050447464,0.21392786502838135,0.21194949746131897,0.14416611194610596,0.17926378548145294,0.16615673899650574,0.1495629996061325,0.28690096735954285,0.1733214408159256,0.21405372023582458,0.3436014652252197,0.2750853896141052,0.21194949746131897,0.21405372023582458,0.23187555372714996,0.19376210868358612
within,0.2498195916414261,0.16128505766391754,0.39594778418540955,0.2692835330963135,0.21639768779277802,0.29686304926872253,0.3249956965446472,0.1576089709997177,1.0,0.39827480912208557,0.1973724067211151,0.330783486366272,0.39594778418540955,0.39827480912208557,0.16642579436302185,0.1870293766260147
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.29488950967788696,0.29086416959762573,0.3143121302127838,0.37995871901512146,0.1979137361049652,0.39827480912208557,1.0,0.19262340664863586,0.2933249771595001,0.733189046382904,1.0,0.24413059651851654,0.22068053483963013
rocks,0.24802041053771973,0.15120632946491241,0.2664484679698944,0.49909713864326477,0.1613835245370865,0.18390503525733948,0.2522718906402588,0.19367007911205292,0.16642579436302185,0.24413059651851654,0.41306009888648987,0.26871323585510254,0.2664484679698944,0.24413059651851654,0.9999999403953552,0.17394492030143738
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.2655300498008728,0.3091176450252533,0.34511786699295044,0.4059852957725525,0.26266413927078247,0.43539655208587646,0.6521818041801453,0.3422972857952118,0.4027908146381378,0.5011631846427917,0.6521818041801453,0.307253897190094,0.25814583897590637
gives,0.20556846261024475,0.18839038908481598,0.36641067266464233,0.11914460361003876,0.6829084157943726,0.30072328448295593,0.30993545055389404,0.1719733625650406,0.19840553402900696,0.3072636127471924,0.22878949344158173,0.15064918994903564,0.36641067266464233,0.3072636127471924,0.18509700894355774,0.2204105257987976
information,0.35283446311950684,0.16385576128959656,0.2860049605369568,0.20955488085746765,0.33496955037117004,0.9999999403953552,0.37036579847335815,0.17745225131511688,0.29686304926872253,0.3143121302127838,0.1883706897497177,0.3111930787563324,0.2860049605369568,0.3143121302127838,0.18390503525733948,0.24875912070274353
about,0.47976887226104736,0.1371919810771942,0.40939709544181824,0.2972341477870941,0.3109951913356781,0.37036579847335815,1.0,0.1338142305612564,0.3249956965446472,0.37995871901512146,0.11387965083122253,0.18766219913959503,0.40939709544181824,0.37995871901512146,0.2522718906402588,0.302409827709198
strain,0.18371683359146118,0.2677544355392456,0.21968291699886322,0.11472226679325104,0.18566042184829712,0.17745225131511688,0.1338142305612564,1.0000001192092896,0.1576089709997177,0.1979137361049652,0.30320656299591064,0.24139942228794098,0.21968291699886322,0.1979137361049652,0.19367007911205292,0.14672546088695526
within,0.2498195916414261,0.16128505766391754,0.39594778418540955,0.2692835330963135,0.21639768779277802,0.29686304926872253,0.3249956965446472,0.1576089709997177,1.0,0.39827480912208557,0.1973724067211151,0.330783486366272,0.39594778418540955,0.39827480912208557,0.16642579436302185,0.1870293766260147
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.29488950967788696,0.29086416959762573,0.3143121302127838,0.37995871901512146,0.1979137361049652,0.39827480912208557,1.0,0.19262340664863586,0.2933249771595001,0.733189046382904,1.0,0.24413059651851654,0.22068053483963013
crystalline,0.23205654323101044,0.21560172736644745,0.21082016825675964,0.24115097522735596,0.23552390933036804,0.1883706897497177,0.11387965083122253,0.30320656299591064,0.1973724067211151,0.19262340664863586,1.0000001192092896,0.39630037546157837,0.21082016825675964,0.19262340664863586,0.41306009888648987,0.19034814834594727
structure,0.27351704239845276,0.2479354441165924,0.2599511742591858,0.27919918298721313,0.19450518488883972,0.3111930787563324,0.18766219913959503,0.24139942228794098,0.330783486366272,0.2933249771595001,0.39630037546157837,1.0000001192092896,0.2599511742591858,0.2933249771595001,0.26871323585510254,0.1770772784948349
of,0.33290785551071167,0.18112817406654358,1.0,0.21582631766796112,0.33489471673965454,0.2860049605369568,0.40939709544181824,0.21968291699886322,0.39594778418540955,0.733189046382904,0.21082016825675964,0.2599511742591858,1.0,0.733189046382904,0.2664484679698944,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.29488950967788696,0.29086416959762573,0.3143121302127838,0.37995871901512146,0.1979137361049652,0.39827480912208557,1.0,0.19262340664863586,0.2933249771595001,0.733189046382904,1.0,0.24413059651851654,0.22068053483963013
rocks,0.24802041053771973,0.15120632946491241,0.2664484679698944,0.49909713864326477,0.1613835245370865,0.18390503525733948,0.2522718906402588,0.19367007911205292,0.16642579436302185,0.24413059651851654,0.41306009888648987,0.26871323585510254,0.2664484679698944,0.24413059651851654,0.9999999403953552,0.17394492030143738
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.20061980187892914,0.34017711877822876,0.2787359356880188,0.42038556933403015,0.26238808035850525,0.2984525263309479,0.5934505462646484,0.26444941759109497,0.26570191979408264,0.5352458953857422,0.5934505462646484,0.26481303572654724,0.4130953550338745
