,what,were,casualties,of,battle,?
they,0.4431931674480438,0.5580583214759827,0.19231925904750824,0.3426007330417633,0.1633559614419937,0.2753053903579712
killed,0.1862335354089737,0.3441145420074463,0.5242610573768616,0.2589981257915497,0.36464595794677734,0.17928971350193024
many,0.36131182312965393,0.4804460406303406,0.1762320101261139,0.37253960967063904,0.1577351838350296,0.2124512493610382
of,0.33290785551071167,0.34038281440734863,0.20261549949645996,1.0,0.2291749268770218,0.1826142966747284
the,0.42745697498321533,0.3906462490558624,0.22090986371040344,0.733189046382904,0.2820790410041809,0.22068053483963013
canadians,0.24321512877941132,0.31354260444641113,0.3672361671924591,0.26469656825065613,0.21239662170410156,0.15116047859191895
",",0.3087472915649414,0.36755475401878357,0.240406334400177,0.4946078956127167,0.23037992417812347,0.31091248989105225
including,0.18328791856765747,0.41511550545692444,0.19057722389698029,0.44195112586021423,0.11657658219337463,0.1633303165435791
their,0.35142919421195984,0.43277356028556824,0.1781136393547058,0.4329940676689148,0.12281665951013565,0.1898253709077835
commanding,0.2354326695203781,0.22101594507694244,0.4219803512096405,0.3041609227657318,0.3976457715034485,0.13242560625076294
officer,0.18551595509052277,0.1507778763771057,0.31105518341064453,0.23883900046348572,0.2676950991153717,0.119948610663414
",",0.3087472915649414,0.36755475401878357,0.240406334400177,0.4946078956127167,0.23037992417812347,0.31091248989105225
joseph,0.20494906604290009,0.1973535269498825,0.1514488309621811,0.20551647245883942,0.140675351023674,0.08421234786510468
coulon,0.16428402066230774,0.16082611680030823,0.2634417414665222,0.23903454840183258,0.2565672993659973,0.18888740241527557
de,0.10476839542388916,0.1311400681734085,0.13996633887290955,0.26292696595191956,0.12081801146268845,0.11064168810844421
jumonville,0.21373067796230316,0.24791677296161652,0.2911129593849182,0.28485217690467834,0.25518152117729187,0.15539926290512085
",",0.3087472915649414,0.36755475401878357,0.240406334400177,0.4946078956127167,0.23037992417812347,0.31091248989105225
whose,0.22831642627716064,0.20901553332805634,0.11449402570724487,0.37058958411216736,0.04365073889493942,0.16990536451339722
head,0.18919230997562408,0.17579707503318787,0.13984356820583344,0.2945564389228821,0.12220986932516098,0.10879309475421906
was,0.22111038863658905,0.590133786201477,0.20187385380268097,0.4069072902202606,0.23319749534130096,0.18412111699581146
reportedly,0.21226909756660461,0.2950572669506073,0.331207811832428,0.16609424352645874,0.11638619005680084,0.14895299077033997
split,0.2802104353904724,0.20588286221027374,0.12335662543773651,0.2359420210123062,0.1297520399093628,0.16133880615234375
open,0.2022915631532669,0.19549238681793213,0.11100602895021439,0.17970167100429535,0.11990948766469955,0.20715104043483734
by,0.2455483376979828,0.4406847059726715,0.18203015625476837,0.3646814823150635,0.14325805008411407,0.17966607213020325
tanaghrisson,0.16489608585834503,0.2084476500749588,0.25245070457458496,0.22784514725208282,0.19093991816043854,0.15505239367485046
with,0.2464839518070221,0.3179011940956116,0.1749928593635559,0.41827285289764404,0.13577404618263245,0.2433311939239502
a,0.3320399522781372,0.17203083634376526,0.17639213800430298,0.5052502155303955,0.1176733672618866,0.23916715383529663
tomahawk,0.2315647155046463,0.1461615413427353,0.27368608117103577,0.17911118268966675,0.2383120059967041,0.17307168245315552
.,0.3567904531955719,0.3378238379955292,0.23592163622379303,0.5352458953857422,0.1661834716796875,0.4130953550338745
