,what,is,kenya,the,home,of,?
in,0.30808621644973755,0.5394441485404968,0.23621977865695953,0.6662389636039734,0.30467477440834045,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.21657514572143555,1.0,0.28978195786476135,0.733189046382904,0.22068053483963013
motor,0.18952611088752747,0.21910050511360168,0.12255121767520905,0.26024484634399414,0.1938735693693161,0.20839329063892365,0.0637441948056221
rallying,0.309919148683548,0.16018536686897278,0.31746262311935425,0.3257666528224945,0.17123684287071228,0.3208248019218445,0.2258070707321167
arena,0.16874027252197266,0.14750270545482635,0.11245323717594147,0.1880815625190735,0.31948158144950867,0.14485463500022888,0.13587144017219543
",",0.3087472915649414,0.4691906273365021,0.23432263731956482,0.4933079481124878,0.2790627181529999,0.4946078956127167,0.31091248989105225
kenya,0.18398970365524292,0.17591087520122528,1.0,0.21657514572143555,0.1707228422164917,0.22226637601852417,0.17197901010513306
is,0.28837618231773376,1.0,0.17591087520122528,0.5823672413825989,0.22316986322402954,0.4854315221309662,0.22961433231830597
home,0.1608789712190628,0.22316986322402954,0.1707228422164917,0.28978195786476135,1.0,0.24402645230293274,0.0757145956158638
to,0.455847829580307,0.42745086550712585,0.17769291996955872,0.535392165184021,0.31056779623031616,0.41548454761505127,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.21657514572143555,1.0,0.28978195786476135,0.733189046382904,0.22068053483963013
world,0.21669597923755646,0.24458536505699158,0.19910317659378052,0.33604270219802856,0.18891756236553192,0.2828933000564575,0.17579582333564758
famous,0.1616666167974472,0.26248517632484436,0.13579460978507996,0.28616565465927124,0.18681009113788605,0.3074295222759247,0.10379006713628769
safari,0.2085387110710144,0.15173347294330597,0.25713708996772766,0.2242206633090973,0.2673953175544739,0.13616779446601868,0.2089787870645523
rally,0.13473176956176758,0.12269892543554306,0.23124153912067413,0.2156708985567093,0.0736870989203453,0.1540035754442215,0.14344990253448486
",",0.3087472915649414,0.4691906273365021,0.23432263731956482,0.4933079481124878,0.2790627181529999,0.4946078956127167,0.31091248989105225
commonly,0.18122613430023193,0.3994327187538147,0.1370348334312439,0.2974449694156647,0.10164443403482437,0.29300037026405334,0.13546277582645416
acknowledged,0.27519023418426514,0.13597173988819122,0.16955478489398956,0.24316465854644775,0.12881766259670258,0.2888377606868744,0.20185135304927826
as,0.31749409437179565,0.43216490745544434,0.18995212018489838,0.48381632566452026,0.22556112706661224,0.3886612355709076,0.27043893933296204
one,0.376489520072937,0.4544198513031006,0.17448458075523376,0.5514441132545471,0.2382688969373703,0.4999135136604309,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.22226637601852417,0.733189046382904,0.24402645230293274,1.0,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.21657514572143555,1.0,0.28978195786476135,0.733189046382904,0.22068053483963013
toughest,0.26889485120773315,0.2803530991077423,0.18742987513542175,0.35578852891921997,0.17864897847175598,0.28453344106674194,0.19111917912960052
rallies,0.1843588948249817,0.07210575044155121,0.176713228225708,0.26571857929229736,0.13148635625839233,0.27165818214416504,0.1580551415681839
in,0.30808621644973755,0.5394441485404968,0.23621977865695953,0.6662389636039734,0.30467477440834045,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.21657514572143555,1.0,0.28978195786476135,0.733189046382904,0.22068053483963013
world,0.21669597923755646,0.24458536505699158,0.19910317659378052,0.33604270219802856,0.18891756236553192,0.2828933000564575,0.17579582333564758
.,0.3567904531955719,0.4569662809371948,0.24234211444854736,0.5934505462646484,0.3067048490047455,0.5352458953857422,0.4130953550338745
