,what,entity,is,created,if,the,three,different,institutions,can,not,come,to,a,consensus,at,any,stage,?
where,0.4457937180995941,0.2159723937511444,0.3586711287498474,0.2234586924314499,0.46109890937805176,0.5003893971443176,0.25543931126594543,0.3571959137916565,0.22701407968997955,0.3773181736469269,0.3820744752883911,0.3523397743701935,0.47735077142715454,0.40997210144996643,0.19488628208637238,0.4402937591075897,0.3528640866279602,0.1781195104122162,0.24793872237205505
the,0.42745697498321533,0.2403784692287445,0.5823672413825989,0.3539263904094696,0.33724796772003174,1.0,0.43452659249305725,0.36412742733955383,0.2776423394680023,0.312528520822525,0.4310511648654938,0.36020293831825256,0.535392165184021,0.5829201340675354,0.2295674830675125,0.457212895154953,0.4525727927684784,0.22652170062065125,0.22068053483963013
different,0.39262300729751587,0.20722007751464844,0.24624870717525482,0.20649270713329315,0.29059454798698425,0.36412742733955383,0.41553589701652527,1.0,0.28552907705307007,0.4908648133277893,0.3192916512489319,0.40079638361930847,0.3617510497570038,0.29175353050231934,0.19589416682720184,0.27290254831314087,0.37796109914779663,0.1895695924758911,0.24476227164268494
institutions,0.22018329799175262,0.3686627745628357,0.14988303184509277,0.17798876762390137,0.17832688987255096,0.2776423394680023,0.25383901596069336,0.28552907705307007,0.9999998807907104,0.19003279507160187,0.24071906507015228,0.1669195592403412,0.21708254516124725,0.20288343727588654,0.2377089411020279,0.27332615852355957,0.2584492862224579,0.08620045334100723,0.19119486212730408
can,0.34502777457237244,0.23023709654808044,0.44256699085235596,0.17894166707992554,0.5903681516647339,0.312528520822525,0.21489545702934265,0.4908648133277893,0.19003279507160187,1.0,0.49270012974739075,0.3393777012825012,0.4979398250579834,0.3915780484676361,0.2707895338535309,0.16641086339950562,0.5010802745819092,0.18679559230804443,0.3226337134838104
not,0.5449194312095642,0.3352169394493103,0.3776007890701294,0.23838622868061066,0.6100378632545471,0.4310511648654938,0.24090014398097992,0.3192916512489319,0.24071906507015228,0.49270012974739075,0.9999999403953552,0.3464280962944031,0.5149973034858704,0.3791346549987793,0.4044148921966553,0.22025953233242035,0.5995424389839172,0.19864539802074432,0.41942933201789856
agree,0.45932960510253906,0.2181713879108429,0.20174002647399902,0.24183021485805511,0.36960527300834656,0.23006735742092133,0.184601828455925,0.2804592251777649,0.23579515516757965,0.24586160480976105,0.4693492650985718,0.35189029574394226,0.2974206805229187,0.2085130214691162,0.4661722183227539,0.18415243923664093,0.2866078019142151,0.1232626736164093,0.33165234327316284
at,0.2838611304759979,0.05630628764629364,0.25906258821487427,0.18092477321624756,0.21405546367168427,0.457212895154953,0.2833487093448639,0.27290254831314087,0.27332615852355957,0.16641086339950562,0.22025953233242035,0.17376890778541565,0.36524343490600586,0.3095070421695709,0.19514811038970947,1.0,0.2206675112247467,0.16777737438678741,0.21978627145290375
any,0.43670421838760376,0.30906710028648376,0.35691767930984497,0.255820631980896,0.6160299777984619,0.4525727927684784,0.33841368556022644,0.37796109914779663,0.2584492862224579,0.5010802745819092,0.5995424389839172,0.32808688282966614,0.46410247683525085,0.45031747221946716,0.36828893423080444,0.2206675112247467,1.0,0.16451650857925415,0.4113408327102661
stage,0.15168409049510956,0.10732932388782501,0.19676770269870758,0.05840253084897995,0.1587570160627365,0.22652170062065125,0.1818695366382599,0.1895695924758911,0.08620045334100723,0.18679559230804443,0.19864539802074432,0.13968341052532196,0.1484832912683487,0.2036506086587906,0.22859661281108856,0.16777737438678741,0.16451650857925415,1.0000001192092896,0.14916576445102692
",",0.3087472915649414,0.19129666686058044,0.4691906273365021,0.2755771577358246,0.257730096578598,0.4933079481124878,0.3347506821155548,0.32220861315727234,0.25403106212615967,0.3139454126358032,0.3769696354866028,0.350309282541275,0.44245919585227966,0.427140474319458,0.26434966921806335,0.38314947485923767,0.3237466514110565,0.2630990147590637,0.31091248989105225
