,what,might,the,amazon,forest,become,if,it,passes,the,tipping,point,and,starts,to,die,?
it,0.45803478360176086,0.3184061646461487,0.6251175999641418,0.22231659293174744,0.1905752569437027,0.2850925028324127,0.35967332124710083,0.9999999403953552,0.2643519341945648,0.6251175999641418,0.22582663595676422,0.3129159212112427,0.40957894921302795,0.2694236934185028,0.513711154460907,0.18406891822814941,0.25732165575027466
concludes,0.27028560638427734,0.2327733337879181,0.3040708303451538,0.14091885089874268,0.2060530185699463,0.16771768033504486,0.1784971058368683,0.18208830058574677,0.1735193431377411,0.3040708303451538,0.13336767256259918,0.22058093547821045,0.19984479248523712,0.32023146748542786,0.25151991844177246,0.1320938616991043,0.1386803537607193
that,0.6297725439071655,0.5377011895179749,0.5473989248275757,0.2228476107120514,0.17981816828250885,0.33698222041130066,0.5634250640869141,0.5921133160591125,0.24901355803012848,0.5473989248275757,0.31135094165802,0.32285839319229126,0.4731321930885315,0.23093125224113464,0.5436353087425232,0.19138021767139435,0.32716336846351624
the,0.42745697498321533,0.32504433393478394,1.0,0.260541707277298,0.24134553968906403,0.31731709837913513,0.33724796772003174,0.6251175999641418,0.3752402365207672,1.0,0.2517189085483551,0.3084787130355835,0.5171257257461548,0.39423343539237976,0.535392165184021,0.2242266982793808,0.22068053483963013
forest,0.15328429639339447,0.14711086452007294,0.24134553968906403,0.26471444964408875,1.0000001192092896,0.19607816636562347,0.15973904728889465,0.1905752569437027,0.15944229066371918,0.24134553968906403,0.16847695410251617,0.15030623972415924,0.26268187165260315,0.16765806078910828,0.1971547156572342,0.20730547606945038,0.1214437186717987
is,0.28837618231773376,0.37027186155319214,0.5823672413825989,0.15197539329528809,0.209678515791893,0.2983444035053253,0.30927813053131104,0.6328473687171936,0.2950793206691742,0.5823672413825989,0.23334631323814392,0.29601794481277466,0.3859752118587494,0.36385443806648254,0.42745086550712585,0.15447266399860382,0.22961433231830597
on,0.34226128458976746,0.23525792360305786,0.5107308030128479,0.27227091789245605,0.1691717803478241,0.17756444215774536,0.24549968540668488,0.4529881477355957,0.1884605586528778,0.5107308030128479,0.2833552360534668,0.24115808308124542,0.4077630043029785,0.27229779958724976,0.41031414270401,0.16166727244853973,0.2714994251728058
the,0.42745697498321533,0.32504433393478394,1.0,0.260541707277298,0.24134553968906403,0.31731709837913513,0.33724796772003174,0.6251175999641418,0.3752402365207672,1.0,0.2517189085483551,0.3084787130355835,0.5171257257461548,0.39423343539237976,0.535392165184021,0.2242266982793808,0.22068053483963013
brink,0.16588865220546722,0.18144425749778748,0.2536966800689697,0.15211093425750732,0.18816214799880981,0.23698018491268158,0.1911628395318985,0.20139095187187195,0.08472524583339691,0.2536966800689697,0.2251323163509369,0.13923253118991852,0.2969580888748169,0.14360380172729492,0.24562114477157593,0.3028847277164459,0.2537998855113983
of,0.33290785551071167,0.2900311052799225,0.733189046382904,0.20143137872219086,0.2309139519929886,0.31678006052970886,0.2557544410228729,0.38761502504348755,0.31505411863327026,0.733189046382904,0.18751537799835205,0.269877165555954,0.5116966962814331,0.2781079411506653,0.41548454761505127,0.21324244141578674,0.1826142966747284
being,0.3760843276977539,0.40220335125923157,0.419739305973053,0.16138997673988342,0.16535887122154236,0.37957969307899475,0.4287751317024231,0.3926103413105011,0.20225995779037476,0.419739305973053,0.38480475544929504,0.2252061814069748,0.4286794066429138,0.13517937064170837,0.4514104127883911,0.1674123853445053,0.26743772625923157
turned,0.22427117824554443,0.27736103534698486,0.3414173722267151,0.14908339083194733,0.15714776515960693,0.3442721664905548,0.18265564739704132,0.25371870398521423,0.15537284314632416,0.3414173722267151,0.2688901126384735,0.21088191866874695,0.372392475605011,0.24088764190673828,0.33177903294563293,0.12692588567733765,0.130948007106781
into,0.2180619090795517,0.23976610600948334,0.39493247866630554,0.13842037320137024,0.14577706158161163,0.25905951857566833,0.24821437895298004,0.33015328645706177,0.3073703646659851,0.39493247866630554,0.1901164948940277,0.20993272960186005,0.36597734689712524,0.2338104397058487,0.38810545206069946,0.16485890746116638,0.15662476420402527
