,what,is,one,method,of,achieving,aspirational,consumption,?
secondly,0.35135942697525024,0.23961427807807922,0.3081185221672058,0.21805430948734283,0.22159962356090546,0.23024429380893707,0.18260090053081512,0.26343733072280884,0.3404606580734253
",",0.3087472915649414,0.4691906273365021,0.3696635365486145,0.22978182137012482,0.4946078956127167,0.22593005001544952,0.19650524854660034,0.24534741044044495,0.31091248989105225
aspirational,0.24297010898590088,0.22516082227230072,0.26312607526779175,0.30865827202796936,0.26259148120880127,0.3280028700828552,1.0000001192092896,0.314386785030365,0.19427265226840973
consumption,0.22381934523582458,0.2964645028114319,0.2729557156562805,0.2829374372959137,0.249590665102005,0.3257465362548828,0.314386785030365,1.0,0.1937485784292221
describes,0.28796884417533875,0.33745625615119934,0.2730540931224823,0.1821126490831375,0.33623746037483215,0.27168387174606323,0.22595621645450592,0.2342478334903717,0.13134142756462097
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.21624743938446045,0.733189046382904,0.35560527443885803,0.24002505838871002,0.23633816838264465,0.22068053483963013
process,0.3466717302799225,0.21762968599796295,0.2058241218328476,0.42369964718818665,0.23962904512882233,0.3908825218677521,0.30363819003105164,0.32360684871673584,0.2460896074771881
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.22896558046340942,1.0,0.3275443911552429,0.26259148120880127,0.249590665102005,0.1826142966747284
middle,0.18312302231788635,0.21621397137641907,0.24063128232955933,0.15271930396556854,0.2799445688724518,0.13323648273944855,0.07239551842212677,0.10340620577335358,0.13139553368091583
income,0.21837803721427917,0.14559021592140198,0.17004019021987915,0.12992095947265625,0.2581324577331543,0.24963003396987915,0.22918541729450226,0.43854594230651855,0.14935168623924255
earners,0.23694711923599243,0.20324699580669403,0.28085023164749146,0.18937598168849945,0.22104087471961975,0.3801227807998657,0.29047513008117676,0.36505448818206787,0.25306665897369385
aspiring,0.1999143809080124,0.14908166229724884,0.26614513993263245,0.2541300058364868,0.19247221946716309,0.3572104871273041,0.5866349935531616,0.318199098110199,0.22598427534103394
to,0.455847829580307,0.42745086550712585,0.4025384783744812,0.2593044936656952,0.41548454761505127,0.30664265155792236,0.27538710832595825,0.3022409975528717,0.29463258385658264
achieve,0.2524374723434448,0.18980827927589417,0.29991042613983154,0.29019424319267273,0.24381192028522491,0.7743686437606812,0.3670223355293274,0.302471786737442,0.17526866495609283
