,by,what,year,had,temüjin,created,a,significant,``,mongol,'',tribal,alliance,?
as,0.3815547823905945,0.31749409437179565,0.28440728783607483,0.3393979072570801,0.32332390546798706,0.25030744075775146,0.39550232887268066,0.3025142550468445,0.03910288214683533,0.17740172147750854,0.006628023460507393,0.146113321185112,0.21339169144630432,0.27043893933296204
a,0.32094135880470276,0.3320399522781372,0.29350247979164124,0.34897568821907043,0.36845725774765015,0.30777761340141296,1.0,0.2793380320072174,0.07272057235240936,0.15921570360660553,0.04890415817499161,0.17967447638511658,0.17512522637844086,0.23916715383529663
result,0.21075581014156342,0.19945499300956726,0.19740116596221924,0.24595926702022552,0.20559003949165344,0.17441904544830322,0.2767398953437805,0.23408257961273193,0.13586843013763428,0.13594083487987518,0.030314194038510323,0.19019778072834015,0.2147378921508789,0.17218433320522308
",",0.3680937886238098,0.3087472915649414,0.28560417890548706,0.35487717390060425,0.3484273850917816,0.2755771577358246,0.427140474319458,0.27671438455581665,0.09681109338998795,0.2229510098695755,-0.037358131259679794,0.21239762008190155,0.21540239453315735,0.31091248989105225
by,1.0000001192092896,0.2455483376979828,0.28805047273635864,0.37294110655784607,0.2763390839099884,0.3492257595062256,0.32094135880470276,0.19868725538253784,-0.030704375356435776,0.1995033621788025,-0.010275691747665405,0.2204819768667221,0.1681973785161972,0.17966607213020325
1206,0.04404793679714203,-0.034024350345134735,0.17034606635570526,0.09859399497509003,-0.04647303372621536,0.16119058430194855,0.05809939280152321,0.06631579995155334,-0.07742781192064285,-0.07069272547960281,-0.006830852944403887,-0.031532421708106995,0.10337065160274506,0.02363857440650463
temüjin,0.2763390839099884,0.34580421447753906,0.20408141613006592,0.4177429676055908,1.0,0.2651779353618622,0.36845725774765015,0.31070077419281006,0.08535800129175186,0.599585771560669,0.07828018069267273,0.39880600571632385,0.3031005859375,0.21090233325958252
had,0.37294110655784607,0.23849567770957947,0.29678046703338623,0.9999999403953552,0.4177429676055908,0.2629251778125763,0.34897568821907043,0.25557491183280945,0.0518546998500824,0.22751455008983612,0.024004416540265083,0.22729118168354034,0.20332439243793488,0.20728366076946259
managed,0.2944294512271881,0.1400795578956604,0.1975180208683014,0.3428601622581482,0.284483402967453,0.22683009505271912,0.2628381848335266,0.14462624490261078,-0.029761487618088722,0.1576509028673172,-0.04498051106929779,0.17878015339374542,0.17089617252349854,0.1315973401069641
to,0.33534231781959534,0.455847829580307,0.23523004353046417,0.37984350323677063,0.36858871579170227,0.2592601478099823,0.45503583550453186,0.27648770809173584,0.06720756739377975,0.2125127911567688,-0.009905828163027763,0.26872000098228455,0.1834360659122467,0.29463258385658264
unite,0.1871880739927292,0.3092654049396515,0.10406861454248428,0.1791534721851349,0.4066016972064972,0.2377142608165741,0.23688413202762604,0.1769782304763794,0.09617123752832413,0.2946244776248932,-0.058607954531908035,0.31530871987342834,0.3919740915298462,0.18724432587623596
