,when,did,the,four,rightly,guided,caliphs,die,?
ht,0.13682790100574493,0.08660880476236343,0.17889079451560974,0.05770411342382431,0.08212596923112869,0.14577773213386536,0.10558146238327026,0.14455220103263855,0.28602924942970276
sees,0.3768094480037689,0.2069275975227356,0.2951999604701996,0.10547385364770889,0.22376134991645813,0.21418309211730957,0.1723039299249649,0.18639913201332092,0.1436735838651657
islam,0.14404281973838806,0.19058109819889069,0.2207694798707962,0.15555666387081146,0.28459432721138,0.23281046748161316,0.585735559463501,0.12769630551338196,0.18358638882637024
's,-0.03368149697780609,0.05069678649306297,-0.01540423184633255,0.030550921335816383,-0.10758603364229202,-0.09152965992689133,0.0017564037116244435,0.0013740580761805177,-0.023395681753754616
pivotal,0.2799854576587677,0.28108617663383484,0.4188881814479828,0.269808292388916,0.2778438627719879,0.2623036205768585,0.2733606994152069,0.13854092359542847,0.21733060479164124
turning,0.3669416904449463,0.1718922108411789,0.3650859296321869,0.20971614122390747,0.24121659994125366,0.2593432664871216,0.18357259035110474,0.16861790418624878,0.1670563519001007
point,0.2634613811969757,0.18732239305973053,0.3084787130355835,0.13006511330604553,0.20438741147518158,0.15478675067424774,0.15557238459587097,0.052451733499765396,0.19189560413360596
as,0.4437963366508484,0.3596470057964325,0.48381632566452026,0.21867670118808746,0.3013089597225189,0.23109479248523712,0.23409341275691986,0.1713295429944992,0.27043893933296204
occurring,0.2675609886646271,0.09868507832288742,0.3030725419521332,0.22074440121650696,0.1524437814950943,0.17343440651893616,0.20615465939044952,0.1790219396352768,0.1781778186559677
not,0.4799930453300476,0.6481515765190125,0.4310511648654938,0.20821955800056458,0.37148317694664,0.16538232564926147,0.2449432909488678,0.24337166547775269,0.41942933201789856
with,0.5075214505195618,0.25472134351730347,0.4223487675189972,0.32876577973365784,0.22526399791240692,0.13490700721740723,0.18469227850437164,0.12030825018882751,0.2433311939239502
the,0.5091903209686279,0.34736719727516174,1.0,0.40344667434692383,0.24466533958911896,0.2760855555534363,0.26271897554397583,0.2242266982793808,0.22068053483963013
death,0.21254116296768188,0.2252790331840515,0.21438048779964447,0.1636839210987091,0.11461713165044785,0.10950890183448792,0.21924690902233124,0.28387734293937683,0.21149799227714539
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.36293646693229675,0.17068718373775482,0.2888166308403015,0.2515905797481537,0.21324244141578674,0.1826142966747284
ali,0.17012666165828705,0.19225122034549713,0.21759866178035736,0.0925498828291893,0.13455359637737274,0.15755368769168854,0.5121976733207703,0.09864822030067444,0.12320320308208466
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.31238991022109985,0.20701716840267181,0.20254303514957428,0.1759328991174698,0.23915338516235352,0.31091248989105225
or,0.417120099067688,0.28211739659309387,0.4174870550632477,0.20491547882556915,0.2621414065361023,0.1850058138370514,0.20216909050941467,0.2021176517009735,0.32389625906944275
one,0.38307374715805054,0.27659472823143005,0.5514441132545471,0.523897111415863,0.24300242960453033,0.23265203833580017,0.1727086901664734,0.2128855139017105,0.2673267424106598
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.36293646693229675,0.17068718373775482,0.2888166308403015,0.2515905797481537,0.21324244141578674,0.1826142966747284
