,where,did,the,broncos,practice,for,the,super,bowl,?
the,0.5003893971443176,0.34736719727516174,1.0,0.25985947251319885,0.27333036065101624,0.4739971458911896,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
broncos,0.20474667847156525,0.1738176792860031,0.25985947251319885,1.0000001192092896,0.1544426530599594,0.2739109396934509,0.25985947251319885,0.36141330003738403,0.4351775348186493,0.18377114832401276
practiced,0.24086694419384003,0.2674696445465088,0.20430389046669006,0.15887229144573212,0.7772254943847656,0.235825777053833,0.20430389046669006,0.1582890897989273,0.0968894362449646,0.07469849288463593
at,0.4402937591075897,0.28390252590179443,0.457212895154953,0.23374907672405243,0.17058232426643372,0.34237727522850037,0.457212895154953,0.11449114978313446,0.2709662914276123,0.21978627145290375
stanford,0.2260383814573288,0.16381965577602386,0.2224142998456955,0.33789780735969543,0.2125338464975357,0.2074219435453415,0.2224142998456955,0.052280448377132416,0.18563611805438995,0.14956782758235931
university,0.26550742983818054,0.15114416182041168,0.263973206281662,0.32310593128204346,0.2132919579744339,0.18573740124702454,0.263973206281662,0.1637851893901825,0.19439272582530975,0.11887256056070328
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.20959050953388214,0.2791718542575836,0.5064792633056641,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.20544172823429108
stayed,0.3112199306488037,0.42530572414398193,0.3768083155155182,0.14158828556537628,0.16857481002807617,0.28956151008605957,0.3768083155155182,0.11240817606449127,0.09769733995199203,0.06590735167264938
at,0.4402937591075897,0.28390252590179443,0.457212895154953,0.23374907672405243,0.17058232426643372,0.34237727522850037,0.457212895154953,0.11449114978313446,0.2709662914276123,0.21978627145290375
the,0.5003893971443176,0.34736719727516174,1.0,0.25985947251319885,0.27333036065101624,0.4739971458911896,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
santa,0.18257969617843628,0.11785970628261566,0.23511074483394623,0.272367924451828,0.0811273530125618,0.16627219319343567,0.23511074483394623,0.13846853375434875,0.1749918907880783,0.17321589589118958
clara,0.1621541678905487,0.15096807479858398,0.2410326898097992,0.23439905047416687,0.04719958454370499,0.12105634063482285,0.2410326898097992,0.14021645486354828,0.06447336077690125,0.11961202323436737
marriott,0.17189815640449524,0.17210820317268372,0.2137458175420761,0.2674105763435364,0.18456484377384186,0.14851361513137817,0.2137458175420761,0.14434106647968292,0.15091544389724731,0.16338540613651276
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.2612393796443939,0.2513175904750824,0.4726039469242096,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.4130953550338745
