,it,is,generally,assumed,that,a,turing,machine,can,solve,anything,capable,of,also,being,solved,using,what,?
it,0.9999999403953552,0.6328473687171936,0.43426820635795593,0.17803601920604706,0.5921133160591125,0.5452592968940735,0.17868860065937042,0.22480705380439758,0.3819273114204407,0.21381646394729614,0.39018672704696655,0.20219355821609497,0.38761502504348755,0.542508602142334,0.3926103413105011,0.18477100133895874,0.28191491961479187,0.45803478360176086,0.25732165575027466
is,0.6328473687171936,1.0,0.4094115197658539,0.19294264912605286,0.3995479643344879,0.658733606338501,0.18364353477954865,0.18938691914081573,0.44256699085235596,0.21876689791679382,0.2653267979621887,0.20792298018932343,0.4854315221309662,0.5012649297714233,0.4445112943649292,0.16888999938964844,0.26543745398521423,0.28837618231773376,0.22961433231830597
believed,0.30581751465797424,0.25439924001693726,0.2901467978954315,0.36356404423713684,0.4644409120082855,0.2603382170200348,0.15887463092803955,0.1502951681613922,0.21436944603919983,0.21172674000263214,0.19569791853427887,0.2202853411436081,0.2945859134197235,0.34871673583984375,0.26552876830101013,0.2149873971939087,0.14091721177101135,0.32626157999038696,0.17606885731220245
that,0.5921133160591125,0.3995479643344879,0.4812265634536743,0.34552374482154846,1.0,0.47537946701049805,0.3136295974254608,0.2756650745868683,0.4522190988063812,0.31365567445755005,0.5237576961517334,0.3044392168521881,0.41498205065727234,0.6005857586860657,0.46201252937316895,0.32926955819129944,0.4372335970401764,0.6297725439071655,0.32716336846351624
if,0.35967332124710083,0.30927813053131104,0.4252934157848358,0.35581064224243164,0.5634250640869141,0.41272827982902527,0.26058703660964966,0.25528669357299805,0.5903681516647339,0.31157976388931274,0.5637215375900269,0.2550734281539917,0.2557544410228729,0.41293784976005554,0.4287751317024231,0.2864813804626465,0.42359769344329834,0.5277165174484253,0.4441644251346588
a,0.5452592968940735,0.658733606338501,0.37653425335884094,0.1940126121044159,0.47537946701049805,1.0,0.25234705209732056,0.24983544647693634,0.3915780484676361,0.1866181194782257,0.2835075259208679,0.23905758559703827,0.5052502155303955,0.5149940252304077,0.3727131485939026,0.18525584042072296,0.32226553559303284,0.3320399522781372,0.23916715383529663
problem,0.296018123626709,0.23238427937030792,0.26802200078964233,0.20817887783050537,0.4416671693325043,0.2605542540550232,0.2813624143600464,0.23731867969036102,0.36370179057121277,0.5774925351142883,0.4021717607975006,0.27819380164146423,0.20464475452899933,0.2736782729625702,0.2995333671569824,0.5690774321556091,0.40827950835227966,0.42183366417884827,0.3762950301170349
can,0.3819273114204407,0.44256699085235596,0.46982342004776,0.1668875813484192,0.4522190988063812,0.3915780484676361,0.224638432264328,0.26097333431243896,1.0,0.31821516156196594,0.41651487350463867,0.3358135521411896,0.2603091299533844,0.4861826002597809,0.433290958404541,0.21544745564460754,0.5030062794685364,0.34502777457237244,0.3226337134838104
be,0.5203388929367065,0.4819129705429077,0.4973081350326538,0.2663823962211609,0.6036020517349243,0.39883795380592346,0.2587292492389679,0.24763767421245575,0.5791122913360596,0.3135510981082916,0.4036228358745575,0.2964368164539337,0.33904364705085754,0.48342031240463257,0.5586286783218384,0.26658907532691956,0.4113650619983673,0.3929833769798279,0.3324260413646698
solved,0.18477100133895874,0.16888999938964844,0.12413622438907623,0.24628114700317383,0.32926955819129944,0.18525584042072296,0.3374759256839752,0.2487926036119461,0.21544745564460754,0.6969740986824036,0.2281183898448944,0.19150613248348236,0.17960071563720703,0.19371667504310608,0.17573334276676178,1.0,0.30259719491004944,0.247396320104599,0.2692696750164032
by,0.40926623344421387,0.3899846076965332,0.2987501621246338,0.23025378584861755,0.37496164441108704,0.32094135880470276,0.21632690727710724,0.2526017427444458,0.29642900824546814,0.17813259363174438,0.19766174256801605,0.24654151499271393,0.3646814823150635,0.3824189305305481,0.4690866470336914,0.2421535849571228,0.349493145942688,0.2455483376979828,0.17966607213020325
an,0.39472338557243347,0.4654068350791931,0.26753097772598267,0.18047071993350983,0.365763783454895,0.44552403688430786,0.1837916374206543,0.18184466660022736,0.23671309649944305,0.11479517817497253,0.2670585811138153,0.20929169654846191,0.32280945777893066,0.36835694313049316,0.2743402123451233,0.1653059720993042,0.2321343868970871,0.2821882665157318,0.19793890416622162
algorithm,0.21850818395614624,0.24848374724388123,0.20915140211582184,0.18559041619300842,0.24969768524169922,0.20294487476348877,0.413880854845047,0.2901957035064697,0.29358604550361633,0.463092565536499,0.24776481091976166,0.1917143166065216,0.17516344785690308,0.1697014570236206,0.16089484095573425,0.36193591356277466,0.26944661140441895,0.2700590193271637,0.21180397272109985
",",0.48329564929008484,0.4691906273365021,0.29679131507873535,0.22927714884281158,0.4137537479400635,0.427140474319458,0.2807261645793915,0.21841607987880707,0.3139454126358032,0.24415066838264465,0.3022928237915039,0.17765167355537415,0.4946078956127167,0.4717654287815094,0.34499165415763855,0.25483599305152893,0.27050045132637024,0.3087472915649414,0.31091248989105225
