,what,have,muslims,praised,hamas,for,doing,?
hamas,0.218891441822052,0.26693791151046753,0.3484295904636383,0.16559746861457825,0.9999999403953552,0.20949795842170715,0.21442252397537231,0.188774973154068
has,0.20338068902492523,0.6353569626808167,0.16126354038715363,0.2367727905511856,0.1852215677499771,0.450642853975296,0.23681671917438507,0.15994466841220856
been,0.2567804455757141,0.6493861675262451,0.17591692507266998,0.24768200516700745,0.2385663241147995,0.39068686962127686,0.27849847078323364,0.24354910850524902
praised,0.19529807567596436,0.18438637256622314,0.21920529007911682,1.0,0.16559746861457825,0.30230268836021423,0.22191746532917023,0.145756334066391
by,0.2455483376979828,0.3359639644622803,0.19704215228557587,0.23219488561153412,0.19561216235160828,0.3248702883720398,0.2209082692861557,0.17966607213020325
muslims,0.26523277163505554,0.23041144013404846,1.0,0.21920529007911682,0.3484295904636383,0.2375299036502838,0.2156302034854889,0.18742211163043976
for,0.3017193675041199,0.41175219416618347,0.2375299036502838,0.30230268836021423,0.20949795842170715,0.9999999403953552,0.38482627272605896,0.264628142118454
driving,0.249915212392807,0.19500716030597687,0.22075720131397247,0.1606106460094452,0.1436799168586731,0.26466402411460876,0.30442091822624207,0.0902169942855835
israel,0.1839018315076828,0.2203231304883957,0.2941714823246002,0.1636045277118683,0.46480703353881836,0.21248173713684082,0.16556420922279358,0.15015864372253418
out,0.3633197546005249,0.3612789809703827,0.22544145584106445,0.20568566024303436,0.15059131383895874,0.3312093913555145,0.38107427954673767,0.22020699083805084
of,0.33290785551071167,0.3802283704280853,0.22355489432811737,0.2087140828371048,0.1995590180158615,0.4185989499092102,0.25269845128059387,0.1826142966747284
the,0.42745697498321533,0.40389683842658997,0.2657718360424042,0.19857443869113922,0.25661513209342957,0.4739971458911896,0.29305580258369446,0.22068053483963013
gaza,0.15590357780456543,0.19636185467243195,0.3800288140773773,0.18305514752864838,0.5601406693458557,0.18537390232086182,0.20691053569316864,0.14649301767349243
strip,0.15591688454151154,0.20019330084323883,0.18332074582576752,0.1670934408903122,0.31228694319725037,0.19213683903217316,0.12369561195373535,0.06863179802894592
",",0.3087472915649414,0.3541618287563324,0.19662503898143768,0.24941173195838928,0.21630539000034332,0.4464869201183319,0.31285786628723145,0.31091248989105225
but,0.5029441118240356,0.5920813083648682,0.2679353356361389,0.21337328851222992,0.20956923067569733,0.45162561535835266,0.45586469769477844,0.27921953797340393
criticized,0.26304760575294495,0.2445966601371765,0.18737149238586426,0.5856380462646484,0.26240840554237366,0.29010632634162903,0.29071110486984253,0.1673501580953598
for,0.3017193675041199,0.41175219416618347,0.2375299036502838,0.30230268836021423,0.20949795842170715,0.9999999403953552,0.38482627272605896,0.264628142118454
failure,0.19130942225456238,0.10248719900846481,0.13270103931427002,0.2410646229982376,0.16764967143535614,0.20899784564971924,0.18414922058582306,0.12142058461904526
to,0.455847829580307,0.4544740617275238,0.2779776453971863,0.15075147151947021,0.20350603759288788,0.4451248347759247,0.3272162973880768,0.29463258385658264
achieve,0.2524374723434448,0.3641945719718933,0.2563789188861847,0.23464474081993103,0.2152342051267624,0.2848595082759857,0.29709020256996155,0.17526866495609283
its,0.30393704771995544,0.3852778375148773,0.1648264229297638,0.2269948571920395,0.227318674325943,0.2992613911628723,0.208609938621521,0.15103481709957123
