,along,with,the,anglican,church,and,uniting,church,",",what,religious,denomination,operates,private,schools,in,australia,?
although,0.176274374127388,0.32515957951545715,0.3265823423862457,0.2154158055782318,0.1689356565475464,0.334905743598938,0.23644831776618958,0.1689356565475464,0.36230817437171936,0.24844598770141602,0.2145843803882599,0.13477788865566254,0.17539623379707336,0.13616631925106049,0.23875311017036438,0.28763338923454285,0.18031316995620728,0.15541206300258636
most,0.2380090206861496,0.336320698261261,0.47635307908058167,0.1856158971786499,0.1584939956665039,0.4309377074241638,0.23302793502807617,0.1584939956665039,0.3636029064655304,0.3219912350177765,0.1754503846168518,0.2083510011434555,0.18387337028980255,0.20440927147865295,0.19526082277297974,0.41416558623313904,0.185204416513443,0.2107497900724411
are,0.28655800223350525,0.38996943831443787,0.40399202704429626,0.20228350162506104,0.16039738059043884,0.48576638102531433,0.19833575189113617,0.16039738059043884,0.4062570035457611,0.29724663496017456,0.20633597671985626,0.21594221889972687,0.29299119114875793,0.1694057136774063,0.30816179513931274,0.3841303884983063,0.19220782816410065,0.24591213464736938
non-aligned,0.2887086272239685,0.32032155990600586,0.34797680377960205,0.25987139344215393,0.23254257440567017,0.2607050836086273,0.37150394916534424,0.23254257440567017,0.24465414881706238,0.24525192379951477,0.3447035849094391,0.32939934730529785,0.17704854905605316,0.17244932055473328,0.23390881717205048,0.262871652841568,0.1795014590024948,0.18788564205169678
",",0.29824912548065186,0.4120737314224243,0.4933079481124878,0.24783726036548615,0.2707274258136749,0.6633074283599854,0.3095775544643402,0.2707274258136749,1.0000001192092896,0.3087472915649414,0.2753547728061676,0.24402782320976257,0.24493210017681122,0.1899166703224182,0.2760516405105591,0.5201468467712402,0.22314006090164185,0.31091248989105225
some,0.2941672205924988,0.3924338221549988,0.4566698372364044,0.2655685245990753,0.23829415440559387,0.5337774157524109,0.2904098629951477,0.23829415440559387,0.42400437593460083,0.4491020441055298,0.2879745662212372,0.241125226020813,0.2102855145931244,0.23412339389324188,0.3067633807659149,0.4010399878025055,0.24360953271389008,0.2562315762042999
of,0.34889817237854004,0.41827285289764404,0.733189046382904,0.3259100317955017,0.3079429268836975,0.5116966962814331,0.43391722440719604,0.3079429268836975,0.4946078956127167,0.33290785551071167,0.2958606779575348,0.2670862376689911,0.22910091280937195,0.18706899881362915,0.265506386756897,0.5696388483047485,0.2669609785079956,0.1826142966747284
the,0.39495137333869934,0.4223487675189972,1.0,0.2092299461364746,0.23846197128295898,0.5171257257461548,0.3792002499103546,0.23846197128295898,0.4933079481124878,0.42745697498321533,0.22950971126556396,0.26250898838043213,0.2663705050945282,0.18291357159614563,0.22905772924423218,0.6662389636039734,0.26828548312187195,0.22068053483963013
best,0.16978366672992706,0.19415417313575745,0.3134109377861023,0.13961948454380035,0.117431640625,0.30328524112701416,0.1771801859140396,0.117431640625,0.3461092710494995,0.3036847710609436,0.15558785200119019,0.12898337841033936,0.11983382701873779,0.1568184345960617,0.20566466450691223,0.2813531160354614,0.13666123151779175,0.2799045741558075
known,0.2537233829498291,0.23440474271774292,0.3624623417854309,0.1773967742919922,0.1530768871307373,0.3468935489654541,0.21477530896663666,0.1530768871307373,0.3604377806186676,0.20381177961826324,0.1655377894639969,0.1467994898557663,0.15557189285755157,0.13440756499767303,0.11933183670043945,0.32641831040382385,0.14131344854831696,0.18314571678638458
