,what,type,of,plea,is,sometimes,taken,as,an,act,of,disobedience,?
but,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.2705061137676239,0.4106791317462921,0.3846900463104248,0.3340516686439514,0.4864770472049713,0.27760404348373413,0.19423039257526398,0.39942997694015503,0.2850637137889862,0.27921953797340393
some,0.4491020441055298,0.2761056125164032,0.4300730526447296,0.17292723059654236,0.3038453459739685,0.5743314027786255,0.2879086434841156,0.4293700158596039,0.2864145338535309,0.24703167378902435,0.4300730526447296,0.28606411814689636,0.2562315762042999
activists,0.1816670447587967,0.07070017606019974,0.20481804013252258,0.12698261439800262,0.14298729598522186,0.2323242574930191,0.16075825691223145,0.20610958337783813,0.1955121010541916,0.2358265370130539,0.20481804013252258,0.45648565888404846,0.16656693816184998
have,0.39808809757232666,0.242574080824852,0.3802283704280853,0.19460171461105347,0.3613572418689728,0.3968924283981323,0.31696638464927673,0.37788212299346924,0.22897054255008698,0.24975994229316711,0.3802283704280853,0.22560594975948334,0.32991164922714233
opted,0.22216883301734924,0.12633349001407623,0.24038542807102203,0.11599180102348328,0.12240765988826752,0.15622851252555847,0.20014283061027527,0.2529710829257965,0.1102437674999237,0.18174763023853302,0.24038542807102203,0.13897529244422913,0.25199010968208313
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.24961312115192413,0.42745086550712585,0.4055429697036743,0.2772596478462219,0.42092081904411316,0.3138085603713989,0.24833928048610687,0.41548454761505127,0.30665844678878784,0.29463258385658264
enter,0.2278345823287964,0.2041393220424652,0.23793351650238037,0.18971571326255798,0.2221214473247528,0.1780843287706375,0.2026987075805664,0.20617704093456268,0.18427564203739166,0.1928725689649582,0.23793351650238037,0.22052277624607086,0.11047764122486115
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.16599608957767487,0.658733606338501,0.3788676857948303,0.2520231008529663,0.39550232887268066,0.44552403688430786,0.2060188204050064,0.5052502155303955,0.25352153182029724,0.23916715383529663
blind,0.21692055463790894,0.26194819808006287,0.17185138165950775,0.14821204543113708,0.1695178747177124,0.1481359750032425,0.1247672587633133,0.19110077619552612,0.15691332519054413,0.057736385613679886,0.17185138165950775,0.21939943730831146,0.11960162967443466
plea,0.26929304003715515,0.07549217343330383,0.12213211506605148,1.0000001192092896,0.1474817395210266,0.15551497042179108,0.1740906685590744,0.13612988591194153,0.16276799142360687,0.21897542476654053,0.12213211506605148,0.36837661266326904,0.25167709589004517
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21992337703704834,0.4691906273365021,0.26600122451782227,0.28904372453689575,0.48816442489624023,0.3581022024154663,0.1787904053926468,0.4946078956127167,0.2878543734550476,0.31091248989105225
pleading,0.3435364067554474,0.09734280407428741,0.23642598092556,0.671013355255127,0.2110927850008011,0.19296516478061676,0.2308054268360138,0.22460858523845673,0.2688821256160736,0.3116353154182434,0.23642598092556,0.490031361579895,0.28710174560546875
guilty,0.2844175100326538,0.07153806835412979,0.15539902448654175,0.3787485659122467,0.17789146304130554,0.13446751236915588,0.17209407687187195,0.1756596863269806,0.1951056718826294,0.20760278403759003,0.15539902448654175,0.39843687415122986,0.17103199660778046
without,0.3181614279747009,0.25126633048057556,0.3081340193748474,0.18589605391025543,0.22869740426540375,0.3738413155078888,0.2079399973154068,0.2948721945285797,0.20276303589344025,0.20389854907989502,0.3081340193748474,0.30126285552978516,0.2928665280342102
any,0.43670421838760376,0.27895575761795044,0.3769088089466095,0.2353552132844925,0.35691767930984497,0.36364370584487915,0.3122245967388153,0.35746830701828003,0.3555181324481964,0.2890753746032715,0.3769088089466095,0.2978997826576233,0.4113408327102661
plea,0.26929304003715515,0.07549217343330383,0.12213211506605148,1.0000001192092896,0.1474817395210266,0.15551497042179108,0.1740906685590744,0.13612988591194153,0.16276799142360687,0.21897542476654053,0.12213211506605148,0.36837661266326904,0.25167709589004517
agreement,0.2851087749004364,0.05071315914392471,0.21259461343288422,0.24975751340389252,0.20094099640846252,0.09740745276212692,0.14885252714157104,0.22867047786712646,0.18085570633411407,0.2580282390117645,0.21259461343288422,0.2981754243373871,0.15830197930335999
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.17993445694446564,0.5394441485404968,0.31462913751602173,0.2500644326210022,0.3887844979763031,0.2605783939361572,0.22050046920776367,0.5696388483047485,0.3054615259170532,0.20430970191955566
place,0.2689766585826874,0.16794997453689575,0.2685627043247223,0.1563711017370224,0.3122972249984741,0.21076439321041107,0.33501407504081726,0.24125029146671295,0.20706063508987427,0.1472962349653244,0.2685627043247223,0.17862099409103394,0.2455766350030899
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.14726075530052185,0.4569662809371948,0.24956031143665314,0.3141690492630005,0.515582263469696,0.3581749200820923,0.2025400698184967,0.5352458953857422,0.2603943943977356,0.4130953550338745
