,what,is,the,highest,reference,hospital,in,all,of,poland,?
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.26254498958587646,0.17318566143512726,0.6662389636039734,0.4860881567001343,0.733189046382904,0.24871079623699188,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,0.19284427165985107,0.09141988307237625,0.3044719099998474,0.3911624252796173,0.2016284465789795,0.32503411173820496,0.1585082858800888,0.13423943519592285
is,0.28837618231773376,1.0,0.5823672413825989,0.27460670471191406,0.2599010765552521,0.18439237773418427,0.5394441485404968,0.2553904056549072,0.4854315221309662,0.13666775822639465,0.22961433231830597
home,0.1608789712190628,0.22316986322402954,0.28978195786476135,0.15107062458992004,0.1738579124212265,0.36616888642311096,0.30467477440834045,0.19536042213439941,0.24402645230293274,0.14057356119155884,0.0757145956158638
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.21947018802165985,0.25784367322921753,0.22196340560913086,0.45010748505592346,0.42520734667778015,0.41548454761505127,0.18661348521709442,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.26254498958587646,0.17318566143512726,0.6662389636039734,0.4860881567001343,0.733189046382904,0.24871079623699188,0.22068053483963013
children,0.22469459474086761,0.15495672821998596,0.15654058754444122,0.10519172251224518,0.09585746377706528,0.2597377300262451,0.2065156251192093,0.16303220391273499,0.1978350728750229,0.15891264379024506,0.21788206696510315
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.02329092286527157,0.029975110664963722,-0.08554291725158691,-0.037580832839012146,0.03181743621826172,-0.03817026689648628,0.010900946334004402,-0.023395681753754616
memorial,0.1440839022397995,0.15918494760990143,0.2865021228790283,0.20242376625537872,0.18378326296806335,0.2660819888114929,0.23096095025539398,0.17848332226276398,0.20257453620433807,0.19164004921913147,0.13306879997253418
health,0.21460163593292236,0.1864514946937561,0.2340974360704422,0.12165743857622147,0.18965131044387817,0.417938232421875,0.2500189542770386,0.2381928265094757,0.28076469898223877,0.14724338054656982,0.16094304621219635
institute,0.17608846724033356,0.1914694458246231,0.24399729073047638,0.17851115763187408,0.14534373581409454,0.2806510329246521,0.2517135441303253,0.14723584055900574,0.2977932393550873,0.12752285599708557,0.115291528403759
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.17115482687950134,0.26781997084617615,0.13853956758975983,0.3087427020072937,0.28167209029197693,0.35032153129577637,0.1692374348640442,0.40561532974243164
cmhi,0.21008598804473877,0.2149130403995514,0.25105249881744385,0.12846854329109192,0.18293753266334534,0.08043967187404633,0.1988716423511505,0.20091135799884796,0.2317253202199936,0.11505617201328278,0.2130250334739685
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.20505082607269287,0.2787483036518097,0.15999755263328552,0.3326910734176636,0.283302903175354,0.3680361211299896,0.18025755882263184,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22094981372356415,0.24524281919002533,0.24744091928005219,0.5201468467712402,0.425624817609787,0.4946078956127167,0.2751549184322357,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.26254498958587646,0.17318566143512726,0.6662389636039734,0.4860881567001343,0.733189046382904,0.24871079623699188,0.22068053483963013
highest-reference,0.33085936307907104,0.3296537399291992,0.3650549352169037,0.6733060479164124,0.6885693669319153,0.17434625327587128,0.3277141749858856,0.30224961042404175,0.33095914125442505,0.20642998814582825,0.35241934657096863
hospital,0.14525319635868073,0.18439237773418427,0.17318566143512726,0.1383039951324463,0.09788720309734344,1.0,0.3125908672809601,0.06376196444034576,0.20629651844501495,0.14525707066059113,0.12508831918239594
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3400614559650421,0.22640638053417206,0.3125908672809601,1.0,0.3335905969142914,0.5696388483047485,0.2887791395187378,0.20430970191955566
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.22838686406612396,0.24870939552783966,0.06376196444034576,0.3335905969142914,1.0000001192092896,0.42798417806625366,0.20390504598617554,0.29575422406196594
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3223685622215271,0.21538788080215454,0.20629651844501495,0.5696388483047485,0.42798417806625366,1.0,0.26632049679756165,0.1826142966747284
poland,0.16095873713493347,0.13666775822639465,0.24871079623699188,0.11621519178152084,0.13198904693126678,0.14525707066059113,0.2887791395187378,0.20390504598617554,0.26632049679756165,0.9999999403953552,0.14259830117225647
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22094981372356415,0.24524281919002533,0.24744091928005219,0.5201468467712402,0.425624817609787,0.4946078956127167,0.2751549184322357,0.31091248989105225
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.17518560588359833,0.23965704441070557,0.14226163923740387,0.3887844979763031,0.33195313811302185,0.3886612355709076,0.17358939349651337,0.27043893933296204
well,0.4154493808746338,0.33406564593315125,0.42630070447921753,0.18398280441761017,0.2439187914133072,0.18528394401073456,0.36612698435783386,0.42960748076438904,0.3343164324760437,0.16478689014911652,0.24815571308135986
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.17518560588359833,0.23965704441070557,0.14226163923740387,0.3887844979763031,0.33195313811302185,0.3886612355709076,0.17358939349651337,0.27043893933296204
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.20518521964550018,0.18580497801303864,0.1369580328464508,0.2605783939361572,0.1916661262512207,0.32280945777893066,0.10337747633457184,0.19793890416622162
active,0.2610722482204437,0.2193424552679062,0.2376219779253006,0.21122042834758759,0.13650625944137573,0.12227442860603333,0.2698204517364502,0.20880314707756042,0.23132829368114471,0.1700253188610077,0.20374006032943726
research,0.237140491604805,0.23478153347969055,0.24391183257102966,0.06222451850771904,0.24883557856082916,0.2668999135494232,0.21249429881572723,0.19993165135383606,0.22573977708816528,0.14522019028663635,0.13481977581977844
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22372882068157196,0.21395881474018097,0.20068348944187164,0.4954058527946472,0.4542157053947449,0.5116966962814331,0.2642565965652466,0.20544172823429108
education,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.22419233620166779,0.17719651758670807,0.3271382451057434,0.2654339671134949,0.22252854704856873,0.3015166223049164,0.19255957007408142,0.18067774176597595
center,0.1908310204744339,0.24782158434391022,0.29064592719078064,0.1747608482837677,0.14890094101428986,0.25606590509414673,0.27253323793411255,0.15214629471302032,0.24526838958263397,0.09998121857643127,0.12538520991802216
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2254713773727417,0.2742740213871002,0.21275769174098969,0.5591574311256409,0.43406882882118225,0.5352458953857422,0.2872875928878784,0.4130953550338745
