,who,warned,of,the,potential,impact,?
the,0.3733934462070465,0.21100614964962006,0.733189046382904,1.0,0.27955570816993713,0.22336715459823608,0.22068053483963013
governments,0.31170156598091125,0.2678489089012146,0.30223309993743896,0.2835306227207184,0.19047924876213074,0.16319723427295685,0.18805137276649475
of,0.2827862501144409,0.2130305916070938,1.0,0.733189046382904,0.2684917747974396,0.21139270067214966,0.1826142966747284
the,0.3733934462070465,0.21100614964962006,0.733189046382904,1.0,0.27955570816993713,0.22336715459823608,0.22068053483963013
united,0.21193812787532806,0.16858422756195068,0.3187655806541443,0.34367692470550537,0.2176145315170288,0.2372106909751892,0.17266890406608582
states,0.21313154697418213,0.1531384438276291,0.30884552001953125,0.3463578522205353,0.21249030530452728,0.21401570737361908,0.16272737085819244
",",0.3365725874900818,0.2480981945991516,0.4946078956127167,0.4933079481124878,0.23060423135757446,0.2012101411819458,0.31091248989105225
britain,0.2346068173646927,0.21328133344650269,0.28899943828582764,0.29784059524536133,0.21396300196647644,0.1873178482055664,0.1268460750579834
",",0.3365725874900818,0.2480981945991516,0.4946078956127167,0.4933079481124878,0.23060423135757446,0.2012101411819458,0.31091248989105225
germany,0.2021419107913971,0.17900654673576355,0.2942050099372864,0.3181285262107849,0.08718174695968628,0.11712305247783661,0.1388660967350006
and,0.41279885172843933,0.2536626160144806,0.5116966962814331,0.5171257257461548,0.2564159035682678,0.19650109112262726,0.20544172823429108
france,0.18489117920398712,0.14331474900245667,0.3265724182128906,0.35517507791519165,0.12788508832454681,0.11676787585020065,0.15069349110126495
also,0.47919341921806335,0.27349910140037537,0.4924938678741455,0.6021018624305725,0.3097817599773407,0.24129410088062286,0.21848613023757935
collectively,0.22514455020427704,0.15029951930046082,0.33971667289733887,0.3632560670375824,0.2547130286693573,0.1939544975757599,0.16343672573566437
issued,0.13050927221775055,0.39724066853523254,0.2873246371746063,0.22837360203266144,0.13028255105018616,0.17427383363246918,0.169851616024971
a,0.36608949303627014,0.19403544068336487,0.5052502155303955,0.5829201340675354,0.32849350571632385,0.24985632300376892,0.23916715383529663
press,0.12729673087596893,0.1741408258676529,0.2328261137008667,0.2519533634185791,0.14213047921657562,0.1827302873134613,0.14048311114311218
statement,0.1789797991514206,0.3082287907600403,0.1980573982000351,0.20954233407974243,0.3288145959377289,0.30939140915870667,0.28978636860847473
cautioning,0.23948994278907776,0.31074079871177673,0.1878025233745575,0.23761086165905,0.36225903034210205,0.2118835747241974,0.2936014235019684
about,0.3477841317653656,0.30685412883758545,0.40939709544181824,0.37995871901512146,0.233091339468956,0.2355298548936844,0.302409827709198
the,0.3733934462070465,0.21100614964962006,0.733189046382904,1.0,0.27955570816993713,0.22336715459823608,0.22068053483963013
law,0.21111567318439484,0.1826373189687729,0.2816956341266632,0.24548950791358948,0.23840220272541046,0.09001326560974121,0.1528988480567932
's,0.05599616840481758,-0.020765310153365135,-0.03817026689648628,-0.01540423184633255,-0.1107819452881813,-0.004318447783589363,-0.023395681753754616
potential,0.1982567012310028,0.3444025218486786,0.2684917747974396,0.27955570816993713,1.0,0.32790958881378174,0.20122039318084717
impact,0.10907046496868134,0.16565430164337158,0.21139270067214966,0.22336715459823608,0.32790958881378174,1.0,0.18429921567440033
.,0.3541337847709656,0.25593021512031555,0.5352458953857422,0.5934505462646484,0.23111921548843384,0.2026742696762085,0.4130953550338745
