,what,are,phytoplankton,?
in,0.30808621644973755,0.3841303884983063,0.26219967007637024,0.20430970191955566
bays,0.1639746129512787,0.33160972595214844,0.3716278076171875,0.13760831952095032
where,0.4457937180995941,0.32389864325523376,0.23842953145503998,0.24793872237205505
they,0.4431931674480438,0.610666811466217,0.3960472345352173,0.2753053903579712
occur,0.2129514068365097,0.3900270164012909,0.3664616346359253,0.17999543249607086
in,0.30808621644973755,0.3841303884983063,0.26219967007637024,0.20430970191955566
very,0.37053924798965454,0.41714969277381897,0.29595035314559937,0.20864155888557434
high,0.20466077327728271,0.21708175539970398,0.20612244307994843,0.11137914657592773
numbers,0.24586999416351318,0.37760815024375916,0.2438632845878601,0.19297972321510315
",",0.3087472915649414,0.4062570035457611,0.25603005290031433,0.31091248989105225
predation,0.251395046710968,0.3049485683441162,0.4998818635940552,0.20364801585674286
by,0.2455483376979828,0.37842893600463867,0.1889461874961853,0.17966607213020325
ctenophores,0.2505159080028534,0.35426098108291626,0.6683948040008545,0.2054179310798645
may,0.25739946961402893,0.3162533640861511,0.2142437845468521,0.2768254578113556
control,0.2821830213069916,0.174149289727211,0.16652262210845947,0.1620711386203766
the,0.42745697498321533,0.40399202704429626,0.27665501832962036,0.22068053483963013
populations,0.19647875428199768,0.3499637246131897,0.4183465242385864,0.17519071698188782
of,0.33290785551071167,0.39081433415412903,0.2630915343761444,0.1826142966747284
small,0.2504110634326935,0.3959871232509613,0.3569820821285248,0.13914890587329865
zooplanktonic,0.2495558261871338,0.3966010808944702,0.9014579057693481,0.20534299314022064
organisms,0.22214920818805695,0.3114190697669983,0.7045543789863586,0.22621455788612366
such,0.23989605903625488,0.4654397666454315,0.28153637051582336,0.17851735651493073
as,0.31749409437179565,0.3826591968536377,0.24898889660835266,0.27043893933296204
copepods,0.19050779938697815,0.39322778582572937,0.6994757652282715,0.18471437692642212
",",0.3087472915649414,0.4062570035457611,0.25603005290031433,0.31091248989105225
which,0.5261979103088379,0.42922598123550415,0.3748530149459839,0.25814583897590637
might,0.4838182032108307,0.4007396399974823,0.2825358510017395,0.41058459877967834
otherwise,0.39239436388015747,0.3766326308250427,0.3524952530860901,0.29367905855178833
wipe,0.3113201856613159,0.2348954677581787,0.23529431223869324,0.2617027163505554
out,0.3633197546005249,0.31390950083732605,0.23718832433223724,0.22020699083805084
the,0.42745697498321533,0.40399202704429626,0.27665501832962036,0.22068053483963013
phytoplankton,0.27332594990730286,0.3627760410308838,1.0,0.21467401087284088
(,0.2411840260028839,0.23263892531394958,0.17843587696552277,0.40561532974243164
planktonic,0.23472502827644348,0.35414406657218933,0.8625211119651794,0.18189789354801178
plants,0.25144460797309875,0.35990846157073975,0.5857175588607788,0.1473488062620163
),0.26259949803352356,0.2373749315738678,0.15691252052783966,0.42300865054130554
",",0.3087472915649414,0.4062570035457611,0.25603005290031433,0.31091248989105225
which,0.5261979103088379,0.42922598123550415,0.3748530149459839,0.25814583897590637
are,0.29724663496017456,1.0,0.3627760410308838,0.24591213464736938
a,0.3320399522781372,0.265255331993103,0.2569017708301544,0.23916715383529663
vital,0.28516700863838196,0.22891364991664886,0.31699758768081665,0.21898242831230164
part,0.3476244807243347,0.3086032569408417,0.21994006633758545,0.08557961881160736
of,0.33290785551071167,0.39081433415412903,0.2630915343761444,0.1826142966747284
marine,0.15737493336200714,0.21808268129825592,0.4370998740196228,0.1407923698425293
food,0.23540689051151276,0.26481935381889343,0.41062819957733154,0.15376032888889313
chains,0.1769096851348877,0.3008100986480713,0.2857823967933655,0.11840091645717621
.,0.3567904531955719,0.3452940285205841,0.29627156257629395,0.4130953550338745
