,which,player,played,even,though,he,broke,his,arm,two,weeks,prior,to,the,super,bowl,?
linebacker,0.1141936182975769,0.44545871019363403,0.400376558303833,0.1604834496974945,0.1539575606584549,0.26612532138824463,0.20447836816310883,0.20751464366912842,0.20459869503974915,0.18493512272834778,0.11662530153989792,0.1735645830631256,0.14749088883399963,0.19719967246055603,0.28596732020378113,0.4219481945037842,0.15540370345115662
luke,0.2266652137041092,0.2534983158111572,0.2035762071609497,0.15829569101333618,0.19361890852451324,0.27254095673561096,0.14682568609714508,0.31341519951820374,0.18918028473854065,0.20360279083251953,0.1864248812198639,0.09639446437358856,0.2671480178833008,0.22767658531665802,0.10818894952535629,0.07718328386545181,0.07725545018911362
kuechly,0.3571230471134186,0.19329988956451416,0.2207563817501068,0.3001962900161743,0.31995537877082825,0.26511502265930176,0.14842937886714935,0.2672170102596283,0.16972289979457855,0.24114477634429932,0.1780761480331421,0.22531697154045105,0.2495509833097458,0.306910902261734,0.23756176233291626,0.24586333334445953,0.28055086731910706
had,0.3188965916633606,0.12922927737236023,0.2842930257320404,0.37991225719451904,0.4300362169742584,0.43657350540161133,0.43310990929603577,0.4401516616344452,0.17929543554782867,0.41487234830856323,0.3364015221595764,0.2676157057285309,0.37984350323677063,0.3875846862792969,0.17216899991035461,0.1661457121372223,0.20728366076946259
11,0.06589670479297638,-0.011416824534535408,0.02757665328681469,0.028103435412049294,0.1256028264760971,0.10780657082796097,0.02351529151201248,0.09203435480594635,-0.035356663167476654,-0.034478042274713516,0.03795690834522247,-0.07106835395097733,0.010993496514856815,-0.0219515822827816,0.02372908778488636,-0.06893833726644516,-0.04295448586344719
total,0.32373151183128357,0.06791325658559799,0.0703691616654396,0.2131408303976059,0.24436558783054352,0.11743857711553574,0.11671505123376846,0.11309853941202164,0.15264633297920227,0.31595906615257263,0.2578079104423523,0.16213998198509216,0.22792020440101624,0.27068960666656494,0.16075772047042847,0.13796210289001465,0.14396025240421295
tackles,0.15687359869480133,0.26949015259742737,0.25117501616477966,0.1717434674501419,0.2017393410205841,0.2892303168773651,0.21486099064350128,0.29393723607063293,0.17687931656837463,0.08377458155155182,0.23923976719379425,0.16023792326450348,0.22052015364170074,0.19076409935951233,0.23457856476306915,0.34894615411758423,0.20188532769680023
",",0.3658004403114319,0.25826331973075867,0.2987361550331116,0.34610581398010254,0.42253127694129944,0.40251094102859497,0.2557729482650757,0.3378419280052185,0.1692921221256256,0.35859420895576477,0.27970150113105774,0.27105793356895447,0.44245919585227966,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
while,0.38669952750205994,0.17724208533763885,0.20544704794883728,0.47271180152893066,0.5169312357902527,0.3526706397533417,0.31065425276756287,0.39785656332969666,0.21990610659122467,0.3780401647090912,0.345597505569458,0.32266852259635925,0.43899232149124146,0.39804592728614807,0.20227555930614471,0.15627816319465637,0.21076419949531555
thomas,0.20158961415290833,0.12414050847291946,0.1526159644126892,0.15228407084941864,0.18284235894680023,0.2241380214691162,0.11590564250946045,0.20028819143772125,0.09396518021821976,0.1530531942844391,0.11717941612005234,0.11008360981941223,0.1928519904613495,0.23505409061908722,0.16000761091709137,0.14911524951457977,0.16133050620555878
davis,0.18949633836746216,0.22269335389137268,0.25531095266342163,0.15424026548862457,0.2211657166481018,0.2684839367866516,0.2293253093957901,0.2677081823348999,0.11847760528326035,0.19884546101093292,0.18664461374282837,0.12731431424617767,0.18401537835597992,0.25552070140838623,0.15976430475711823,0.221586212515831,0.17094263434410095
had,0.3188965916633606,0.12922927737236023,0.2842930257320404,0.37991225719451904,0.4300362169742584,0.43657350540161133,0.43310990929603577,0.4401516616344452,0.17929543554782867,0.41487234830856323,0.3364015221595764,0.2676157057285309,0.37984350323677063,0.3875846862792969,0.17216899991035461,0.1661457121372223,0.20728366076946259
seven,0.2638515830039978,0.17307718098163605,0.2182432860136032,0.2530862092971802,0.23115666210651398,0.22851815819740295,0.2226158082485199,0.23686516284942627,0.044066835194826126,0.45715051889419556,0.23773640394210815,0.1294652372598648,0.2853301167488098,0.28151169419288635,0.16763919591903687,0.16826416552066803,0.1732930988073349
