,what,was,the,source,of,the,mistake,?
the,0.42745697498321533,0.48711544275283813,1.0,0.30258262157440186,0.733189046382904,1.0,0.28798919916152954,0.22068053483963013
date,0.20141606032848358,0.23531168699264526,0.25333094596862793,0.2386081963777542,0.19568462669849396,0.25333094596862793,0.2007397562265396,0.2698357403278351
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.18598204851150513,1.0,0.733189046382904,0.18456989526748657,0.1826142966747284
2035,0.1525285542011261,-0.05316455662250519,0.011317676864564419,0.026438690721988678,0.05370819941163063,0.011317676864564419,0.05410844087600708,-0.0042266687378287315
has,0.20338068902492523,0.40313825011253357,0.4177538752555847,0.17518587410449982,0.3909035325050354,0.4177538752555847,0.23527714610099792,0.15994466841220856
been,0.2567804455757141,0.518218457698822,0.3563927710056305,0.1925371289253235,0.31685134768486023,0.3563927710056305,0.2553079128265381,0.24354910850524902
correctly,0.41690006852149963,0.2060479074716568,0.3099958002567291,0.2759988307952881,0.1631389856338501,0.3099958002567291,0.4784854054450989,0.36838996410369873
quoted,0.29448339343070984,0.1831979602575302,0.19970788061618805,0.21384532749652863,0.1527412235736847,0.19970788061618805,0.2790721356868744,0.23338742554187775
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.1939312070608139,0.3646814823150635,0.4408751428127289,0.26534953713417053,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,1.0,0.30258262157440186,0.733189046382904,1.0,0.28798919916152954,0.22068053483963013
ipcc,0.33176189661026,0.16744299232959747,0.24925659596920013,0.21987321972846985,0.20174051821231842,0.24925659596920013,0.17616070806980133,0.22295254468917847
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.22562673687934875,0.4249346852302551,0.40150508284568787,0.12870843708515167,0.19969791173934937
the,0.42745697498321533,0.48711544275283813,1.0,0.30258262157440186,0.733189046382904,1.0,0.28798919916152954,0.22068053483963013
wwf,0.22813712060451508,0.23566171526908875,0.2153015434741974,0.10851266235113144,0.15918247401714325,0.2153015434741974,0.18914780020713806,0.1493709236383438
report,0.2868559956550598,0.19926786422729492,0.2556745111942291,0.2556673288345337,0.22992923855781555,0.2556745111942291,0.34827855229377747,0.3138936758041382
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2657822072505951,0.4946078956127167,0.4933079481124878,0.2312021404504776,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.30380579829216003,0.5011631846427917,0.6521818041801453,0.28534671664237976,0.25814583897590637
