,where,did,it,join,in,the,direction,of,its,flow,?
within,0.3611587882041931,0.15734176337718964,0.31596240401268005,0.18763326108455658,0.40576374530792236,0.39827480912208557,0.1547282338142395,0.39594778418540955,0.34678399562835693,0.18046562373638153,0.1870293766260147
the,0.5003893971443176,0.34736719727516174,0.6251175999641418,0.3205963969230652,0.6662389636039734,1.0,0.28851455450057983,0.733189046382904,0.559237003326416,0.314039409160614,0.22068053483963013
last,0.21206308901309967,0.30895525217056274,0.23236626386642456,0.17176848649978638,0.30714505910873413,0.3698786795139313,0.09910103678703308,0.3052992522716522,0.12596635520458221,0.13108129799365997,0.22371746599674225
5–10,0.06755392998456955,0.16091986000537872,0.11525392532348633,0.13606122136116028,0.19989953935146332,0.21738995611667633,0.03306597098708153,0.21748541295528412,0.06648720800876617,-0.031582918018102646,-0.027963191270828247
million,0.16446907818317413,0.1815238744020462,0.27422818541526794,0.18188230693340302,0.2596224844455719,0.277012437582016,0.1202608123421669,0.21686489880084991,0.2865995168685913,0.1500478982925415,0.23092924058437347
years,0.26697102189064026,0.2695724070072174,0.21688692271709442,0.17687411606311798,0.33554986119270325,0.2912273406982422,0.17030663788318634,0.2904134690761566,0.17322497069835663,0.0914173498749733,0.1914375126361847
",",0.3149496018886566,0.3015086054801941,0.48329564929008484,0.23633374273777008,0.5201468467712402,0.4933079481124878,0.23287029564380646,0.4946078956127167,0.33157986402511597,0.23027558624744415,0.31091248989105225
this,0.4012809097766876,0.3609912693500519,0.6107783317565918,0.2284247726202011,0.45205554366111755,0.6274310946464539,0.29708150029182434,0.45148900151252747,0.43815311789512634,0.2958115339279175,0.3155723512172699
accumulating,0.2687143385410309,0.13286229968070984,0.2517208755016327,0.09260538220405579,0.20524564385414124,0.3195447325706482,0.1588670015335083,0.31859955191612244,0.30386409163475037,0.3096161484718323,0.1747220754623413
water,0.2081080675125122,0.1909485161304474,0.31979092955589294,0.10310892760753632,0.23966141045093536,0.297396719455719,0.28436511754989624,0.2741255462169647,0.2640035152435303,0.4377398192882538,0.14731885492801666
broke,0.1948869377374649,0.29830706119537354,0.23305289447307587,0.30473724007606506,0.2562587857246399,0.3315005600452423,0.1362697184085846,0.23711064457893372,0.21984855830669403,0.14063994586467743,0.11610469967126846
through,0.331196665763855,0.14190755784511566,0.3374522924423218,0.25494009256362915,0.38533157110214233,0.44071322679519653,0.33746829628944397,0.3647414743900299,0.25456881523132324,0.3991040587425232,0.16913433372974396
the,0.5003893971443176,0.34736719727516174,0.6251175999641418,0.3205963969230652,0.6662389636039734,1.0,0.28851455450057983,0.733189046382904,0.559237003326416,0.314039409160614,0.22068053483963013
purus,0.08538024127483368,0.05226481333374977,0.18199077248573303,0.14464043080806732,0.11681485921144485,0.12622052431106567,0.09870751202106476,0.16428261995315552,0.19240990281105042,0.17563396692276,0.10452352464199066
arch,0.15865062177181244,0.1532188504934311,0.18104274570941925,0.14565789699554443,0.16666603088378906,0.26320189237594604,0.1982162743806839,0.2235732227563858,0.21730300784111023,0.15058757364749908,0.12708529829978943
",",0.3149496018886566,0.3015086054801941,0.48329564929008484,0.23633374273777008,0.5201468467712402,0.4933079481124878,0.23287029564380646,0.4946078956127167,0.33157986402511597,0.23027558624744415,0.31091248989105225
joining,0.25472596287727356,0.19327622652053833,0.19631725549697876,0.6425966620445251,0.2790220081806183,0.3364273011684418,0.12454201281070709,0.26950395107269287,0.19233918190002441,0.2650308609008789,0.08669368922710419
the,0.5003893971443176,0.34736719727516174,0.6251175999641418,0.3205963969230652,0.6662389636039734,1.0,0.28851455450057983,0.733189046382904,0.559237003326416,0.314039409160614,0.22068053483963013
easterly,0.2947661876678467,0.17758028209209442,0.33310770988464355,0.12199969589710236,0.2683046758174896,0.36697643995285034,0.337250679731369,0.27368077635765076,0.34155166149139404,0.3124943971633911,0.1875089854001999
flow,0.18037010729312897,0.1379096955060959,0.30727410316467285,0.18832583725452423,0.22435857355594635,0.314039409160614,0.3380042314529419,0.2407451719045639,0.22264854609966278,0.9999999403953552,0.10458291321992874
toward,0.3392593264579773,0.1586475372314453,0.2763417363166809,0.19533729553222656,0.2282264530658722,0.3341628313064575,0.4263666868209839,0.25209522247314453,0.29773518443107605,0.18836073577404022,0.09989774227142334
the,0.5003893971443176,0.34736719727516174,0.6251175999641418,0.3205963969230652,0.6662389636039734,1.0,0.28851455450057983,0.733189046382904,0.559237003326416,0.314039409160614,0.22068053483963013
atlantic,0.18975745141506195,0.16449733078479767,0.2781165540218353,0.20123477280139923,0.23876288533210754,0.31052014231681824,0.19591529667377472,0.22176773846149445,0.267514705657959,0.2522486746311188,0.15355663001537323
.,0.41390106081962585,0.35288307070732117,0.5593622326850891,0.2342308759689331,0.5591574311256409,0.5934505462646484,0.23911777138710022,0.5352458953857422,0.3566088080406189,0.191733717918396,0.4130953550338745
