,what,profession,are,cany,ash,and,robert,sakula,?
a,0.3320399522781372,0.3185056746006012,0.265255331993103,0.26481249928474426,0.15316040813922882,0.3739250600337982,0.2100449502468109,0.25894221663475037,0.23916715383529663
new,0.2130378633737564,0.15473443269729614,0.1899496167898178,0.2679181396961212,0.10494711250066757,0.31402453780174255,0.1655803620815277,0.18374083936214447,0.14782847464084625
development,0.19014155864715576,0.24267885088920593,0.22856876254081726,0.205948144197464,0.07889639586210251,0.26069340109825134,0.14788571000099182,0.11249977350234985,0.1211358830332756
in,0.30808621644973755,0.16790467500686646,0.3841303884983063,0.294697105884552,0.1435057371854782,0.4954058527946472,0.22155319154262543,0.1897687315940857,0.20430970191955566
the,0.42745697498321533,0.17655403912067413,0.40399202704429626,0.3082965016365051,0.18908189237117767,0.5171257257461548,0.2257954627275467,0.1973034143447876,0.22068053483963013
ouseburn,0.2634839713573456,0.20872701704502106,0.18961471319198608,0.3676644265651703,0.30621740221977234,0.3798539638519287,0.34167149662971497,0.31251445412635803,0.2913041114807129
valley,0.15729281306266785,0.1028352603316307,0.15219968557357788,0.3718741238117218,0.22357408702373505,0.2519688308238983,0.16622522473335266,0.19830875098705292,0.11486150324344635
has,0.20338068902492523,0.16537095606327057,0.4313911199569702,0.24908535182476044,0.1634376347064972,0.43716782331466675,0.13334539532661438,0.1618345081806183,0.15994466841220856
recreated,0.20902615785598755,0.14780251681804657,0.1878301501274109,0.2533842623233795,0.14460335671901703,0.23661677539348602,0.03468381613492966,0.15677078068256378,0.25615641474723816
them,0.4994642734527588,0.19260381162166595,0.5206625461578369,0.2785056531429291,0.18538904190063477,0.48717668652534485,0.12785252928733826,0.08066205680370331,0.35435691475868225
;,0.10986888408660889,-0.06692705303430557,0.15315808355808258,0.07964064925909042,0.03873027488589287,0.08403264731168747,0.12038390338420868,-0.010412528179585934,0.10349778085947037
architects,0.1787957400083542,0.19391514360904694,0.1389332264661789,0.2394322156906128,0.08076340705156326,0.22015763819217682,0.16960281133651733,0.20114998519420624,0.1260584592819214
