,in,the,encoding,of,mathematical,objects,",",what,is,the,way,in,which,integers,are,commonly,expressed,?
for,0.4322226941585541,0.4739971458911896,0.2813226878643036,0.4185989499092102,0.2562520503997803,0.240665465593338,0.4464869201183319,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.384344220161438,0.4322226941585541,0.44095608592033386,0.1802103966474533,0.3895993232727051,0.27418190240859985,0.29098325967788696,0.264628142118454
example,0.30483278632164,0.3755223751068115,0.34980717301368713,0.3570667505264282,0.28734827041625977,0.3090435564517975,0.3094974756240845,0.3456268310546875,0.36737263202667236,0.3755223751068115,0.4234580993652344,0.30483278632164,0.45943138003349304,0.3695056736469269,0.4108889698982239,0.3070339858531952,0.2865111231803894,0.30374911427497864
",",0.5201468467712402,0.4933079481124878,0.2055341899394989,0.4946078956127167,0.2381593883037567,0.21213118731975555,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2861018478870392,0.5201468467712402,0.3658004403114319,0.24003417789936066,0.4062570035457611,0.27548834681510925,0.24414940178394318,0.31091248989105225
integers,0.1772688925266266,0.179725781083107,0.4507312476634979,0.20153668522834778,0.47417402267456055,0.3621479272842407,0.24003417789936066,0.2691354751586914,0.2208469957113266,0.179725781083107,0.31179362535476685,0.1772688925266266,0.28403139114379883,1.0,0.32727017998695374,0.1355251520872116,0.25858286023139954,0.2591196596622467
can,0.26527702808380127,0.312528520822525,0.319330632686615,0.2603091299533844,0.22479166090488434,0.3987920582294464,0.3139454126358032,0.34502777457237244,0.44256699085235596,0.312528520822525,0.4469449520111084,0.26527702808380127,0.41132649779319763,0.33596161007881165,0.5408529043197632,0.36005309224128723,0.2116832584142685,0.3226337134838104
be,0.3481820821762085,0.4248143136501312,0.32507771253585815,0.33904364705085754,0.21942780911922455,0.311663955450058,0.39254459738731384,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.4511762857437134,0.3481820821762085,0.476310670375824,0.28398826718330383,0.5556803941726685,0.3145580291748047,0.25860801339149475,0.3324260413646698
represented,0.33309870958328247,0.3256146013736725,0.24897578358650208,0.3891753554344177,0.25476160645484924,0.23333759605884552,0.3088570833206177,0.139044851064682,0.30249524116516113,0.3256146013736725,0.17881278693675995,0.33309870958328247,0.2635336220264435,0.256371408700943,0.25353574752807617,0.2665649652481079,0.36569228768348694,0.11276352405548096
in,1.0,0.6662389636039734,0.21006087958812714,0.5696388483047485,0.20596176385879517,0.23406893014907837,0.5201468467712402,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.30444321036338806,1.0,0.4840516746044159,0.1772688925266266,0.3841303884983063,0.2769457697868347,0.22785329818725586,0.20430970191955566
binary,0.16351808607578278,0.18260802328586578,0.4845099151134491,0.21468596160411835,0.41662150621414185,0.43253764510154724,0.22407320141792297,0.21848982572555542,0.25599268078804016,0.18260802328586578,0.3618703782558441,0.16351808607578278,0.3285239636898041,0.5401177406311035,0.2925727367401123,0.2506712079048157,0.28012117743492126,0.16258445382118225
notation,0.14093919098377228,0.2254781424999237,0.4193309545516968,0.19017815589904785,0.49457043409347534,0.31670695543289185,0.25212112069129944,0.20564325153827667,0.19003327190876007,0.2254781424999237,0.3515060544013977,0.14093919098377228,0.2707280218601227,0.4679996967315674,0.22132524847984314,0.2309904396533966,0.37039485573768616,0.2337181121110916
