,who,did,abc,sell,the,rights,to,all,my,children,and,one,life,to,live,to,?
on,0.2340552806854248,0.2670976221561432,0.2862928807735443,0.17814841866493225,0.5107308030128479,0.22401921451091766,0.41031414270401,0.3832052946090698,0.32948949933052063,0.20549149811267853,0.4077630043029785,0.3601475656032562,0.19639495015144348,0.41031414270401,0.24591919779777527,0.41031414270401,0.2714994251728058
april,0.2566681504249573,0.2925565242767334,0.1727592945098877,0.1585368812084198,0.23232673108577728,0.19222848117351532,0.20614087581634521,0.16216956079006195,0.20675458014011383,0.22029130160808563,0.26820316910743713,0.2190690040588379,0.17292653024196625,0.20614087581634521,0.14658407866954803,0.20614087581634521,0.25704094767570496
14,0.08739595115184784,-0.0011860481463372707,0.04168788716197014,0.06757786870002747,-0.011880298145115376,0.06416074186563492,0.005055660381913185,-0.018918486312031746,0.08911974728107452,0.043478358536958694,0.10622510313987732,0.042107224464416504,0.0899413526058197,0.005055660381913185,0.10387799888849258,0.005055660381913185,0.11697390675544739
",",0.3365725874900818,0.3015086054801941,0.2097204476594925,0.26397812366485596,0.4933079481124878,0.2595706284046173,0.44245919585227966,0.425624817609787,0.28294113278388977,0.28531143069267273,0.6633074283599854,0.3696635365486145,0.24050940573215485,0.44245919585227966,0.29754534363746643,0.44245919585227966,0.31091248989105225
2011,0.023839345201849937,-0.03760814294219017,-0.02057783305644989,0.002999558113515377,0.07811610400676727,0.010333117097616196,0.03410811722278595,0.08477666974067688,-0.010680238716304302,0.009592555463314056,0.0998905599117279,0.10516269505023956,0.03455230966210365,0.03410811722278595,-0.005618393886834383,0.03410811722278595,0.005212190095335245
",",0.3365725874900818,0.3015086054801941,0.2097204476594925,0.26397812366485596,0.4933079481124878,0.2595706284046173,0.44245919585227966,0.425624817609787,0.28294113278388977,0.28531143069267273,0.6633074283599854,0.3696635365486145,0.24050940573215485,0.44245919585227966,0.29754534363746643,0.44245919585227966,0.31091248989105225
abc,0.14673753082752228,0.13353709876537323,1.0000001192092896,0.10742729157209396,0.2068762183189392,0.16774038970470428,0.1762417107820511,0.18112415075302124,0.24335843324661255,0.1666025072336197,0.16453155875205994,0.1300981342792511,0.20232120156288147,0.1762417107820511,0.20379731059074402,0.1762417107820511,0.19065172970294952
canceled,0.12761467695236206,0.3174590766429901,0.29547441005706787,0.2044220268726349,0.24497857689857483,0.2347615659236908,0.26917052268981934,0.30613163113594055,0.1678953468799591,0.14771798253059387,0.2440541386604309,0.19882190227508545,0.18975725769996643,0.26917052268981934,0.13593460619449615,0.26917052268981934,0.15313391387462616
the,0.3733934462070465,0.34736719727516174,0.2068762183189392,0.19874759018421173,1.0,0.2579100430011749,0.535392165184021,0.4860881567001343,0.26636773347854614,0.15654058754444122,0.5171257257461548,0.5514441132545471,0.23528170585632324,0.535392165184021,0.2995128035545349,0.535392165184021,0.22068053483963013
long-running,0.2907154858112335,0.2840735912322998,0.30377086997032166,0.17742305994033813,0.39910128712654114,0.17661011219024658,0.32026731967926025,0.2831290066242218,0.2856326997280121,0.2176729291677475,0.400388240814209,0.29233118891716003,0.3149476945400238,0.32026731967926025,0.2566591501235962,0.32026731967926025,0.23421622812747955
