,if,q=9,and,"a=1,2,4,5,7",",",or,8,",",how,many,primes,would,be,in,a,progression,?
in,0.2589588761329651,0.052943311631679535,0.4954058527946472,0.10418493300676346,0.5201468467712402,0.3586423695087433,-0.05886392667889595,0.5201468467712402,0.2601168751716614,0.41474202275276184,0.20882321894168854,0.30461156368255615,0.3481820821762085,1.0,0.539380669593811,0.20670410990715027,0.20430970191955566
all,0.40880489349365234,-0.004798962734639645,0.4542157053947449,-0.010689268819987774,0.425624817609787,0.3321593105792999,0.021305495873093605,0.425624817609787,0.3725806474685669,0.5443700551986694,0.21498370170593262,0.41205164790153503,0.42151448130607605,0.3335905969142914,0.2696802616119385,0.19417837262153625,0.29575422406196594
other,0.3864276111125946,0.026034949347376823,0.5504306554794312,-0.004015742801129818,0.4446498453617096,0.5325124859809875,0.013554058969020844,0.4446498453617096,0.3591516315937042,0.6324484348297119,0.2139948457479477,0.37565508484840393,0.4629868268966675,0.39989137649536133,0.2806335389614105,0.18698643147945404,0.24682199954986572
rows,0.2510714828968048,0.04529326781630516,0.28445664048194885,-0.08400744199752808,0.17734470963478088,0.3138042688369751,0.01926940120756626,0.17734470963478088,0.23732048273086548,0.23557980358600616,0.23751817643642426,0.24944232404232025,0.2143649011850357,0.16420641541481018,0.23316830396652222,0.19756998121738434,0.1265581250190735
(,0.26899856328964233,0.25789889693260193,0.4862271547317505,0.062306422740221024,0.6363511681556702,0.3582012951374054,0.026551567018032074,0.6363511681556702,0.1676948219537735,0.1455259770154953,0.210494726896286,0.21630488336086273,0.2349044382572174,0.3087427020072937,0.3206180930137634,0.16077446937561035,0.40561532974243164
a,0.41272827982902527,0.09547444432973862,0.3739250600337982,-0.08490529656410217,0.427140474319458,0.48853766918182373,-0.06709446758031845,0.427140474319458,0.29312583804130554,0.2872205972671509,0.21026647090911865,0.398599237203598,0.39883795380592346,0.539380669593811,1.0,0.3011077046394348,0.23916715383529663
=,-0.014500393532216549,-0.004040054511278868,-0.046995434910058975,-0.06744614243507385,-0.04015415534377098,-0.059526387602090836,0.0037398587446659803,-0.04015415534377098,0.005664738826453686,-0.0030256889294832945,-0.0642760694026947,-0.020843004807829857,0.021265273913741112,-0.08381625264883041,-0.1499788761138916,-0.07218185812234879,-0.005643122363835573
1,-0.3333838880062103,-0.16449278593063354,-0.20516018569469452,0.1156519427895546,-0.15742997825145721,-0.21893133223056793,0.00026127329329028726,-0.15742997825145721,-0.28593507409095764,-0.19133886694908142,-0.25417813658714294,-0.33511853218078613,-0.2923636734485626,-0.10660158097743988,-0.20817746222019196,-0.1899397373199463,-0.249979168176651
",",0.257730096578598,0.1831604391336441,0.6633074283599854,0.12454771995544434,1.0000001192092896,0.3769497275352478,-0.02218378335237503,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.29003697633743286,0.32586824893951416,0.39254459738731384,0.5201468467712402,0.427140474319458,0.18310736119747162,0.31091248989105225
2,-0.05319981276988983,-0.13788895308971405,-0.0926629975438118,-0.07892121374607086,-0.08638399094343185,0.037367552518844604,-0.016132529824972153,-0.08638399094343185,-0.02554285153746605,-0.06294522434473038,0.014338861219584942,0.027047324925661087,0.02104739472270012,0.01447046548128128,-0.05323360115289688,0.01591278612613678,0.001977203879505396
",",0.257730096578598,0.1831604391336441,0.6633074283599854,0.12454771995544434,1.0000001192092896,0.3769497275352478,-0.02218378335237503,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.29003697633743286,0.32586824893951416,0.39254459738731384,0.5201468467712402,0.427140474319458,0.18310736119747162,0.31091248989105225
4,-0.051096875220537186,0.34826430678367615,0.11143114417791367,0.13541953265666962,0.15652385354042053,-0.0031100690830498934,-0.013620478101074696,0.15652385354042053,-0.09503452479839325,-0.054631516337394714,-0.04339820519089699,0.03919385001063347,-0.031255580484867096,0.08310048282146454,0.08102071285247803,-0.03371386229991913,0.010515431873500347
",",0.257730096578598,0.1831604391336441,0.6633074283599854,0.12454771995544434,1.0000001192092896,0.3769497275352478,-0.02218378335237503,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.29003697633743286,0.32586824893951416,0.39254459738731384,0.5201468467712402,0.427140474319458,0.18310736119747162,0.31091248989105225
