,one,of,fis,',agenda,items,was,to,force,women,to,start,doing,what,?
taking,0.2955847382545471,0.29240402579307556,0.19091033935546875,0.18645718693733215,0.17466148734092712,0.21698637306690216,0.20663641393184662,0.3001216948032379,0.10136134922504425,0.19322241842746735,0.3001216948032379,0.34661591053009033,0.49514734745025635,0.24635453522205353,0.19960761070251465
advantage,0.28155481815338135,0.20611627399921417,0.2105848342180252,0.11223100870847702,0.12364563345909119,0.24933363497257233,0.15638723969459534,0.27752500772476196,0.21211135387420654,0.12272606045007706,0.27752500772476196,0.22106705605983734,0.26941603422164917,0.17863520979881287,0.10412604361772537
of,0.4999135136604309,1.0,0.22401471436023712,0.39136970043182373,0.21928389370441437,0.21522082388401031,0.4069072902202606,0.41548454761505127,0.27094775438308716,0.22431409358978271,0.41548454761505127,0.23166994750499725,0.25269845128059387,0.33290785551071167,0.1826142966747284
economic,0.17755547165870667,0.3030148148536682,0.24307741224765778,0.1378166526556015,0.30325010418891907,0.16228245198726654,0.1954469084739685,0.26856908202171326,0.2068079560995102,0.1850556582212448,0.26856908202171326,0.1829000562429428,0.14872147142887115,0.18082544207572937,0.1206481084227562
failure,0.14156171679496765,0.21345095336437225,0.1628534495830536,0.13087348639965057,0.08671016246080399,0.09315529465675354,0.29373642802238464,0.2692638337612152,0.10527478158473969,0.09728622436523438,0.2692638337612152,0.12433149665594101,0.18414922058582306,0.19130942225456238,0.12142058461904526
and,0.42438167333602905,0.5116966962814331,0.21142849326133728,0.3053182065486908,0.2819797396659851,0.2645854949951172,0.3740963041782379,0.48971283435821533,0.24372100830078125,0.24605001509189606,0.48971283435821533,0.2890162169933319,0.31533369421958923,0.31309178471565247,0.20544172823429108
unpopular,0.278644859790802,0.2775346636772156,0.20745457708835602,0.146961972117424,0.296758770942688,0.134911447763443,0.32604488730430603,0.3488013446331024,0.22590577602386475,0.3085397481918335,0.3488013446331024,0.20918595790863037,0.27737271785736084,0.2483551800251007,0.1757158786058426
social,0.17868554592132568,0.2605111300945282,0.10750278830528259,0.13682404160499573,0.33902719616889954,0.11986596882343292,0.196878582239151,0.19684761762619019,0.11245312541723251,0.2638833522796631,0.19684761762619019,0.11239946633577347,0.1935230791568756,0.22217629849910736,0.1615191102027893
liberalization,0.23830759525299072,0.29476019740104675,0.20490045845508575,0.15838246047496796,0.38342320919036865,0.17257927358150482,0.16983091831207275,0.2391578108072281,0.25168487429618835,0.12134739011526108,0.2391578108072281,0.21400193870067596,0.27060815691947937,0.29425597190856934,0.25164350867271423
and,0.42438167333602905,0.5116966962814331,0.21142849326133728,0.3053182065486908,0.2819797396659851,0.2645854949951172,0.3740963041782379,0.48971283435821533,0.24372100830078125,0.24605001509189606,0.48971283435821533,0.2890162169933319,0.31533369421958923,0.31309178471565247,0.20544172823429108
secularization,0.20917603373527527,0.30661100149154663,0.21019840240478516,0.17883631587028503,0.29978784918785095,0.1742899864912033,0.23044772446155548,0.26156800985336304,0.2562500536441803,0.12331964820623398,0.26156800985336304,0.17453670501708984,0.26077085733413696,0.2726942002773285,0.1957172304391861
