,how,could,human,inequality,be,addressed,without,resulting,in,an,increase,of,environmental,damage,?
as,0.33782753348350525,0.32771480083465576,0.24055932462215424,0.1947982758283615,0.5230465531349182,0.2859370708465576,0.2948721945285797,0.27003881335258484,0.3887844979763031,0.37218472361564636,0.24019303917884827,0.3886612355709076,0.23170624673366547,0.18210068345069885,0.27043893933296204
such,0.307365357875824,0.3029654324054718,0.2557939291000366,0.21102488040924072,0.5239806771278381,0.21483977138996124,0.3131762146949768,0.2991214990615845,0.2704046070575714,0.2025681436061859,0.2946314811706543,0.3209529519081116,0.2740846872329712,0.20626714825630188,0.17851735651493073
",",0.22659391164779663,0.27399855852127075,0.23877760767936707,0.21822890639305115,0.39254459738731384,0.2503169775009155,0.24492648243904114,0.24877792596817017,0.5201468467712402,0.3581022024154663,0.20005576312541962,0.4946078956127167,0.2779713571071625,0.27360406517982483,0.31091248989105225
the,0.33890387415885925,0.35393214225769043,0.3103327453136444,0.23508106172084808,0.4248143136501312,0.26755934953689575,0.3270869255065918,0.3905409574508667,0.6662389636039734,0.4207492768764496,0.32049667835235596,0.733189046382904,0.23935803771018982,0.2545957863330841,0.22068053483963013
current,0.17794625461101532,0.1547253578901291,0.14195935428142548,0.1830274760723114,0.322500079870224,0.21471424400806427,0.1474859118461609,0.19737020134925842,0.1955713927745819,0.1350913941860199,0.2114545851945877,0.31470298767089844,0.1903916299343109,0.1250128149986267,0.12074550241231918
high,0.16700881719589233,0.19430626928806305,0.19807904958724976,0.22487330436706543,0.1991795301437378,0.14970853924751282,0.15166924893856049,0.16197654604911804,0.2652597725391388,0.13532011210918427,0.31398773193359375,0.2803038954734802,0.21983447670936584,0.1950405091047287,0.11137914657592773
level,0.27169108390808105,0.22110362350940704,0.16214919090270996,0.24342113733291626,0.2645954489707947,0.20382662117481232,0.27427852153778076,0.24982893466949463,0.279204785823822,0.20686616003513336,0.3183557689189911,0.23504668474197388,0.26296159625053406,0.18782936036586761,0.20528386533260345
of,0.2480744868516922,0.29043012857437134,0.3083189129829407,0.27910974621772766,0.33904364705085754,0.2637386918067932,0.3081340193748474,0.3631994426250458,0.5696388483047485,0.32280945777893066,0.3156060576438904,1.0,0.29166820645332336,0.23761005699634552,0.1826142966747284
population,0.1651063710451126,0.15403155982494354,0.24092526733875275,0.3072609305381775,0.15517795085906982,0.13128463923931122,0.10437873005867004,0.2981306314468384,0.3268454372882843,0.16069892048835754,0.3007703125476837,0.3060894012451172,0.21584682166576385,0.1954619139432907,0.14449454843997955
has,0.26820555329322815,0.30405887961387634,0.23518574237823486,0.16442200541496277,0.3863394856452942,0.208123579621315,0.20659762620925903,0.20774883031845093,0.4173259735107422,0.2991473078727722,0.2877773344516754,0.3909035325050354,0.20370084047317505,0.20641207695007324,0.15994466841220856
a,0.29312583804130554,0.3736826181411743,0.2368878275156021,0.1783585250377655,0.39883795380592346,0.15799720585346222,0.2797018885612488,0.3510841131210327,0.539380669593811,0.44552403688430786,0.24428929388523102,0.5052502155303955,0.22703608870506287,0.22061721980571747,0.23916715383529663
large,0.21342547237873077,0.30042198300361633,0.19197943806648254,0.18932169675827026,0.2907196581363678,0.13760246336460114,0.2540469467639923,0.3087339699268341,0.2841601073741913,0.25319868326187134,0.37312331795692444,0.3569655418395996,0.20268486440181732,0.2387048453092575,0.1355665624141693
impact,0.26374930143356323,0.22820250689983368,0.2573290467262268,0.27267858386039734,0.24134670197963715,0.1439439058303833,0.18480902910232544,0.3362067937850952,0.18933768570423126,0.16689299046993256,0.29991763830184937,0.21139270067214966,0.3496173024177551,0.37945273518562317,0.18429921567440033
on,0.32655060291290283,0.2953716814517975,0.18558697402477264,0.16136983036994934,0.37900757789611816,0.2104080617427826,0.26243290305137634,0.2551211416721344,0.46853652596473694,0.3192969560623169,0.20996718108654022,0.3966929316520691,0.20105937123298645,0.2573733925819397,0.2714994251728058
this,0.45272302627563477,0.4042564332485199,0.2703263759613037,0.285918265581131,0.566177248954773,0.3036210536956787,0.35550612211227417,0.36265119910240173,0.45205554366111755,0.41881775856018066,0.3563258945941925,0.45148900151252747,0.21105310320854187,0.3061329424381256,0.3155723512172699
as,0.33782753348350525,0.32771480083465576,0.24055932462215424,0.1947982758283615,0.5230465531349182,0.2859370708465576,0.2948721945285797,0.27003881335258484,0.3887844979763031,0.37218472361564636,0.24019303917884827,0.3886612355709076,0.23170624673366547,0.18210068345069885,0.27043893933296204
well,0.410734087228775,0.34664231538772583,0.17397640645503998,0.23776249587535858,0.4045031666755676,0.2804400324821472,0.29629701375961304,0.19057932496070862,0.36612698435783386,0.2743435502052307,0.26008468866348267,0.3343164324760437,0.21940763294696808,0.21441030502319336,0.24815571308135986
.,0.3287222981452942,0.3200591504573822,0.24595768749713898,0.22563500702381134,0.4383580684661865,0.2463299036026001,0.29967203736305237,0.29411986470222473,0.5591574311256409,0.3581749200820923,0.24619564414024353,0.5352458953857422,0.2907167375087738,0.2985546886920929,0.4130953550338745
,how,could,human,inequality,be,addressed,without,resulting,in,an,increase,of,environmental,damage,?
if,0.4917012155056,0.5034732818603516,0.2738685607910156,0.2861393988132477,0.5628611445426941,0.2732642590999603,0.44277775287628174,0.3141764998435974,0.2589588761329651,0.26347705721855164,0.2895248830318451,0.2557544410228729,0.1786074936389923,0.2738410234451294,0.4441644251346588
(,0.1676948219537735,0.18447557091712952,0.16274376213550568,0.1679764688014984,0.2349044382572174,0.23521099984645844,0.1785571426153183,0.137907013297081,0.3087427020072937,0.286407470703125,0.15438681840896606,0.35032153129577637,0.23713918030261993,0.21535637974739075,0.40561532974243164
as,0.33782753348350525,0.32771480083465576,0.24055932462215424,0.1947982758283615,0.5230465531349182,0.2859370708465576,0.2948721945285797,0.27003881335258484,0.3887844979763031,0.37218472361564636,0.24019303917884827,0.3886612355709076,0.23170624673366547,0.18210068345069885,0.27043893933296204
wwf,0.16592422127723694,0.17976506054401398,0.1600160300731659,0.20042651891708374,0.2138935923576355,0.15509504079818726,0.1710047423839569,0.20262552797794342,0.1414363831281662,0.12321776151657104,0.15886299312114716,0.15918247401714325,0.25919005274772644,0.1585664600133896,0.1493709236383438
argued,0.250591516494751,0.31301069259643555,0.2854573130607605,0.3828548491001129,0.2228209674358368,0.27541881799697876,0.2245471179485321,0.19508284330368042,0.16827838122844696,0.1852625459432602,0.21795785427093506,0.19172857701778412,0.229171484708786,0.11090972274541855,0.18905270099639893
),0.17939934134483337,0.19699417054653168,0.15862447023391724,0.16527613997459412,0.24578070640563965,0.23844818770885468,0.19944514334201813,0.13999134302139282,0.3326910734176636,0.2873353958129883,0.15013758838176727,0.3680361211299896,0.2189716398715973,0.21017350256443024,0.42300865054130554
