,how,much,larger,would,cicada,predator,populations,be,if,cicada,outbreaks,occurred,at,14,and,15,year,intervals,?
over,0.31446483731269836,0.3711091876029968,0.29681897163391113,0.3247411251068115,0.2320699393749237,0.19923704862594604,0.24355396628379822,0.27136483788490295,0.2865285277366638,0.2320699393749237,0.27333828806877136,0.2765261232852936,0.34008997678756714,0.027448495849967003,0.4021143913269043,-0.06351498514413834,0.2620522379875183,0.21023814380168915,0.25742942094802856
a,0.29312583804130554,0.2958075702190399,0.2846074104309082,0.398599237203598,0.2637968361377716,0.24335849285125732,0.20712152123451233,0.39883795380592346,0.41272827982902527,0.2637968361377716,0.2466225028038025,0.25916820764541626,0.3095070421695709,0.025682933628559113,0.3739250600337982,-0.052463941276073456,0.29350247979164124,0.27546969056129456,0.23916715383529663
200-year,0.10990528017282486,0.10470330715179443,0.12640281021595,0.17986969649791718,0.21855133771896362,0.12742632627487183,0.24640212953090668,0.18184253573417664,0.2434391975402832,0.21855133771896362,0.2421545535326004,0.2474026381969452,0.2598690688610077,0.1118408739566803,0.23540645837783813,0.02055906504392624,0.5903529524803162,0.28082022070884705,0.3009991943836212
period,0.22695960104465485,0.2466428130865097,0.1969917267560959,0.1713632196187973,0.20926818251609802,0.20075464248657227,0.17752940952777863,0.25402894616127014,0.23749271035194397,0.20926818251609802,0.27269813418388367,0.3054611384868622,0.20980304479599,-0.07514013350009918,0.23878438770771027,0.028584813699126244,0.3050437867641449,0.38163262605667114,0.18706195056438446
",",0.22659391164779663,0.36182254552841187,0.2491181194782257,0.32586824893951416,0.3232261836528778,0.17326951026916504,0.2880891263484955,0.39254459738731384,0.257730096578598,0.3232261836528778,0.252066433429718,0.28958946466445923,0.38314947485923767,0.1548261046409607,0.6633074283599854,-0.03563398867845535,0.28560417890548706,0.17925195395946503,0.31091248989105225
average,0.2824462950229645,0.3068808615207672,0.2776266634464264,0.205789715051651,0.17269329726696014,0.1634538173675537,0.26952236890792847,0.20954380929470062,0.24052950739860535,0.17269329726696014,0.14939014613628387,0.16154745221138,0.26809391379356384,0.10818400233983994,0.2138829380273819,-0.05709552764892578,0.2935159504413605,0.31353357434272766,0.21764592826366425
predator,0.20046484470367432,0.20929913222789764,0.3122450113296509,0.19784249365329742,0.33518362045288086,0.9999999403953552,0.24192720651626587,0.20762014389038086,0.22704708576202393,0.33518362045288086,0.220102459192276,0.1837785392999649,0.17762881517410278,0.0982321947813034,0.18938322365283966,-0.002011533360928297,0.08432720601558685,0.22315090894699097,0.17727896571159363
populations,0.2133786678314209,0.25209322571754456,0.3537665605545044,0.19616946578025818,0.3352794647216797,0.24192720651626587,1.0000001192092896,0.22982792556285858,0.20643718540668488,0.3352794647216797,0.36299532651901245,0.3438083231449127,0.1268087774515152,0.0631844699382782,0.26962190866470337,-0.0759257897734642,0.15034542977809906,0.2737562358379364,0.17519071698188782
during,0.26830652356147766,0.2644806206226349,0.20922568440437317,0.25707411766052246,0.22970108687877655,0.1828184872865677,0.2242916226387024,0.24990400671958923,0.2040780633687973,0.22970108687877655,0.36524394154548645,0.4484703242778778,0.372769296169281,-0.08428303897380829,0.36462149024009705,0.06340177357196808,0.3447895348072052,0.24437344074249268,0.1325719803571701
hypothetical,0.3423217236995697,0.266105592250824,0.2353707253932953,0.3164403736591339,0.14692260324954987,0.2330668419599533,0.18224643170833588,0.28326717019081116,0.3741316497325897,0.14692260324954987,0.12151508778333664,0.23267152905464172,0.1372327208518982,0.1185823604464531,0.11245989799499512,-0.0402994379401207,0.03930092602968216,0.2461957484483719,0.2868422567844391
outbreaks,0.1572246551513672,0.20187906920909882,0.1898891180753708,0.16449885070323944,0.2665746808052063,0.220102459192276,0.36299532651901245,0.18335139751434326,0.18709556758403778,0.2665746808052063,1.0,0.43002140522003174,0.11635392159223557,0.04084167629480362,0.22070027887821198,-0.06915684789419174,0.20281274616718292,0.23805661499500275,0.18502937257289886
of,0.2480744868516922,0.2671096920967102,0.32469573616981506,0.3353942930698395,0.25360360741615295,0.12216665595769882,0.2561377286911011,0.33904364705085754,0.2557544410228729,0.25360360741615295,0.23829330503940582,0.31296631693840027,0.42558613419532776,0.05099077150225639,0.5116966962814331,-0.02319195494055748,0.2578314542770386,0.1844199150800705,0.1826142966747284
14-,0.11943700164556503,0.11836026608943939,0.12388718873262405,0.07889030873775482,0.25711363554000854,0.22679834067821503,0.2243107259273529,0.14018672704696655,0.11216399073600769,0.25711363554000854,0.06548736989498138,0.02252120152115822,-0.08319367468357086,0.02489791251718998,-0.01616777665913105,0.00939778983592987,-0.09059175848960876,0.1143355444073677,0.028528552502393723
