,how,many,legions,in,five,bases,were,along,the,rhine,by,the,romans,?
the,0.33890387415885925,0.4335206151008606,0.2824350595474243,0.6662389636039734,0.41977158188819885,0.24180281162261963,0.3906462490558624,0.39495137333869934,1.0,0.30735138058662415,0.4408751428127289,1.0,0.2908686399459839,0.22068053483963013
romans,0.1983208954334259,0.2442091703414917,0.49229568243026733,0.29633307456970215,0.11775990575551987,0.257422536611557,0.3058897852897644,0.1553305834531784,0.2908686399459839,0.33889204263687134,0.2654496133327484,0.2908686399459839,1.0000001192092896,0.14755459129810333
kept,0.16230306029319763,0.26334142684936523,0.18039917945861816,0.2662917971611023,0.2239142209291458,0.237509623169899,0.3579002618789673,0.17106635868549347,0.3135738670825958,0.18323573470115662,0.20793050527572632,0.3135738670825958,0.2132042497396469,0.15157312154769897
eight,0.222213014960289,0.348200261592865,0.20642992854118347,0.3002670109272003,0.7194217443466187,0.15466877818107605,0.34618258476257324,0.22610421478748322,0.34254369139671326,0.10825077444314957,0.3041055202484131,0.34254369139671326,0.09127217531204224,0.11634626984596252
legions,0.084726981818676,0.1935158222913742,1.0,0.18843026459217072,0.2425202578306198,0.25381362438201904,0.2566218078136444,0.17069391906261444,0.2824350595474243,0.3202626407146454,0.21768216788768768,0.2824350595474243,0.49229568243026733,0.11789947748184204
in,0.2601168751716614,0.41474202275276184,0.18843026459217072,1.0,0.3634254038333893,0.2516496777534485,0.3815755248069763,0.3603311777114868,0.6662389636039734,0.24648422002792358,0.370934396982193,0.6662389636039734,0.29633307456970215,0.20430970191955566
five,0.20553050935268402,0.41084155440330505,0.2425202578306198,0.3634254038333893,1.0,0.19689927995204926,0.37460240721702576,0.19166745245456696,0.41977158188819885,0.13145272433757782,0.26962748169898987,0.41977158188819885,0.11775990575551987,0.18342848122119904
bases,0.16321653127670288,0.2545723021030426,0.25381362438201904,0.2516496777534485,0.19689927995204926,0.9999999403953552,0.18785010278224945,0.22553132474422455,0.24180281162261963,0.15744423866271973,0.23979493975639343,0.24180281162261963,0.257422536611557,0.06755278259515762
along,0.2501010298728943,0.280875027179718,0.17069391906261444,0.3603311777114868,0.19166745245456696,0.22553132474422455,0.30671337246894836,1.0,0.39495137333869934,0.24867600202560425,0.34227433800697327,0.39495137333869934,0.1553305834531784,0.17134909331798553
the,0.33890387415885925,0.4335206151008606,0.2824350595474243,0.6662389636039734,0.41977158188819885,0.24180281162261963,0.3906462490558624,0.39495137333869934,1.0,0.30735138058662415,0.4408751428127289,1.0,0.2908686399459839,0.22068053483963013
rhine,0.09285783767700195,0.11647748202085495,0.3202626407146454,0.24648422002792358,0.13145272433757782,0.15744423866271973,0.1609196811914444,0.24867600202560425,0.30735138058662415,1.0,0.18456800282001495,0.30735138058662415,0.33889204263687134,0.13754533231258392
.,0.3287222981452942,0.3974229395389557,0.19646696746349335,0.5591574311256409,0.34172043204307556,0.2574000060558319,0.3378238379955292,0.27491724491119385,0.5934505462646484,0.2089352011680603,0.3936232924461365,0.5934505462646484,0.23923294246196747,0.4130953550338745
