,which,irish,cities,had,large,huguenot,enclaves,?
significant,0.3548031151294708,0.10192140936851501,0.23901760578155518,0.25557491183280945,0.3456239402294159,0.18852177262306213,0.23906287550926208,0.18679562211036682
huguenot,0.22239398956298828,0.3278537094593048,0.17772875726222992,0.2470320463180542,0.2211473435163498,1.0000001192092896,0.27784255146980286,0.1359742432832718
settlements,0.21174487471580505,0.13361631333827972,0.5570958256721497,0.17358793318271637,0.23074916005134583,0.19316983222961426,0.39070120453834534,0.1671062707901001
were,0.2807837128639221,0.1590242087841034,0.2273229956626892,0.6150832772254944,0.3147265911102295,0.23719102144241333,0.31915417313575745,0.17890112102031708
in,0.4840516746044159,0.17023150622844696,0.32293570041656494,0.385026752948761,0.2841601073741913,0.26198551058769226,0.3309739828109741,0.20430970191955566
dublin,0.2040664702653885,0.616908848285675,0.10418010503053665,0.20420865714550018,0.16655805706977844,0.33924010396003723,0.13923147320747375,0.06738798320293427
",",0.3658004403114319,0.24875710904598236,0.31927579641342163,0.35487717390060425,0.2263888567686081,0.24752236902713776,0.28669607639312744,0.31091248989105225
cork,0.23242364823818207,0.41502758860588074,0.11007009446620941,0.10711613297462463,0.1661340296268463,0.21264740824699402,0.157880961894989,0.0914512425661087
",",0.3658004403114319,0.24875710904598236,0.31927579641342163,0.35487717390060425,0.2263888567686081,0.24752236902713776,0.28669607639312744,0.31091248989105225
portarlington,0.26535964012145996,0.25299975275993347,0.29866018891334534,0.2732962965965271,0.29839515686035156,0.3156067430973053,0.2558189928531647,0.21301887929439545
",",0.3658004403114319,0.24875710904598236,0.31927579641342163,0.35487717390060425,0.2263888567686081,0.24752236902713776,0.28669607639312744,0.31091248989105225
lisburn,0.21828781068325043,0.28318318724632263,0.2833826541900635,0.17962786555290222,0.18982858955860138,0.271685928106308,0.1482923924922943,0.24272271990776062
",",0.3658004403114319,0.24875710904598236,0.31927579641342163,0.35487717390060425,0.2263888567686081,0.24752236902713776,0.28669607639312744,0.31091248989105225
waterford,0.2414744794368744,0.33103981614112854,0.22829017043113708,0.15759769082069397,0.20592904090881348,0.2575951814651489,0.23640881478786469,0.12953320145606995
and,0.506277859210968,0.23241202533245087,0.292957067489624,0.3872550129890442,0.3404269814491272,0.2762077748775482,0.2682754099369049,0.20544172823429108
youghal,0.2130499631166458,0.2239992469549179,0.20103412866592407,0.27907595038414,0.19890639185905457,0.31772521138191223,0.16896399855613708,0.29413852095603943
.,0.45942068099975586,0.2006680816411972,0.2525215446949005,0.37348684668540955,0.2304532378911972,0.2060975730419159,0.20693355798721313,0.4130953550338745
