,who,was,named,the,president,and,ceo,of,abc,after,goldenson,suffered,a,heart,attack,?
on,0.2340552806854248,0.3909217119216919,0.19771578907966614,0.5107308030128479,0.18996542692184448,0.4077630043029785,0.17200063169002533,0.3966929316520691,0.2862928807735443,0.39330315589904785,0.2385363131761551,0.25954681634902954,0.3848365545272827,0.21464556455612183,0.27725884318351746,0.2714994251728058
january,0.20979668200016022,0.3933098316192627,0.13504348695278168,0.2467057853937149,0.32024750113487244,0.24588775634765625,0.2765759825706482,0.19923388957977295,0.1682562232017517,0.31672435998916626,0.14224408566951752,0.17036172747612,0.24193190038204193,0.19527554512023926,0.20925892889499664,0.28608936071395874
17,0.05025482177734375,0.06704052537679672,0.10449196398258209,0.10537172853946686,0.11368196457624435,0.11462654173374176,0.15501591563224792,0.12138522416353226,0.1145334243774414,0.05722841992974281,0.0728224664926529,0.051776815205812454,0.038237735629081726,0.019689830020070076,0.01098939124494791,0.17603135108947754
",",0.3365725874900818,0.45456063747406006,0.2530003488063812,0.4933079481124878,0.26552814245224,0.6633074283599854,0.24176505208015442,0.4946078956127167,0.2097204476594925,0.38860568404197693,0.3194567561149597,0.24693666398525238,0.427140474319458,0.30829477310180664,0.29392024874687195,0.31091248989105225
1972,-0.06769883632659912,0.09760324656963348,0.1255701333284378,0.017579182982444763,0.26807913184165955,-0.06165798008441925,0.18524031341075897,0.07561471313238144,0.038233473896980286,0.06304948776960373,-0.03369899466633797,-0.009790965355932713,-0.08910045027732849,-0.05331346020102501,-0.09871333092451096,-0.13323214650154114
",",0.3365725874900818,0.45456063747406006,0.2530003488063812,0.4933079481124878,0.26552814245224,0.6633074283599854,0.24176505208015442,0.4946078956127167,0.2097204476594925,0.38860568404197693,0.3194567561149597,0.24693666398525238,0.427140474319458,0.30829477310180664,0.29392024874687195,0.31091248989105225
elton,0.23729492723941803,0.24852925539016724,0.1259649246931076,0.19895024597644806,0.16470062732696533,0.29008224606513977,0.2348450869321823,0.14500176906585693,0.21910147368907928,0.14190691709518433,0.32747480273246765,0.2070026695728302,0.2007984071969986,0.20288525521755219,0.14269711077213287,0.2326837182044983
rule,0.31803420186042786,0.19895824790000916,0.14030654728412628,0.29894936084747314,0.18283529579639435,0.22522340714931488,0.05327439308166504,0.25175079703330994,0.15242911875247955,0.22583918273448944,0.18992814421653748,0.20641371607780457,0.2032480239868164,0.10874240100383759,0.20894131064414978,0.1955260932445526
was,0.3318818509578705,1.0000001192092896,0.37528327107429504,0.48711544275283813,0.2505730390548706,0.3740963041782379,0.2460775375366211,0.4069072902202606,0.21565799415111542,0.49306565523147583,0.2537340223789215,0.3911045491695404,0.4508470594882965,0.23247237503528595,0.22693441808223724,0.18412111699581146
named,0.38541290163993835,0.37528327107429504,1.0,0.3521348536014557,0.15809892117977142,0.23097854852676392,0.17401553690433502,0.2820465862751007,0.2247007191181183,0.4528660774230957,0.2382652908563614,0.11990877240896225,0.3292267918586731,0.09980621188879013,0.1192854717373848,0.1297498345375061
president,0.22565458714962006,0.2505730390548706,0.15809892117977142,0.24330610036849976,1.0000001192092896,0.23286236822605133,0.4603186249732971,0.21610750257968903,0.20593604445457458,0.25286588072776794,0.2002224326133728,0.12957164645195007,0.16959697008132935,0.18293505907058716,0.16285334527492523,0.14148259162902832
and,0.41279885172843933,0.3740963041782379,0.23097854852676392,0.5171257257461548,0.23286236822605133,1.0,0.21528133749961853,0.5116966962814331,0.16453155875205994,0.3765919506549835,0.2949160933494568,0.17773643136024475,0.3739250600337982,0.25639602541923523,0.24922382831573486,0.20544172823429108
