,what,was,the,last,doctor,who,episode,that,dudley,simpson,wrote,music,for,?
simpson,0.1427246332168579,0.2131803035736084,0.23521888256072998,0.0882520005106926,0.2186002880334854,0.15358659625053406,0.3859172761440277,0.21635141968727112,0.2135533094406128,1.0,0.16647100448608398,0.09295149147510529,0.2430761158466339,0.16581538319587708
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.03682802617549896,0.031664930284023285,0.05599616840481758,-0.057472456246614456,0.04397977516055107,-0.08241549879312515,-0.0030620377510786057,0.07554080337285995,0.09120280295610428,-0.07241261005401611,-0.023395681753754616
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.5431418418884277,0.27244147658348083,0.39065709710121155,0.24243572354316711,0.3482176661491394,0.14977309107780457,0.18874526023864746,0.26172947883605957,0.22269050776958466,0.3800288736820221,0.18701928853988647
doctor,0.20870667695999146,0.19672659039497375,0.2820442318916321,0.14827261865139008,0.9999999403953552,0.3504868149757385,0.2940889000892639,0.2390732765197754,0.22625800967216492,0.2186002880334854,0.208401620388031,0.19428947567939758,0.1556548923254013,0.1462511420249939
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.30598369240760803,0.3504868149757385,0.9999998807907104,0.2015407234430313,0.45444270968437195,0.22770792245864868,0.15358659625053406,0.2670581638813019,0.20470726490020752,0.37110671401023865,0.26220351457595825
score,0.1703568547964096,0.1616087406873703,0.2042495757341385,0.19008532166481018,0.09459073841571808,0.1809227615594864,0.18703380227088928,0.16578927636146545,0.17399026453495026,0.1510721892118454,0.17703308165073395,0.3224089741706848,0.19645971059799194,0.199510395526886
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.32424551248550415,0.19672659039497375,0.3318818509578705,0.1706574261188507,0.33670201897621155,0.24012890458106995,0.2131803035736084,0.40092042088508606,0.2583621144294739,0.3863949179649353,0.18412111699581146
planet,0.2183026820421219,0.19662094116210938,0.2470240592956543,0.15971092879772186,0.27168989181518555,0.21450060606002808,0.2830830216407776,0.2861461639404297,0.19211797416210175,0.18279427289962769,0.17453667521476746,0.15847383439540863,0.1996491700410843,0.16979767382144928
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3052992522716522,0.16895952820777893,0.2827862501144409,0.17369085550308228,0.41498205065727234,0.22010725736618042,0.1791120320558548,0.30241408944129944,0.25892743468284607,0.4185989499092102,0.1826142966747284
giants,0.15827009081840515,0.1738642305135727,0.25009262561798096,0.14409957826137543,0.08243756741285324,0.2421608716249466,0.15742197632789612,0.21111799776554108,0.11570475250482559,0.12486101686954498,0.10091438889503479,0.1650625467300415,0.17326413094997406,0.11124124377965927
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.290768563747406,0.1570640504360199,0.2443375140428543,0.19250941276550293,0.2264307141304016,0.27494165301322937,0.15098623931407928,0.16633541882038116,0.17256039381027222,0.3357032239437103,0.40561532974243164
1964,-0.0811573788523674,-0.10244843363761902,-0.01880853809416294,-0.059977419674396515,-0.0038573783822357655,0.003835720708593726,-0.001796589931473136,-0.04103170335292816,-0.06738769263029099,-0.007884780876338482,-0.07374259829521179,-0.06875666230916977,0.013491551391780376,0.041380032896995544
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.30915912985801697,0.1509941965341568,0.2457384318113327,0.1890215277671814,0.23478686809539795,0.25012093782424927,0.13731203973293304,0.18445713818073273,0.18973706662654877,0.3639558255672455,0.42300865054130554
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.25967320799827576,0.21673844754695892,0.41279885172843933,0.2091434895992279,0.4731321930885315,0.2890501022338867,0.28405213356018066,0.2975862920284271,0.2946314513683319,0.5064792633056641,0.20544172823429108
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.28069037199020386,0.3197924494743347,0.5500732064247131,0.20637604594230652,0.36068853735923767,0.2911922335624695,0.1965101659297943,0.378974586725235,0.2946212589740753,0.4540175199508667,0.2089974731206894
went,0.20164033770561218,0.49310487508773804,0.3345835506916046,0.23464341461658478,0.20976325869560242,0.25244954228401184,0.15789897739887238,0.1990986317396164,0.16990156471729279,0.17923027276992798,0.390751451253891,0.22455483675003052,0.26803430914878845,0.12109432369470596
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.2517152428627014,0.1636410653591156,0.2340552806854248,0.28993746638298035,0.42569106817245483,0.21956899762153625,0.27700477838516235,0.23949672281742096,0.2173950970172882,0.36199691891670227,0.2714994251728058
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.30156898498535156,0.22950075566768646,0.42656609416007996,0.25052839517593384,0.5436353087425232,0.24299752712249756,0.2065666913986206,0.18888387084007263,0.24181292951107025,0.4451248347759247,0.29463258385658264
write,0.37596118450164795,0.21129223704338074,0.23380951583385468,0.20116166770458221,0.1619148701429367,0.3035011887550354,0.20655719935894012,0.36609941720962524,0.13330182433128357,0.0926806777715683,0.6017370820045471,0.3332557678222656,0.3243878483772278,0.3189060389995575
music,0.23070453107357025,0.2583621144294739,0.2714049816131592,0.12758363783359528,0.19428947567939758,0.20470726490020752,0.16775518655776978,0.2252691239118576,0.16214875876903534,0.09295149147510529,0.3786048889160156,1.0,0.2626277506351471,0.18264494836330414
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.3043119013309479,0.1556548923254013,0.37110671401023865,0.17981192469596863,0.4137635827064514,0.19771356880664825,0.2430761158466339,0.3117217421531677,0.2626277506351471,0.9999999403953552,0.264628142118454
many,0.36131182312965393,0.260356068611145,0.4335206151008606,0.21182136237621307,0.18319568037986755,0.4149286150932312,0.12958924472332,0.5391656160354614,0.15478210151195526,0.09808986634016037,0.283401757478714,0.27833521366119385,0.40972793102264404,0.2124512493610382
adventures,0.18775875866413116,0.11922162026166916,0.2034815400838852,0.18829473853111267,0.283301442861557,0.2170078009366989,0.40914130210876465,0.16647352278232574,0.24644377827644348,0.29469507932662964,0.2450825721025467,0.254288911819458,0.1875346302986145,0.15214234590530396
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3052992522716522,0.16895952820777893,0.2827862501144409,0.17369085550308228,0.41498205065727234,0.22010725736618042,0.1791120320558548,0.30241408944129944,0.25892743468284607,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.3698786795139313,0.2820442318916321,0.3733934462070465,0.25342556834220886,0.5473989248275757,0.21380428969860077,0.23521888256072998,0.2426944375038147,0.2714049816131592,0.4739971458911896,0.22068053483963013
1960s,-0.17530474066734314,-0.029007330536842346,-0.06868536025285721,-0.10789996385574341,0.0001723367749946192,-0.1590687334537506,-0.06943324208259583,-0.16963623464107513,0.04442521557211876,0.02708900161087513,-0.1048836037516594,0.028949718922376633,-0.13260865211486816,-0.08257022500038147
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.25967320799827576,0.21673844754695892,0.41279885172843933,0.2091434895992279,0.4731321930885315,0.2890501022338867,0.28405213356018066,0.2975862920284271,0.2946314513683319,0.5064792633056641,0.20544172823429108
1970s,-0.020239217206835747,0.012108612805604935,0.004102230537682772,-0.004910625983029604,6.336247315630317e-05,0.02405538223683834,0.0825413167476654,0.051623061299324036,0.09388258308172226,0.02306746318936348,0.1515594869852066,-0.027669105678796768,0.04791708290576935,0.03861190751194954
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.29026782512664795,0.20407600700855255,0.3365725874900818,0.18198037147521973,0.4137537479400635,0.33135104179382324,0.25540685653686523,0.27225261926651,0.30347302556037903,0.4464869201183319,0.31091248989105225
including,0.18328791856765747,0.21884717047214508,0.3738902807235718,0.21266871690750122,0.104278564453125,0.2835840582847595,0.15041084587574005,0.31577053666114807,0.15614010393619537,0.1473497748374939,0.31854233145713806,0.25393375754356384,0.42507120966911316,0.1633303165435791
most,0.3219912350177765,0.29933857917785645,0.47635307908058167,0.27070826292037964,0.17011499404907227,0.35393568873405457,0.08253224939107895,0.4497850239276886,0.1023874506354332,0.1580846607685089,0.2029680609703064,0.2003718614578247,0.3906237483024597,0.2107497900724411
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3052992522716522,0.16895952820777893,0.2827862501144409,0.17369085550308228,0.41498205065727234,0.22010725736618042,0.1791120320558548,0.30241408944129944,0.25892743468284607,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.3698786795139313,0.2820442318916321,0.3733934462070465,0.25342556834220886,0.5473989248275757,0.21380428969860077,0.23521888256072998,0.2426944375038147,0.2714049816131592,0.4739971458911896,0.22068053483963013
stories,0.2844959497451782,0.20611076056957245,0.2397296130657196,0.18446259200572968,0.20147667825222015,0.3021683990955353,0.28014612197875977,0.26853734254837036,0.11939588934183121,0.14771804213523865,0.4269132614135742,0.2742825746536255,0.19391687214374542,0.20536305010318756
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3052992522716522,0.16895952820777893,0.2827862501144409,0.17369085550308228,0.41498205065727234,0.22010725736618042,0.1791120320558548,0.30241408944129944,0.25892743468284607,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.3698786795139313,0.2820442318916321,0.3733934462070465,0.25342556834220886,0.5473989248275757,0.21380428969860077,0.23521888256072998,0.2426944375038147,0.2714049816131592,0.4739971458911896,0.22068053483963013
jon,0.1635923981666565,0.21221061050891876,0.153504878282547,0.1919119507074356,0.20655249059200287,0.2891683280467987,0.22337958216667175,0.16849187016487122,0.2640553116798401,0.18314990401268005,0.1801169216632843,0.18213573098182678,0.2191862165927887,0.1621117740869522
