,what,brand,sponsored,the,``,crash,the,super,bowl,'',contest,?
it,0.45803478360176086,0.2514258027076721,0.18296325206756592,0.6251175999641418,0.035206809639930725,0.18906952440738678,0.6251175999641418,0.19638319313526154,0.1748591959476471,-0.016964951530098915,0.20310786366462708,0.25732165575027466
was,0.22111038863658905,0.2258959710597992,0.26169130206108093,0.48711544275283813,-0.012679691426455975,0.24972794950008392,0.48711544275283813,0.21420986950397491,0.21915455162525177,0.04456103965640068,0.22809730470180511,0.18412111699581146
also,0.42747777700424194,0.2653714418411255,0.24380023777484894,0.6021018624305725,0.000636551936622709,0.18728627264499664,0.6021018624305725,0.27527010440826416,0.2647361755371094,0.05102188512682915,0.19628332555294037,0.21848613023757935
the,0.42745697498321533,0.18590734899044037,0.2539086937904358,1.0,0.029072100296616554,0.22774840891361237,1.0,0.21959073841571808,0.21576224267482758,0.041273195296525955,0.25173527002334595,0.22068053483963013
final,0.20972409844398499,0.1372838169336319,0.18757636845111847,0.3543182611465454,-0.004907349590212107,0.2493991106748581,0.3543182611465454,0.18389330804347992,0.2308216542005539,-0.026200097054243088,0.3516368865966797,0.17315025627613068
year,0.15184831619262695,0.19546636939048767,0.1958034485578537,0.3609684407711029,0.050706423819065094,0.1236913651227951,0.3609684407711029,0.20762673020362854,0.22878921031951904,-0.01924106478691101,0.214291051030159,0.18315006792545319
that,0.6297725439071655,0.20620881021022797,0.2073379009962082,0.5473989248275757,0.05285148695111275,0.19628146290779114,0.5473989248275757,0.18258553743362427,0.10987387597560883,0.007880004122853279,0.18732452392578125,0.32716336846351624
doritos,0.23697175085544586,0.18697312474250793,0.2024277001619339,0.2968476712703705,-0.019051872193813324,0.2516134977340698,0.2968476712703705,0.21040309965610504,0.15428942441940308,-0.002098969416692853,0.22860608994960785,0.2596014738082886
",",0.3087472915649414,0.26502054929733276,0.17832541465759277,0.4933079481124878,0.09681109338998795,0.2718193829059601,0.4933079481124878,0.22322475910186768,0.1810409277677536,-0.037358131259679794,0.26351213455200195,0.31091248989105225
a,0.3320399522781372,0.21772219240665436,0.18844401836395264,0.5829201340675354,0.07272057235240936,0.2545112371444702,0.5829201340675354,0.26005712151527405,0.19533146917819977,0.04890415817499161,0.229091614484787,0.23916715383529663
