,what,was,the,rumored,reason,edison,and,tesla,were,not,awarded,the,prize,?
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,-0.07556329667568207,0.04532098397612572,-0.09557203948497772,0.036644238978624344,0.04274534806609154,0.006090171169489622,0.09406080842018127,-0.03379278630018234,0.029072100296616554,0.05278487503528595,0.0685480609536171
:245,-0.10324085503816605,0.17434121668338776,0.027225468307733536,0.04503881558775902,-0.11526898294687271,-0.0014658254804089665,0.030407218262553215,0.07008706778287888,0.09808310121297836,-0.1663319319486618,0.032495640218257904,0.027225468307733536,0.04947676509618759,-0.0019740539137274027
there,0.35085538029670715,0.24909798800945282,0.47025805711746216,0.24444004893302917,0.3664329946041107,0.1455366313457489,0.4242868423461914,0.16046448051929474,0.4359818994998932,0.43214359879493713,0.14583837985992432,0.47025805711746216,0.11046738177537918,0.29405656456947327
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.33676525950431824,0.1868613064289093,0.15140701830387115,0.42175528407096863,0.1222306564450264,1.0000001192092896,0.33318549394607544,0.1946011483669281,0.3906462490558624,0.12308207899332047,0.17890112102031708
unsubstantiated,0.37969353795051575,0.20877431333065033,0.2766047716140747,0.3457582890987396,0.4171617031097412,0.1472415179014206,0.22028739750385284,0.1783415526151657,0.2673243582248688,0.45856988430023193,0.14212018251419067,0.2766047716140747,0.19576507806777954,0.3479151725769043
rumors,0.24614384770393372,0.2930603325366974,0.22800762951374054,0.7348335385322571,0.20856492221355438,0.15160296857357025,0.2535654306411743,0.12173129618167877,0.3048383891582489,0.2473597526550293,0.10978607833385468,0.22800762951374054,0.11543835699558258,0.18250153958797455
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.1268647313117981,0.23321066796779633,0.2024947553873062,0.3571503460407257,0.16552478075027466,0.2947486639022827,0.22025953233242035,0.2368638515472412,0.457212895154953,0.16531407833099365,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,1.0,0.24233172833919525,0.29647648334503174,0.25419825315475464,0.5171257257461548,0.1324402391910553,0.3906462490558624,0.4310511648654938,0.24971646070480347,1.0,0.18969248235225677,0.22068053483963013
time,0.36319252848625183,0.3641340136528015,0.43061500787734985,0.16688933968544006,0.33506065607070923,0.24161948263645172,0.3025408685207367,0.14928559958934784,0.3104150593280792,0.3786478340625763,0.22773827612400055,0.43061500787734985,0.14562730491161346,0.27391523122787476
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.33852246403694153,0.462776243686676,0.21377308666706085,0.4731321930885315,0.22102725505828857,0.35517072677612305,0.6600887179374695,0.13811200857162476,0.5473989248275757,0.18004201352596283,0.32716336846351624
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.14042051136493683,0.1456214040517807,0.35526686906814575,0.19560420513153076,0.9999999403953552,0.1222306564450264,0.12018213421106339,0.1742755025625229,0.1324402391910553,0.196644127368927,0.10250775516033173
and/or,0.26439139246940613,0.11074230819940567,0.27840298414230347,0.12467806041240692,0.2613070011138916,0.060760464519262314,0.33698052167892456,0.06320728361606598,0.2320534735918045,0.38272589445114136,0.04766838625073433,0.27840298414230347,0.07523932307958603,0.24081800878047943
edison,0.15105706453323364,0.2864142954349518,0.25419825315475464,0.1829880177974701,0.15597860515117645,0.9999999403953552,0.13864636421203613,0.35526686906814575,0.15140701830387115,0.16788382828235626,0.1820436269044876,0.25419825315475464,0.20493881404399872,0.10244420915842056
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.4194733798503876,0.27359437942504883,0.1989315003156662,0.3872550129890442,0.12050733715295792,0.6150832772254944,0.3714721202850342,0.2606371343135834,0.3875846862792969,0.15956661105155945,0.20728366076946259
refused,0.19773393869400024,0.3305363953113556,0.2606237530708313,0.312007337808609,0.2320515513420105,0.07863277196884155,0.24383415281772614,0.04939310997724533,0.29228371381759644,0.34989994764328003,0.24034033715724945,0.2606237530708313,0.2330557256937027,0.14580921828746796
the,0.42745697498321533,0.48711544275283813,1.0,0.24233172833919525,0.29647648334503174,0.25419825315475464,0.5171257257461548,0.1324402391910553,0.3906462490558624,0.4310511648654938,0.24971646070480347,1.0,0.18969248235225677,0.22068053483963013
prize,0.1654435694217682,0.2402031123638153,0.18969248235225677,0.1460961252450943,0.22017525136470795,0.20493881404399872,0.19794146716594696,0.196644127368927,0.12308207899332047,0.17563177645206451,0.583318293094635,0.18969248235225677,0.9999999403953552,0.14158497750759125
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24691656231880188,0.3219331204891205,0.2391979843378067,0.588965117931366,0.17949827015399933,0.3378238379955292,0.4824007451534271,0.25280869007110596,0.5934505462646484,0.24712836742401123,0.4130953550338745
