,who,did,the,parliament,rent,additional,buildings,from,?
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.2323146015405655,0.18155843019485474,0.21390613913536072,0.3479180932044983,0.4274188280105591,0.20430970191955566
addition,0.20351898670196533,0.24481791257858276,0.32955414056777954,0.15849028527736664,0.1531267762184143,0.6783612966537476,0.23008663952350616,0.1770325005054474,0.19187232851982117
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.20290622115135193,0.23646460473537445,0.29850050806999207,0.25290772318840027,0.4069952368736267,0.29463258385658264
the,0.3733934462070465,0.34736719727516174,1.0,0.26521381735801697,0.20840105414390564,0.2539002597332001,0.25566717982292175,0.40150508284568787,0.22068053483963013
general,0.2461782991886139,0.19499315321445465,0.28634732961654663,0.24502259492874146,0.0801728218793869,0.1500079184770584,0.14717936515808105,0.1645994782447815,0.1972234547138214
assembly,0.14239798486232758,0.13346484303474426,0.2524827718734741,0.5638344287872314,0.10725772380828857,0.14926670491695404,0.1975197196006775,0.20558062195777893,0.1488889455795288
hall,0.21594181656837463,0.12469075620174408,0.28526565432548523,0.20954716205596924,0.20550541579723358,0.11445590853691101,0.35088226199150085,0.13851745426654816,0.13520537316799164
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.25442883372306824,0.1863897740840912,0.30316734313964844,0.272444486618042,0.39760664105415344,0.31091248989105225
the,0.3733934462070465,0.34736719727516174,1.0,0.26521381735801697,0.20840105414390564,0.2539002597332001,0.25566717982292175,0.40150508284568787,0.22068053483963013
parliament,0.237068772315979,0.20460043847560883,0.26521381735801697,1.0,0.18031851947307587,0.1385135054588318,0.24943777918815613,0.18214061856269836,0.1586504578590393
also,0.47919341921806335,0.39334940910339355,0.6021018624305725,0.22454090416431427,0.23440556228160858,0.3025253117084503,0.24665196239948273,0.33783096075057983,0.21848613023757935
used,0.20756356418132782,0.30443844199180603,0.3718377649784088,0.16101059317588806,0.16728715598583221,0.23376090824604034,0.2719874978065491,0.25821518898010254,0.22430120408535004
buildings,0.19900023937225342,0.17572498321533203,0.25566717982292175,0.24943777918815613,0.23751333355903625,0.1360217034816742,1.0,0.24082650244235992,0.11192528158426285
rented,0.25871580839157104,0.21666882932186127,0.2269778847694397,0.1749696284532547,0.6611469984054565,0.20391936600208282,0.3145334720611572,0.20042437314987183,0.07593200355768204
from,0.27839982509613037,0.20248863101005554,0.40150508284568787,0.18214061856269836,0.16809001564979553,0.13113704323768616,0.24082650244235992,1.0,0.19969791173934937
the,0.3733934462070465,0.34736719727516174,1.0,0.26521381735801697,0.20840105414390564,0.2539002597332001,0.25566717982292175,0.40150508284568787,0.22068053483963013
city,0.21073515713214874,0.12266099452972412,0.35769423842430115,0.21198433637619019,0.16482479870319366,0.07492281496524811,0.3523944616317749,0.3118290305137634,0.13423943519592285
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.2885259687900543,0.14530988037586212,0.2518594264984131,0.2829168736934662,0.4249346852302551,0.1826142966747284
edinburgh,0.17130666971206665,0.13458287715911865,0.2266589254140854,0.3362952172756195,0.11324089765548706,0.0898800641298294,0.19686084985733032,0.18416473269462585,0.09266204386949539
council,0.19620807468891144,0.13965484499931335,0.2829204201698303,0.4229061007499695,0.13780365884304047,0.12064095586538315,0.21766743063926697,0.16122816503047943,0.1160062924027443
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.23747818171977997,0.20887736976146698,0.189470574259758,0.2799520492553711,0.41536515951156616,0.4130953550338745
