,is,the,umc,pro-life,or,pro-choice,?
still,0.3574111759662628,0.40142056345939636,0.2632841467857361,0.301711767911911,0.30148130655288696,0.2728249430656433,0.3039587736129761
",",0.4691906273365021,0.4933079481124878,0.1953766793012619,0.3326321840286255,0.3769497275352478,0.29018083214759827,0.31091248989105225
the,0.5823672413825989,1.0,0.21262750029563904,0.2782309651374817,0.4174870550632477,0.26108717918395996,0.22068053483963013
denomination,0.22500525414943695,0.26250898838043213,0.3519315719604492,0.2633468210697174,0.26133421063423157,0.2447739839553833,0.2643771171569824
is,1.0,0.5823672413825989,0.21909049153327942,0.25805625319480896,0.41870999336242676,0.24290290474891663,0.22961433231830597
pro-choice,0.24290290474891663,0.26108717918395996,0.17960423231124878,0.44871389865875244,0.28400105237960815,0.9999998807907104,0.32899031043052673
and,0.3859752118587494,0.5171257257461548,0.21982228755950928,0.36948004364967346,0.4713204801082611,0.25167152285575867,0.20544172823429108
also,0.5012649297714233,0.6021018624305725,0.2866799235343933,0.3206356167793274,0.46319106221199036,0.2592025101184845,0.21848613023757935
``,0.058766357600688934,0.029072100296616554,0.004294969141483307,-0.0491240955889225,0.1197475790977478,0.04832619056105614,0.0685480609536171
was,0.5810302495956421,0.48711544275283813,0.21309460699558258,0.2156449407339096,0.2330796718597412,0.2030813992023468,0.18412111699581146
a,0.658733606338501,0.5829201340675354,0.19728222489356995,0.304525226354599,0.48853766918182373,0.33167505264282227,0.23916715383529663
founding,0.26780420541763306,0.34138360619544983,0.18394847214221954,0.25135481357574463,0.14063596725463867,0.14743788540363312,0.1416333168745041
member,0.2522773742675781,0.2806392312049866,0.20125718414783478,0.18848933279514313,0.14377020299434662,0.13966770470142365,0.06826172769069672
of,0.4854315221309662,0.733189046382904,0.18128293752670288,0.28458520770072937,0.3792596757411957,0.234634131193161,0.1826142966747284
the,0.5823672413825989,1.0,0.21262750029563904,0.2782309651374817,0.4174870550632477,0.26108717918395996,0.22068053483963013
religious,0.1584658920764923,0.22950971126556396,0.33160901069641113,0.327201783657074,0.2404305636882782,0.21080008149147034,0.15727058053016663
coalition,0.1363379955291748,0.27709540724754333,0.21321120858192444,0.2539997100830078,0.20268410444259644,0.21486538648605347,0.13521195948123932
for,0.43268078565597534,0.4739971458911896,0.20637543499469757,0.34769755601882935,0.4111599624156952,0.39995330572128296,0.264628142118454
reproductive,0.1769166737794876,0.260206013917923,0.16728925704956055,0.46364787220954895,0.3093562424182892,0.3557749092578888,0.25456109642982483
choice,0.2168283462524414,0.2640603482723236,0.19167935848236084,0.28522172570228577,0.23533755540847778,0.9052224159240723,0.28709158301353455
...,0.09037221968173981,0.04743409901857376,0.12055286765098572,0.06303438544273376,-0.026592856273055077,0.010389694944024086,-0.07163430005311966
[,-0.06921151280403137,0.07130392640829086,0.08865346014499664,0.1724047064781189,-0.017189854755997658,0.04677918553352356,0.011015460826456547
and,0.3859752118587494,0.5171257257461548,0.21982228755950928,0.36948004364967346,0.4713204801082611,0.25167152285575867,0.20544172823429108
],-0.02998926118016243,-0.04779602214694023,-0.026766326278448105,-0.025353290140628815,-0.027493370696902275,0.017829129472374916,-0.0022520492784678936
2008,-0.10843191295862198,-0.06530369818210602,-0.03574115410447121,-0.09498825669288635,-0.17559081315994263,-0.059486038982868195,-0.09852470457553864
general,0.20144300162792206,0.28634732961654663,0.14920271933078766,0.1685466766357422,0.16815856099128723,0.20913895964622498,0.1972234547138214
conference,0.13909097015857697,0.25393402576446533,0.2516375780105591,0.23611120879650116,0.13439001142978668,0.2294849008321762,0.11172781884670258
[,-0.06921151280403137,0.07130392640829086,0.08865346014499664,0.1724047064781189,-0.017189854755997658,0.04677918553352356,0.011015460826456547
went,0.18631628155708313,0.3345835506916046,0.15933434665203094,0.20159846544265747,0.185577854514122,0.11533612757921219,0.12109432369470596
],-0.02998926118016243,-0.04779602214694023,-0.026766326278448105,-0.025353290140628815,-0.027493370696902275,0.017829129472374916,-0.0022520492784678936
on,0.3635730445384979,0.5107308030128479,0.1817861646413803,0.23936647176742554,0.2897229492664337,0.24616479873657227,0.2714994251728058
record,0.19413821399211884,0.23569516837596893,0.04205181449651718,0.2452116459608078,0.1976335048675537,0.1704959273338318,0.14407116174697876
in,0.5394441485404968,0.6662389636039734,0.15436193346977234,0.2298702448606491,0.3586423695087433,0.17255128920078278,0.20430970191955566
support,0.17214131355285645,0.22984638810157776,0.21634148061275482,0.31730496883392334,0.23432651162147522,0.3117622137069702,0.22626608610153198
of,0.4854315221309662,0.733189046382904,0.18128293752670288,0.28458520770072937,0.3792596757411957,0.234634131193161,0.1826142966747284
the,0.5823672413825989,1.0,0.21262750029563904,0.2782309651374817,0.4174870550632477,0.26108717918395996,0.22068053483963013
work,0.22475390136241913,0.2704800069332123,0.20807336270809174,0.37298813462257385,0.289409875869751,0.3326968252658844,0.2621155381202698
of,0.4854315221309662,0.733189046382904,0.18128293752670288,0.28458520770072937,0.3792596757411957,0.234634131193161,0.1826142966747284
the,0.5823672413825989,1.0,0.21262750029563904,0.2782309651374817,0.4174870550632477,0.26108717918395996,0.22068053483963013
