,where,did,mongke,khan,attack,the,song,dynasty,?
möngke,0.2409980595111847,0.2022724449634552,0.6427226662635803,0.3151819407939911,0.186414897441864,0.31867745518684387,0.32700690627098083,0.2688738703727722,0.25006192922592163
khan,0.1568954735994339,0.155345618724823,0.4832756519317627,1.0,0.15452195703983307,0.21067845821380615,0.14101140201091766,0.34412047266960144,0.12862591445446014
commenced,0.13759469985961914,0.21259963512420654,0.2491656094789505,0.12218672782182693,0.15418986976146698,0.28740182518959045,0.15861493349075317,0.1909024715423584,0.16669677197933197
a,0.40997210144996643,0.2552328109741211,0.1973758190870285,0.1743650734424591,0.2556389570236206,0.5829201340675354,0.25015977025032043,0.14993494749069214,0.23916715383529663
military,0.18467973172664642,0.17979979515075684,0.2821832299232483,0.22762557864189148,0.26549801230430603,0.2290858030319214,0.15852637588977814,0.2005026936531067,0.1890317052602768
campaign,0.1283893585205078,0.18201768398284912,0.10722899436950684,0.1521226167678833,0.2974633276462555,0.2755736708641052,0.1479077935218811,0.08151327818632126,0.162482351064682
against,0.27812469005584717,0.22514554858207703,0.17013293504714966,0.10938236117362976,0.31037792563438416,0.3090755045413971,0.17815108597278595,0.19968146085739136,0.18095137178897858
the,0.5003893971443176,0.34736719727516174,0.2983827292919159,0.21067845821380615,0.2508925497531891,1.0,0.300855815410614,0.26267939805984497,0.22068053483963013
chinese,0.1990201771259308,0.19065357744693756,0.47735705971717834,0.2961319386959076,0.10409039258956909,0.2785343527793884,0.22063502669334412,0.39861640334129333,0.20843194425106049
song,0.21509398519992828,0.1988414227962494,0.2802578806877136,0.14101140201091766,0.1694536954164505,0.300855815410614,1.0000001192092896,0.24676866829395294,0.20782215893268585
dynasty,0.11917287111282349,0.19201454520225525,0.4914897084236145,0.34412047266960144,0.1711936742067337,0.26267939805984497,0.24676866829395294,1.0,0.15884074568748474
in,0.5344807505607605,0.2593238651752472,0.2523330748081207,0.1527150720357895,0.1944931447505951,0.6662389636039734,0.22749996185302734,0.15246383845806122,0.20430970191955566
southern,0.2580642104148865,0.13322393596172333,0.2754221558570862,0.0865083709359169,0.14368288218975067,0.3282862603664398,0.17071986198425293,0.24628868699073792,0.11225555837154388
china,0.2026863694190979,0.16472692787647247,0.4914452135562897,0.3775990903377533,0.10434518754482269,0.3110525608062744,0.2484961748123169,0.45030730962753296,0.18007943034172058
.,0.41390106081962585,0.35288307070732117,0.2765486538410187,0.19819748401641846,0.3003302216529846,0.5934505462646484,0.2374095469713211,0.20616187155246735,0.4130953550338745
