,how,did,the,new,king,react,to,the,huguenots,?
louis,0.10556819289922714,0.21384841203689575,0.22078758478164673,0.2019396275281906,0.3249725103378296,0.10224853456020355,0.16961874067783356,0.22078758478164673,0.3942606449127197,0.09819188714027405
xiv,0.13265754282474518,0.19741129875183105,0.24956288933753967,0.15990512073040009,0.39147526025772095,0.08080204576253891,0.20471028983592987,0.24956288933753967,0.3824757933616638,0.19533176720142365
gained,0.08140156418085098,0.2939504086971283,0.29543522000312805,0.17922015488147736,0.18678805232048035,0.16353529691696167,0.22058042883872986,0.29543522000312805,0.21807682514190674,0.11261032521724701
the,0.33890387415885925,0.34736719727516174,1.0,0.3845241069793701,0.25887003540992737,0.17793594300746918,0.535392165184021,1.0,0.30745792388916016,0.22068053483963013
throne,0.09724017977714539,0.16482007503509521,0.2638266980648041,0.10571732372045517,0.5131785869598389,0.06436442583799362,0.2186887115240097,0.2638266980648041,0.3281160593032837,0.17206846177577972
in,0.2601168751716614,0.2593238651752472,0.6662389636039734,0.3758552670478821,0.2044914960861206,0.1908682882785797,0.45010748505592346,0.6662389636039734,0.25916293263435364,0.20430970191955566
1643,-0.07288112491369247,-0.057403236627578735,0.23216883838176727,0.13603682816028595,0.11588491499423981,-0.16347095370292664,0.037892598658800125,0.23216883838176727,0.12070917338132858,0.0021790561731904745
and,0.33647966384887695,0.34479495882987976,0.5171257257461548,0.31402453780174255,0.24642229080200195,0.24750031530857086,0.48971283435821533,0.5171257257461548,0.28783127665519714,0.20544172823429108
acted,0.19758743047714233,0.22742997109889984,0.20873373746871948,0.17254073917865753,0.18197132647037506,0.129851296544075,0.09797097742557526,0.20873373746871948,0.16645380854606628,0.15984973311424255
increasingly,0.28503403067588806,0.20772823691368103,0.3152945339679718,0.16749858856201172,0.1707696169614792,0.26263734698295593,0.33546900749206543,0.3152945339679718,0.25357624888420105,0.059327382594347
aggressively,0.25155210494995117,0.17910708487033844,0.24317023158073425,0.139988973736763,0.148191437125206,0.31145524978637695,0.2791907787322998,0.24317023158073425,0.14127492904663086,0.1402032971382141
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.33159172534942627,0.24476152658462524,0.26891154050827026,1.0,0.535392165184021,0.2685132324695587,0.29463258385658264
force,0.16030928492546082,0.1680130809545517,0.2800885736942291,0.17100989818572998,0.08272673189640045,0.20870207250118256,0.24496492743492126,0.2800885736942291,0.2471182644367218,0.1650998443365097
the,0.33890387415885925,0.34736719727516174,1.0,0.3845241069793701,0.25887003540992737,0.17793594300746918,0.535392165184021,1.0,0.30745792388916016,0.22068053483963013
huguenots,0.17459295690059662,0.2420482039451599,0.30745792388916016,0.22766715288162231,0.2805742919445038,0.11060857027769089,0.2685132324695587,0.30745792388916016,1.0,0.16010338068008423
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.33159172534942627,0.24476152658462524,0.26891154050827026,1.0,0.535392165184021,0.2685132324695587,0.29463258385658264
convert,0.21723240613937378,0.11352664232254028,0.20079432427883148,0.09376084804534912,0.1258990615606308,0.22223426401615143,0.357098251581192,0.20079432427883148,0.20102088153362274,0.2126215249300003
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.35031336545944214,0.2334747016429901,0.2878071367740631,0.4645031690597534,0.5934505462646484,0.2170230895280838,0.4130953550338745
