,what,company,won,a,free,advertisement,due,to,the,quickbooks,contest,?
quickbooks,0.32950910925865173,0.2871352434158325,0.19560450315475464,0.3290599584579468,0.3495238125324249,0.36312341690063477,0.2437475621700287,0.388448566198349,0.31170687079429626,1.0,0.15614621341228485,0.33220136165618896
sponsored,0.11231818050146103,0.3296874463558197,0.307773232460022,0.18844401836395264,0.20167304575443268,0.3495449125766754,0.1761452853679657,0.1753130853176117,0.2539086937904358,0.2490781843662262,0.24587011337280273,0.12262218445539474
a,0.3320399522781372,0.22037413716316223,0.22534137964248657,1.0,0.23877057433128357,0.22613872587680817,0.2190696746110916,0.45503583550453186,0.5829201340675354,0.3290599584579468,0.229091614484787,0.23916715383529663
``,0.008517155423760414,-0.11237407475709915,0.03902672603726387,0.07272057235240936,-0.03257644176483154,-0.11586472392082214,0.005027893465012312,0.06720756739377975,0.029072100296616554,0.010585673153400421,0.04525066912174225,0.0685480609536171
small,0.2504110634326935,0.12259259819984436,0.09573879092931747,0.41262131929397583,0.2059100866317749,0.15254119038581848,0.1552494913339615,0.3054737150669098,0.39655908942222595,0.2805779278278351,0.1103823333978653,0.13914890587329865
business,0.21758167445659637,0.4683041572570801,0.13081887364387512,0.2670866549015045,0.16774776577949524,0.3041171133518219,0.14408867061138153,0.28079214692115784,0.2389037162065506,0.30975770950317383,0.16115210950374603,0.1545659303665161
big,0.2788069546222687,0.1937519758939743,0.1538180261850357,0.29998910427093506,0.15658064186573029,0.17434504628181458,0.12762373685836792,0.25193607807159424,0.308749794960022,0.21180376410484314,0.1867656260728836,0.20497842133045197
game,0.2246788740158081,0.19029217958450317,0.23046883940696716,0.23211604356765747,0.12691602110862732,0.21148967742919922,0.12858666479587555,0.2540906071662903,0.285271555185318,0.31494608521461487,0.24918979406356812,0.1829071193933487
'',0.08143015950918198,0.04412749409675598,0.01372323464602232,0.04890415817499161,-0.018491532653570175,0.043566904962062836,0.008131635375320911,-0.009905828163027763,0.041273195296525955,-0.014170819893479347,0.07599218189716339,0.018684765323996544
contest,0.23279163241386414,0.18119753897190094,0.4077208638191223,0.229091614484787,0.15106257796287537,0.27975961565971375,0.1381535530090332,0.20070356130599976,0.25173527002334595,0.15614621341228485,1.0000001192092896,0.18081821501255035
