,what,type,of,technology,is,the,non,organic,separating,of,gases,?
oxygen,0.16781960427761078,0.16191279888153076,0.16848602890968323,0.16802899539470673,0.21825239062309265,0.20428593456745148,0.15578685700893402,0.44130775332450867,0.26303908228874207,0.16848602890968323,0.5599391460418701,0.16786395013332367
gas,0.20887799561023712,0.15206468105316162,0.21246914565563202,0.25643685460090637,0.1897863894701004,0.2339978665113449,0.16889357566833496,0.38344937562942505,0.2181166261434555,0.21246914565563202,0.7069770097732544,0.1582372784614563
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.20767556130886078,1.0,0.5823672413825989,0.24328963458538055,0.18208640813827515,0.21588368713855743,0.4854315221309662,0.20145583152770996,0.22961433231830597
increasingly,0.19974569976329803,0.13810810446739197,0.2953035831451416,0.25279760360717773,0.21823541820049286,0.3152945339679718,0.2636299133300781,0.21386604011058807,0.20634764432907104,0.2953035831451416,0.22635473310947418,0.059327382594347
obtained,0.15716862678527832,0.15776404738426208,0.32358500361442566,0.20684455335140228,0.22839020192623138,0.2607382833957672,0.16252025961875916,0.2418101727962494,0.26952558755874634,0.32358500361442566,0.16306518018245697,0.10347618907690048
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.15235473215579987,0.3899846076965332,0.4408751428127289,0.17869143187999725,0.18785367906093597,0.20665395259857178,0.3646814823150635,0.21578241884708405,0.17966607213020325
these,0.4164220690727234,0.26445475220680237,0.42684608697891235,0.19118890166282654,0.2498808652162552,0.49086877703666687,0.2863291800022125,0.25441470742225647,0.3978663384914398,0.42684608697891235,0.3233557939529419,0.2571668326854706
non-cryogenic,0.3012756407260895,0.30348655581474304,0.30843499302864075,0.23827184736728668,0.27957209944725037,0.2748877704143524,0.37571200728416443,0.5650573372840881,0.3459685742855072,0.30843499302864075,0.4842122793197632,0.26649507880210876
technologies,0.1962265968322754,0.17114374041557312,0.20219539105892181,0.7980631589889526,0.2335004061460495,0.2228800356388092,0.1856928914785385,0.20330201089382172,0.18063774704933167,0.20219539105892181,0.30728378891944885,0.1638062298297882
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.15493881702423096,0.35393038392066956,0.33289089798927307,0.19108183681964874,0.14216680824756622,0.14836391806602478,0.35032153129577637,0.1389533430337906,0.40561532974243164
see,0.44941186904907227,0.24342019855976105,0.33962661027908325,0.16205281019210815,0.30759111046791077,0.3770301640033722,0.26347535848617554,0.1747201383113861,0.24932841956615448,0.33962661027908325,0.2512094974517822,0.42005208134651184
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.26604264974594116,0.5012649297714233,0.6021018624305725,0.26552614569664,0.22779972851276398,0.2873992621898651,0.4924938678741455,0.26198020577430725,0.21848613023757935
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.21669498085975647,0.5823672413825989,1.0,0.21640649437904358,0.18354187905788422,0.34378665685653687,0.733189046382904,0.25194600224494934,0.22068053483963013
related,0.258600115776062,0.1942109912633896,0.2691357135772705,0.18411768972873688,0.20549555122852325,0.26962998509407043,0.24551217257976532,0.15352825820446014,0.26717275381088257,0.2691357135772705,0.12612289190292358,0.17689068615436554
vacuum,0.1845402866601944,0.18378889560699463,0.17922011017799377,0.2724577486515045,0.1606457680463791,0.17016367614269257,0.17776431143283844,0.3042753040790558,0.25044944882392883,0.17922011017799377,0.4514797627925873,0.10335687547922134
swing,0.18634033203125,0.19885064661502838,0.1959599107503891,0.11405278742313385,0.1597832292318344,0.249742791056633,0.058843985199928284,0.0780089870095253,0.1433042585849762,0.1959599107503891,0.16735121607780457,0.15768104791641235
adsorption,0.34382274746894836,0.3114742636680603,0.2743574380874634,0.2925124764442444,0.3322378396987915,0.2972404658794403,0.28213539719581604,0.464589923620224,0.31151917576789856,0.2743574380874634,0.4804507791996002,0.20018687844276428
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.16959454119205475,0.37732169032096863,0.3456730246543884,0.2002418041229248,0.14858250319957733,0.1667746752500534,0.3680361211299896,0.12361694872379303,0.42300865054130554
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.21310871839523315,0.4569662809371948,0.5934505462646484,0.21391934156417847,0.2612488567829132,0.27397438883781433,0.5352458953857422,0.22829675674438477,0.4130953550338745
