,charles,conrad,and,alan,bean,were,on,what,spacecraft,to,the,moon,?
in,0.21346928179264069,0.23843570053577423,0.4954058527946472,0.20067796111106873,0.23846127092838287,0.3815755248069763,0.46853652596473694,0.30808621644973755,0.19417698681354523,0.45010748505592346,0.6662389636039734,0.1284755915403366,0.20430970191955566
november,0.24657149612903595,0.23273272812366486,0.28525662422180176,0.2152838110923767,0.20098274946212769,0.1804046481847763,0.3681331276893616,0.23963461816310883,0.1768467277288437,0.2179545760154724,0.25734350085258484,0.1535310298204422,0.3159552216529846
1969,0.2608511447906494,0.3516901135444641,0.21076583862304688,0.27453792095184326,0.2116142064332962,0.22781121730804443,0.17217904329299927,0.17037658393383026,0.21168363094329834,0.2237721085548401,0.22767919301986694,0.15871857106685638,0.19860808551311493
",",0.24990057945251465,0.2934437096118927,0.6633074283599854,0.240205317735672,0.30109143257141113,0.36755475401878357,0.49057599902153015,0.3087472915649414,0.1987742930650711,0.44245919585227966,0.4933079481124878,0.18567080795764923,0.31091248989105225
gemini,0.14177639782428741,0.2042691707611084,0.19188834726810455,0.18829207122325897,0.17836205661296844,0.12325634807348251,0.25157874822616577,0.16078095138072968,0.5314209461212158,0.17533832788467407,0.24857638776302338,0.43889614939689636,0.14296509325504303
veteran,0.19146223366260529,0.2737617790699005,0.1862805187702179,0.26963120698928833,0.09763463586568832,0.24312318861484528,0.23056384921073914,0.12123548984527588,0.09171801805496216,0.15511025488376617,0.2511998414993286,0.06191615015268326,0.15891358256340027
charles,1.0000001192092896,0.4153108298778534,0.23640480637550354,0.32183611392974854,0.09895964711904526,0.1862054467201233,0.2223377376794815,0.18606366217136383,0.15205620229244232,0.1563960611820221,0.20777860283851624,0.12087972462177277,0.17366734147071838
``,0.0007464891532436013,-0.08356834203004837,0.036644238978624344,-0.02549203671514988,-0.07573892921209335,0.006090171169489622,-0.03274054825305939,0.008517155423760414,-0.043760839849710464,0.06720756739377975,0.029072100296616554,-0.06423111259937286,0.0685480609536171
pete,0.2768760621547699,0.3007024824619293,0.18674318492412567,0.3263419270515442,0.19048666954040527,0.15401124954223633,0.1874401718378067,0.15556024014949799,0.18239635229110718,0.20217099785804749,0.20290902256965637,0.19751358032226562,0.16363295912742615
'',-0.009746478870511055,-0.036701176315546036,0.021612688899040222,-0.03398172929883003,0.02191106788814068,0.007215402089059353,0.04238596186041832,0.08143015950918198,-0.0929514691233635,-0.009905828163027763,0.041273195296525955,-0.03831309825181961,0.018684765323996544
conrad,0.4153108298778534,1.0,0.2439681440591812,0.36433014273643494,0.18370896577835083,0.20823849737644196,0.21529193222522736,0.1503632366657257,0.23568499088287354,0.15459637343883514,0.20398280024528503,0.14009839296340942,0.10728748887777328
