,the,west,saw,themselves,as,what,compared,to,the,east,?
this,0.6274310946464539,0.169695645570755,0.22999249398708344,0.35754022002220154,0.43993282318115234,0.5489566326141357,0.28494223952293396,0.5759071707725525,0.6274310946464539,0.15194007754325867,0.3155723512172699
difference,0.3050459623336792,0.12097010761499405,0.2591375708580017,0.2698928415775299,0.1895521879196167,0.4114832878112793,0.45574599504470825,0.294858455657959,0.3050459623336792,0.15944123268127441,0.2842230200767517
was,0.48711544275283813,0.25970903038978577,0.42132335901260376,0.1582118272781372,0.3677520453929901,0.22111038863658905,0.22795094549655914,0.3636345863342285,0.48711544275283813,0.2747166156768799,0.18412111699581146
particularly,0.32132959365844727,0.1599283069372177,0.24241511523723602,0.2456369400024414,0.35802018642425537,0.33027681708335876,0.32030072808265686,0.33588847517967224,0.32132959365844727,0.21714897453784943,0.2644225060939789
apparent,0.2594500780105591,0.08428391069173813,0.2457159459590912,0.15293031930923462,0.21560195088386536,0.21138456463813782,0.25984394550323486,0.22862140834331512,0.2594500780105591,0.07329682260751724,0.1756967008113861
in,0.6662389636039734,0.34078434109687805,0.24892163276672363,0.17596714198589325,0.3887844979763031,0.30808621644973755,0.2479310929775238,0.45010748505592346,0.6662389636039734,0.32659441232681274,0.20430970191955566
textual,0.21899352967739105,0.10466837882995605,0.18633456528186798,0.1982099562883377,0.16377924382686615,0.3750324249267578,0.2843135595321655,0.30808016657829285,0.21899352967739105,0.10426897555589676,0.2071128636598587
and,0.5171257257461548,0.273951917886734,0.2664891481399536,0.3146885335445404,0.49487000703811646,0.31309178471565247,0.38507750630378723,0.48971283435821533,0.5171257257461548,0.27633291482925415,0.20544172823429108
visual,0.25769078731536865,0.13950611650943756,0.14061519503593445,0.19944459199905396,0.2279890775680542,0.25209182500839233,0.24685165286064148,0.22530697286128998,0.25769078731536865,0.1306125372648239,0.15138444304466248
works,0.26337864995002747,0.04719580337405205,0.10424197465181351,0.15697775781154633,0.2642597258090973,0.2418437898159027,0.19356262683868408,0.22564561665058136,0.26337864995002747,0.09388259053230286,0.19597402215003967
of,0.733189046382904,0.2891985774040222,0.28204935789108276,0.2638634443283081,0.3886612355709076,0.33290785551071167,0.3360389769077301,0.41548454761505127,0.733189046382904,0.314786434173584,0.1826142966747284
early,0.34442198276519775,0.16898883879184723,0.251946359872818,0.2036314755678177,0.2809016704559326,0.2454567849636078,0.2806990146636963,0.24557004868984222,0.34442198276519775,0.20455069839954376,0.15272949635982513
european,0.3423081040382385,0.20934732258319855,0.1906360685825348,0.19249780476093292,0.20210161805152893,0.15324164927005768,0.20925767719745636,0.21011990308761597,0.3423081040382385,0.21502898633480072,0.14560863375663757
studies,0.22738903760910034,0.18196827173233032,0.1417233943939209,0.15369780361652374,0.22210973501205444,0.18772079050540924,0.2764921188354492,0.27655282616615295,0.22738903760910034,0.18201211094856262,0.1388726830482483
of,0.733189046382904,0.2891985774040222,0.28204935789108276,0.2638634443283081,0.3886612355709076,0.33290785551071167,0.3360389769077301,0.41548454761505127,0.733189046382904,0.314786434173584,0.1826142966747284
the,1.0,0.32918402552604675,0.318278044462204,0.3444426357746124,0.48381632566452026,0.42745697498321533,0.28685078024864197,0.535392165184021,1.0,0.3383176326751709,0.22068053483963013
orient,0.21451176702976227,0.2778913974761963,0.08727897703647614,0.11115578562021255,0.06920909136533737,0.12409209460020065,0.06568368524312973,0.13982237875461578,0.21451176702976227,0.2914080321788788,0.11546461284160614
that,0.5473989248275757,0.14288705587387085,0.35339242219924927,0.3640199303627014,0.4735107421875,0.6297725439071655,0.30344316363334656,0.5436353087425232,0.5473989248275757,0.1802649050951004,0.32716336846351624
positioned,0.39803287386894226,0.16404330730438232,0.2021888941526413,0.20495998859405518,0.2710239291191101,0.18420465290546417,0.2991555333137512,0.2644137740135193,0.39803287386894226,0.1894042193889618,0.12362201511859894
