,which,network,began,airing,the,tgif,comedy,family,matters,for,the,1997-98,season,?
2000,-0.12876750528812408,-0.010939844883978367,-0.01898011565208435,0.024919982999563217,-0.015081177465617657,-0.15180851519107819,0.18482078611850739,0.01713612861931324,-0.04047627002000809,0.008091370575129986,-0.015081177465617657,-0.0242464579641819,-0.004738435614854097,-0.0824366956949234
saw,0.15807431936264038,0.11983077973127365,0.36235707998275757,0.15350420773029327,0.318278044462204,0.15245342254638672,0.19503961503505707,0.11153280735015869,0.1704266518354416,0.2966398596763611,0.318278044462204,-0.014125162735581398,0.18899387121200562,0.14690998196601868
the,0.6521818041801453,0.27187061309814453,0.3059147596359253,0.26751524209976196,1.0,0.28913572430610657,0.18746663630008698,0.2394849956035614,0.32925453782081604,0.4739971458911896,1.0,0.0377921536564827,0.2507155239582062,0.22068053483963013
end,0.31110426783561707,0.12521885335445404,0.2348691076040268,0.19636784493923187,0.39658910036087036,0.15222063660621643,0.0948275476694107,0.1641538292169571,0.17331688106060028,0.22042374312877655,0.39658910036087036,-0.00920963566750288,0.24212270975112915,0.12543344497680664
of,0.5011631846427917,0.21800683438777924,0.2330763041973114,0.173755943775177,0.733189046382904,0.23987232148647308,0.16859161853790283,0.1893671154975891,0.298933744430542,0.4185989499092102,0.733189046382904,0.028782935813069344,0.1598338931798935,0.1826142966747284
``,0.05178012326359749,-0.02085288055241108,-0.054310813546180725,-0.011182013899087906,0.029072100296616554,0.13913261890411377,-0.053558725863695145,0.028740283101797104,0.060020193457603455,0.01270448137074709,0.029072100296616554,-0.005291163921356201,0.030792925506830215,0.0685480609536171
tgif,0.22292566299438477,0.2553120255470276,0.11247771233320236,0.24952304363250732,0.28913572430610657,0.9999999403953552,0.1877892017364502,0.12623319029808044,0.16375035047531128,0.21575021743774414,0.28913572430610657,-0.0416114516556263,0.18444892764091492,0.3252810835838318
'',-0.03332270681858063,0.022929158061742783,0.041019126772880554,-0.019142309203743935,0.041273195296525955,-0.04729583486914635,0.11094330251216888,0.020035896450281143,0.02885650470852852,-0.04479556903243065,0.041273195296525955,0.03655914589762688,-0.042570944875478745,0.018684765323996544
",",0.3658004403114319,0.1932937651872635,0.2705576717853546,0.2531873881816864,0.4933079481124878,0.25964197516441345,0.17748676240444183,0.22142739593982697,0.3183421194553375,0.4464869201183319,0.4933079481124878,0.0066559272818267345,0.2232367992401123,0.31091248989105225
which,1.0,0.27261900901794434,0.15610557794570923,0.22464780509471893,0.6521818041801453,0.22292566299438477,0.19440831243991852,0.2529175877571106,0.3272422254085541,0.44095608592033386,0.6521818041801453,-0.022714748978614807,0.20103639364242554,0.25814583897590637
was,0.2830964922904968,0.1994880586862564,0.4683617055416107,0.22454959154129028,0.48711544275283813,0.1766846925020218,0.21376477181911469,0.21917963027954102,0.23513266444206238,0.3863949179649353,0.48711544275283813,-0.08485328406095505,0.24797968566417694,0.18412111699581146
struggling,0.2945209741592407,0.19960223138332367,0.23138996958732605,0.22955268621444702,0.26166340708732605,0.18716825544834137,0.22133274376392365,0.20870627462863922,0.30661413073539734,0.31591781973838806,0.26166340708732605,-0.04974404349923134,0.2756577432155609,0.18256856501102448
to,0.5345056653022766,0.25940340757369995,0.2731419503688812,0.23053817451000214,0.535392165184021,0.21771599352359772,0.1824766844511032,0.21285007894039154,0.32389286160469055,0.4451248347759247,0.535392165184021,0.07282356172800064,0.22382742166519165,0.29463258385658264
