,what,report,had,the,correct,date,?
the,0.42745697498321533,0.2556745111942291,0.3875846862792969,1.0,0.3107529580593109,0.25333094596862793,0.22068053483963013
date,0.20141606032848358,0.22441412508487701,0.1289709359407425,0.25333094596862793,0.28476089239120483,1.0,0.2698357403278351
of,0.33290785551071167,0.22992923855781555,0.37755560874938965,0.733189046382904,0.22131142020225525,0.19568462669849396,0.1826142966747284
2035,0.1525285542011261,0.10675214231014252,0.013224469497799873,0.011317676864564419,0.07155551761388779,-0.05379948765039444,-0.0042266687378287315
has,0.20338068902492523,0.18398481607437134,0.5787927508354187,0.4177538752555847,0.22562919557094574,0.1391674280166626,0.15994466841220856
been,0.2567804455757141,0.3124206066131592,0.6048885583877563,0.3563927710056305,0.20680712163448334,0.24611972272396088,0.24354910850524902
correctly,0.41690006852149963,0.29332494735717773,0.2222513109445572,0.3099958002567291,0.7431180477142334,0.25144195556640625,0.36838996410369873
quoted,0.29448339343070984,0.3040419816970825,0.21822436153888702,0.19970788061618805,0.2625916600227356,0.15298870205879211,0.23338742554187775
by,0.2455483376979828,0.2265174388885498,0.37294110655784607,0.4408751428127289,0.19553889334201813,0.1930214762687683,0.17966607213020325
the,0.42745697498321533,0.2556745111942291,0.3875846862792969,1.0,0.3107529580593109,0.25333094596862793,0.22068053483963013
ipcc,0.33176189661026,0.4727894961833954,0.1500828117132187,0.24925659596920013,0.2805430293083191,0.1701911985874176,0.22295254468917847
from,0.2737620174884796,0.13743405044078827,0.3075238764286041,0.40150508284568787,0.1630479246377945,0.20628158748149872,0.19969791173934937
the,0.42745697498321533,0.2556745111942291,0.3875846862792969,1.0,0.3107529580593109,0.25333094596862793,0.22068053483963013
wwf,0.22813712060451508,0.18804991245269775,0.16996890306472778,0.2153015434741974,0.15635685622692108,0.06052950769662857,0.1493709236383438
report,0.2868559956550598,0.9999998807907104,0.2547707259654999,0.2556745111942291,0.3150649070739746,0.22441412508487701,0.3138936758041382
",",0.3087472915649414,0.250803142786026,0.35487717390060425,0.4933079481124878,0.2781456708908081,0.2279704213142395,0.31091248989105225
which,0.5261979103088379,0.2221808135509491,0.3188965916633606,0.6521818041801453,0.34926533699035645,0.198163703083992,0.25814583897590637
has,0.20338068902492523,0.18398481607437134,0.5787927508354187,0.4177538752555847,0.22562919557094574,0.1391674280166626,0.15994466841220856
misquoted,0.3633646070957184,0.36481910943984985,0.26589685678482056,0.26427802443504333,0.3525339365005493,0.17901299893856049,0.3319547772407532
its,0.30393704771995544,0.22439044713974,0.32081788778305054,0.559237003326416,0.2500346302986145,0.20582455396652222,0.15103481709957123
own,0.35062843561172485,0.159507155418396,0.3338281810283661,0.334675133228302,0.26716676354408264,0.12656007707118988,0.1937696635723114
