,what,does,the,marginal,value,added,by,an,economic,actor,determine,?
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.20638422667980194,0.12795600295066833,0.26384392380714417,0.370934396982193,0.2605783939361572,0.22027181088924408,0.1778985857963562,0.28156906366348267,0.20430970191955566
this,0.5489566326141357,0.4166489243507385,0.6274310946464539,0.2900508940219879,0.2783501148223877,0.3688928186893463,0.38438332080841064,0.41881775856018066,0.23486244678497314,0.153860941529274,0.38387903571128845,0.3155723512172699
perspective,0.3797385096549988,0.2049434632062912,0.2812875509262085,0.2803734242916107,0.12911444902420044,0.17220687866210938,0.2384122610092163,0.1877106875181198,0.3161546587944031,0.13208851218223572,0.23999938368797302,0.20587648451328278
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.20737498998641968,0.23697449266910553,0.28397712111473083,0.3680937886238098,0.3581022024154663,0.2340485155582428,0.29684963822364807,0.2144405096769333,0.31091248989105225
wages,0.20351257920265198,0.22873397171497345,0.15546856820583344,0.39805012941360474,0.24474400281906128,0.14796395599842072,0.1800205409526825,0.15565986931324005,0.4024271070957184,0.17730024456977844,0.20517314970493317,0.19884631037712097
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.3150906264781952,0.24539050459861755,0.29847657680511475,0.4289871156215668,0.2838519215583801,0.2707010805606842,0.22134684026241302,0.2686745524406433,0.20544172823429108
profits,0.22846324741840363,0.1970493346452713,0.2556864619255066,0.3416898250579834,0.27642086148262024,0.15001314878463745,0.22229644656181335,0.17642231285572052,0.31704479455947876,0.10777047276496887,0.22173872590065002,0.1589900553226471
are,0.29724663496017456,0.3126322329044342,0.40399202704429626,0.23788893222808838,0.1797625571489334,0.2351086586713791,0.37842893600463867,0.1556541919708252,0.17979218065738678,0.07580823451280594,0.3171437084674835,0.24591213464736938
determined,0.2784222662448883,0.3343452513217926,0.3632190227508545,0.25949108600616455,0.25760433077812195,0.25726979970932007,0.30726534128189087,0.2159484326839447,0.24280287325382233,0.06957189738750458,0.8639670610427856,0.19379007816314697
by,0.2455483376979828,0.143477201461792,0.4408751428127289,0.17092950642108917,0.09974394738674164,0.2588680684566498,1.0000001192092896,0.2719563841819763,0.129435196518898,0.15234291553497314,0.25706249475479126,0.17966607213020325
the,0.42745697498321533,0.35928019881248474,1.0,0.30781733989715576,0.16908381879329681,0.3207796514034271,0.4408751428127289,0.4207492768764496,0.282455176115036,0.1662968546152115,0.40889066457748413,0.22068053483963013
marginal,0.2536638677120209,0.2553037703037262,0.30781733989715576,0.9999998807907104,0.3497724235057831,0.21413598954677582,0.17092950642108917,0.22453276813030243,0.3358960449695587,0.11183242499828339,0.26500317454338074,0.18376903235912323
value,0.24056871235370636,0.24607554078102112,0.16908381879329681,0.3497724235057831,1.0,0.24924886226654053,0.09974394738674164,0.15501222014427185,0.24139325320720673,0.03197266533970833,0.31066006422042847,0.23920650780200958
added,0.23789235949516296,0.24277260899543762,0.3207796514034271,0.21413598954677582,0.24924886226654053,1.0000001192092896,0.2588680684566498,0.21177144348621368,0.05100192129611969,0.1084170937538147,0.2659235894680023,0.2865637540817261
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2691383361816406,0.14933855831623077,0.2879071831703186,0.3646814823150635,0.32280945777893066,0.3030148148536682,0.14881062507629395,0.3512130081653595,0.1826142966747284
each,0.3353266417980194,0.31699198484420776,0.470844566822052,0.2163441926240921,0.2539162039756775,0.2844924032688141,0.29190269112586975,0.20307137072086334,0.16310356557369232,0.1025332435965538,0.40961942076683044,0.21173812448978424
economic,0.18082544207572937,0.14175917208194733,0.282455176115036,0.3358960449695587,0.24139325320720673,0.05100192129611969,0.129435196518898,0.15034084022045135,0.9999999403953552,0.13029401004314423,0.21381670236587524,0.1206481084227562
actor,0.1445341259241104,0.1135755106806755,0.1662968546152115,0.11183242499828339,0.03197266533970833,0.1084170937538147,0.15234291553497314,0.1691036969423294,0.13029401004314423,1.0,0.07003341615200043,0.16922013461589813
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.19008612632751465,0.2575055658817291,0.2574270963668823,0.20696312189102173,0.286407470703125,0.12015148252248764,0.2588256299495697,0.21235394477844238,0.40561532974243164
