,who,played,quarterback,for,the,broncos,after,peyton,manning,was,benched,?
he,0.5500732064247131,0.414750337600708,0.28568264842033386,0.4540175199508667,0.4571082592010498,0.2534533441066742,0.3936046361923218,0.24978399276733398,0.33812835812568665,0.5410010814666748,0.2596135437488556,0.2089974731206894
set,0.19352185726165771,0.20105749368667603,0.1859186291694641,0.30194196105003357,0.2927955985069275,0.17981673777103424,0.19158436357975006,0.20905829966068268,0.23142406344413757,0.22985222935676575,0.25397464632987976,0.1698019951581955
the,0.3733934462070465,0.2603478729724884,0.23757418990135193,0.4739971458911896,1.0,0.25985947251319885,0.4565047025680542,0.2709864377975464,0.27058160305023193,0.48711544275283813,0.29863762855529785,0.22068053483963013
nfl,0.13425186276435852,0.27873024344444275,0.6395521759986877,0.23749186098575592,0.15305201709270477,0.5295679569244385,0.14244197309017181,0.4189261496067047,0.41851508617401123,0.20145657658576965,0.1714821606874466,0.10610254108905792
's,0.05599616840481758,0.03920676186680794,-0.05772290751338005,-0.07241261005401611,-0.01540423184633255,-0.037254199385643005,-0.055672239512205124,0.09018818289041519,0.021839646622538567,0.008974763564765453,-0.021204007789492607,-0.023395681753754616
all-time,0.308311402797699,0.27011963725090027,0.3018319010734558,0.40965506434440613,0.35489556193351746,0.27793046832084656,0.31973299384117126,0.30268236994743347,0.30935075879096985,0.3776977062225342,0.23399437963962555,0.324725866317749
record,0.24139603972434998,0.22645319998264313,0.2873646914958954,0.24185582995414734,0.23569516837596893,0.18765106797218323,0.2324780970811844,0.2579602301120758,0.2734450697898865,0.2787264287471771,0.15194128453731537,0.14407116174697876
for,0.37110671401023865,0.31373727321624756,0.2683273255825043,0.9999999403953552,0.4739971458911896,0.2739109396934509,0.3650246858596802,0.30435749888420105,0.33057859539985657,0.3863949179649353,0.28759801387786865,0.264628142118454
career,0.21169690787792206,0.39179107546806335,0.317767471075058,0.3036307394504547,0.19230268895626068,0.3136778771877289,0.2621670663356781,0.3147786557674408,0.3644692897796631,0.2927095592021942,0.1700589954853058,0.1300809234380722
passing,0.14387445151805878,0.12888532876968384,0.28759142756462097,0.2578018009662628,0.3088957965373993,0.26884856820106506,0.22318735718727112,0.3034971356391907,0.3786384165287018,0.13813647627830505,0.22180067002773285,0.10353918373584747
