,what,was,used,to,from,political,alliances,among,the,mongolian,tribal,confederations,?
at,0.2838611304759979,0.36707764863967896,0.22295412421226501,0.36524343490600586,0.3447161316871643,0.1745688021183014,0.17149432003498077,0.2148745357990265,0.457212895154953,0.1129956841468811,0.11775492876768112,0.20582197606563568,0.21978627145290375
this,0.5489566326141357,0.3638818562030792,0.3996967375278473,0.5759071707725525,0.3469814360141754,0.19633908569812775,0.2424832284450531,0.28910595178604126,0.6274310946464539,0.18512219190597534,0.1710202842950821,0.22917534410953522,0.3155723512172699
time,0.36319252848625183,0.3641340136528015,0.2869652807712555,0.3679993152618408,0.2964353561401367,0.1529535949230194,0.23349666595458984,0.2540733516216278,0.43061500787734985,0.15249985456466675,0.18660341203212738,0.23791128396987915,0.27391523122787476
",",0.3087472915649414,0.45456063747406006,0.3120402991771698,0.44245919585227966,0.39760664105415344,0.27072274684906006,0.23022378981113434,0.2640531659126282,0.4933079481124878,0.22636307775974274,0.21239762008190155,0.2575796842575073,0.31091248989105225
none,0.2637794017791748,0.08299771696329117,0.14395730197429657,0.24113355576992035,0.1934528350830078,0.142739936709404,0.11718770116567612,0.19605126976966858,0.2426847517490387,0.23432624340057373,0.0940634161233902,0.15018820762634277,0.23397447168827057
of,0.33290785551071167,0.4069072902202606,0.3075267970561981,0.41548454761505127,0.4249346852302551,0.27319738268852234,0.28948965668678284,0.3679063022136688,0.733189046382904,0.22608324885368347,0.23765619099140167,0.2930212914943695,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.3718377649784088,0.535392165184021,0.40150508284568787,0.20477235317230225,0.28790780901908875,0.3507058024406433,1.0,0.2657795250415802,0.259813129901886,0.3340309262275696,0.22068053483963013
tribal,0.21726880967617035,0.20444342494010925,0.10757366567850113,0.26872000098228455,0.11355443298816681,0.24727118015289307,0.23491881787776947,0.18426117300987244,0.259813129901886,0.24573804438114166,0.9999999403953552,0.2620241343975067,0.0904514268040657
confederations,0.1621035635471344,0.2504882216453552,0.14375317096710205,0.23383289575576782,0.1739492118358612,0.23801276087760925,0.40433114767074585,0.20713749527931213,0.3340309262275696,0.21130584180355072,0.2620241343975067,0.9999998807907104,0.17003127932548523
of,0.33290785551071167,0.4069072902202606,0.3075267970561981,0.41548454761505127,0.4249346852302551,0.27319738268852234,0.28948965668678284,0.3679063022136688,0.733189046382904,0.22608324885368347,0.23765619099140167,0.2930212914943695,0.1826142966747284
