,what,group,can,teachers,in,wales,register,with,?
teachers,0.2526462972164154,0.2087937891483307,0.1946156919002533,1.0,0.2128150761127472,0.14693664014339447,0.19366194307804108,0.17936164140701294,0.19522249698638916
in,0.30808621644973755,0.2304753065109253,0.26527702808380127,0.2128150761127472,1.0,0.18714384734630585,0.23328366875648499,0.4080928862094879,0.20430970191955566
wales,0.1505342721939087,0.16846990585327148,0.19180549681186676,0.14693664014339447,0.18714384734630585,1.0000001192092896,0.24951131641864777,0.18474267423152924,0.15627945959568024
can,0.34502777457237244,0.15594583749771118,1.0,0.1946156919002533,0.26527702808380127,0.19180549681186676,0.25391584634780884,0.3572797477245331,0.3226337134838104
be,0.3929833769798279,0.21518005430698395,0.5791122913360596,0.20256873965263367,0.3481820821762085,0.1866055577993393,0.25457626581192017,0.36101722717285156,0.3324260413646698
registered,0.18316222727298737,0.16529883444309235,0.20924876630306244,0.222023606300354,0.193543940782547,0.22782939672470093,0.8081307411193848,0.15469864010810852,0.24155336618423462
members,0.16873176395893097,0.481466144323349,0.14267030358314514,0.3276892304420471,0.196792870759964,0.17236970365047455,0.18927092850208282,0.2579888701438904,0.10212311148643494
of,0.33290785551071167,0.25542253255844116,0.2603091299533844,0.27737662196159363,0.5696388483047485,0.23133093118667603,0.17440496385097504,0.41827285289764404,0.1826142966747284
trade,0.1555381417274475,0.1576194167137146,0.20083941519260406,0.20088323950767517,0.23862801492214203,0.15434370934963226,0.17993558943271637,0.2465960830450058,0.09336511790752411
unions,0.19864864647388458,0.2677338123321533,0.22990083694458008,0.352300226688385,0.21335460245609283,0.2155931144952774,0.20242437720298767,0.2654126286506653,0.1424994021654129
such,0.23989605903625488,0.23581965267658234,0.396209716796875,0.21735963225364685,0.2704046070575714,0.1588156521320343,0.22293180227279663,0.3346101939678192,0.17851735651493073
as,0.31749409437179565,0.2519444227218628,0.3245031237602234,0.24171572923660278,0.3887844979763031,0.2248159497976303,0.20545640587806702,0.40387406945228577,0.27043893933296204
atl,0.19645370543003082,0.15596552193164825,0.11387378722429276,0.04350176081061363,0.08504462987184525,0.061776790767908096,0.0914936363697052,0.19108594954013824,0.1988709270954132
",",0.3087472915649414,0.2809832692146301,0.3139454126358032,0.28049156069755554,0.5201468467712402,0.19783782958984375,0.20487578213214874,0.4120737314224243,0.31091248989105225
nut,0.18874987959861755,0.09500838071107864,0.2210993766784668,0.12997014820575714,0.15770383179187775,0.128481924533844,0.21122682094573975,0.18776963651180267,0.18353772163391113
or,0.33867141604423523,0.30503612756729126,0.5614996552467346,0.2126750648021698,0.3586423695087433,0.19093115627765656,0.3026837706565857,0.38158315420150757,0.32389625906944275
nasuwt,0.1438373327255249,0.1399209350347519,0.12696538865566254,0.08346541225910187,0.16594326496124268,0.1535009890794754,0.10929518938064575,0.10884706676006317,0.18428707122802734
and,0.31309178471565247,0.3510662019252777,0.3675691485404968,0.28640416264533997,0.4954058527946472,0.2818523943424225,0.15724313259124756,0.5477725267410278,0.20544172823429108
reports,0.24207861721515656,0.20965932309627533,0.2242756336927414,0.23133595287799835,0.2124374359846115,0.19925078749656677,0.1993410885334015,0.1905449479818344,0.23746368288993835
in,0.30808621644973755,0.2304753065109253,0.26527702808380127,0.2128150761127472,1.0,0.18714384734630585,0.23328366875648499,0.4080928862094879,0.20430970191955566
